WP_000340715.1	lcl|NZ_JADDXI010000013.1_cds_WP_002725873.1_802	91.860	86	106
WP_000410273.1	lcl|NZ_JADDXI010000013.1_cds_WP_061209188.1_803	92.971	313	314
WP_000410273.1	lcl|NZ_JADDXI010000471.1_cds_WP_002733534.1_2970	25.078	319	314
WP_000410273.1	lcl|NZ_JADDXI010000287.1_cds_WP_061208146.1_1536	23.077	325	314
WP_000410273.1	lcl|NZ_JADDXI010000369.1_cds_WP_061209097.1_2108	21.014	276	314
WP_000410273.1	lcl|NZ_JADDXI010000122.1_cds_WP_011671706.1_226	24.199	281	314
WP_000410273.1	lcl|NZ_JADDXI010000031.1_cds_WP_061208650.1_2261	25.402	311	314
WP_000410273.1	lcl|NZ_JADDXI010000042.1_cds_WP_002729504.1_3137	22.353	170	314
WP_000604524.1	lcl|NZ_JADDXI010000471.1_cds_IQA55_RS16120_2972	97.297	37	365
WP_000884059.1	lcl|NZ_JADDXI010000471.1_cds_WP_002733646.1_2971	95.676	185	185
WP_000884059.1	lcl|NZ_JADDXI010000437.1_cds_WP_193826487.1_2614	40.179	112	185
WP_000646253.1	lcl|NZ_JADDXI010000471.1_cds_WP_002733534.1_2970	98.176	329	329
WP_000646253.1	lcl|NZ_JADDXI010000013.1_cds_WP_061208754.1_807	31.953	338	329
WP_000646253.1	lcl|NZ_JADDXI010000287.1_cds_WP_061208146.1_1536	30.476	315	329
WP_000646253.1	lcl|NZ_JADDXI010000122.1_cds_WP_011671706.1_226	31.343	335	329
WP_000646253.1	lcl|NZ_JADDXI010000369.1_cds_WP_061209097.1_2108	31.126	302	329
WP_000646253.1	lcl|NZ_JADDXI010000031.1_cds_WP_061208650.1_2261	31.190	311	329
WP_000646253.1	lcl|NZ_JADDXI010000042.1_cds_WP_002729504.1_3137	27.273	341	329
WP_000646253.1	lcl|NZ_JADDXI010000031.1_cds_WP_002754065.1_2258	28.182	330	329
WP_000646253.1	lcl|NZ_JADDXI010000155.1_cds_WP_061207995.1_538	29.393	313	329
WP_000646253.1	lcl|NZ_JADDXI010000185.1_cds_WP_193826391.1_723	25.123	203	329
WP_000646253.1	lcl|NZ_JADDXI010000013.1_cds_WP_061209188.1_803	27.711	249	329
WP_000646253.1	lcl|NZ_JADDXI010000185.1_cds_WP_061208022.1_731	26.642	274	329
WP_000646253.1	lcl|NZ_JADDXI010000441.1_cds_WP_002751102.1_2752	26.217	267	329
WP_000646253.1	lcl|NZ_JADDXI010000235.1_cds_WP_011669202.1_1173	24.629	337	329
WP_000646253.1	lcl|NZ_JADDXI010000102.1_cds_IQA55_RS03020_58	28.378	148	329
WP_000646253.1	lcl|NZ_JADDXI010000118.1_cds_WP_061208031.1_210	30.460	174	329
WP_000646253.1	lcl|NZ_JADDXI010000479.1_cds_WP_061208495.1_3038	27.490	251	329
WP_000646253.1	lcl|NZ_JADDXI010000222.1_cds_WP_193826408.1_1075	38.710	62	329
WP_000774263.1	lcl|NZ_JADDXI010000471.1_cds_WP_193826495.1_2969	88.679	53	267
WP_000774263.1	lcl|NZ_JADDXI010000369.1_cds_WP_061209102.1_2103	23.830	235	267
WP_000774263.1	lcl|NZ_JADDXI010000118.1_cds_WP_061208032.1_209	25.100	251	267
WP_000774263.1	lcl|NZ_JADDXI010000122.1_cds_WP_061208084.1_225	26.455	189	267
WP_000774263.1	lcl|NZ_JADDXI010000087.1_cds_WP_061208961.1_3508	33.636	110	267
WP_000774263.1	lcl|NZ_JADDXI010000042.1_cds_WP_061209013.1_3138	26.455	189	267
WP_000774263.1	lcl|NZ_JADDXI010000195.1_cds_WP_002766579.1_845	26.344	186	267
WP_240738528.1	lcl|NZ_JADDXI010000257.1_cds_WP_061207534.1_1327	26.168	321	509
WP_240738528.1	lcl|NZ_JADDXI010000257.1_cds_WP_002751286.1_1328	31.111	90	509
WP_240738528.1	lcl|NZ_JADDXI010000257.1_cds_WP_061207534.1_1327	26.168	321	509
WP_240738528.1	lcl|NZ_JADDXI010000257.1_cds_WP_002751286.1_1328	31.111	90	509
WP_001067557.1	lcl|NZ_JADDXI010000031.1_cds_WP_061208650.1_2261	27.106	273	330
WP_001067557.1	lcl|NZ_JADDXI010000471.1_cds_WP_002733534.1_2970	28.990	307	330
WP_001067557.1	lcl|NZ_JADDXI010000369.1_cds_WP_061209097.1_2108	25.368	272	330
WP_001067557.1	lcl|NZ_JADDXI010000287.1_cds_WP_061208146.1_1536	27.798	277	330
WP_001067557.1	lcl|NZ_JADDXI010000122.1_cds_WP_011671706.1_226	26.183	317	330
WP_001067557.1	lcl|NZ_JADDXI010000013.1_cds_WP_061208754.1_807	28.017	232	330
WP_001067557.1	lcl|NZ_JADDXI010000155.1_cds_WP_061207995.1_538	27.358	318	330
WP_001067557.1	lcl|NZ_JADDXI010000235.1_cds_WP_011669202.1_1173	24.898	245	330
WP_001067557.1	lcl|NZ_JADDXI010000102.1_cds_IQA55_RS03020_58	27.473	91	330
