WP_000340715.1	lcl|NZ_AKXC02000054.1_cds_WP_000340715.1_739	100.000	86	106
WP_000410273.1	lcl|NZ_AKXC02000054.1_cds_WP_000410273.1_738	100.000	314	314
WP_000410273.1	lcl|NZ_AKXC02000054.1_cds_WP_000646251.1_735	25.705	319	314
WP_000410273.1	lcl|NZ_AKXC02000018.1_cds_WP_000744704.1_3076	24.074	324	314
WP_000410273.1	lcl|NZ_AKXC02000054.1_cds_WP_000723086.1_668	23.958	288	314
WP_000410273.1	lcl|NZ_AKXC02000054.1_cds_WP_001067557.1_732	24.695	328	314
WP_000604524.1	lcl|NZ_AKXC02000054.1_cds_WP_000604527.1_737	99.452	365	365
WP_000884059.1	lcl|NZ_AKXC02000054.1_cds_WP_000884059.1_736	100.000	185	185
WP_000884059.1	lcl|NZ_AKXC02000005.1_cds_WP_000351733.1_3969	40.000	140	185
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_000646251.1_735	99.696	329	329
WP_000646253.1	lcl|NZ_AKXC02000018.1_cds_WP_000744704.1_3076	32.063	315	329
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_000723086.1_668	30.746	335	329
WP_000646253.1	lcl|NZ_AKXC02000003.1_cds_WP_001984071.1_3988	31.475	305	329
WP_000646253.1	lcl|NZ_AKXC02000018.1_cds_WP_000649924.1_3236	29.878	328	329
WP_000646253.1	lcl|NZ_AKXC02000003.1_cds_WP_000709511.1_3976	29.538	325	329
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_001067557.1_732	28.664	307	329
WP_000646253.1	lcl|NZ_AKXC02000003.1_cds_WP_000688696.1_4008	28.975	283	329
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_000475901.1_685	27.372	274	329
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_000410273.1_738	26.019	319	329
WP_000646253.1	lcl|NZ_AKXC02000005.1_cds_WP_001074785.1_3762	29.057	265	329
WP_000646253.1	lcl|NZ_AKXC02000018.1_cds_WP_001003557.1_2897	25.000	332	329
WP_000646253.1	lcl|NZ_AKXC02000054.1_cds_WP_000378097.1_715	24.419	172	329
WP_000774263.1	lcl|NZ_AKXC02000054.1_cds_WP_000774262.1_734	99.251	267	267
WP_000774263.1	lcl|NZ_AKXC02000054.1_cds_WP_000842260.1_667	26.316	190	267
WP_000774263.1	lcl|NZ_AKXC02000003.1_cds_WP_000667727.1_4031	31.818	110	267
WP_000774263.1	lcl|NZ_AKXC02000018.1_cds_WP_000805357.1_3456	33.645	107	267
WP_240738528.1	lcl|NZ_AKXC02000054.1_cds_WP_000602734.1_733	98.625	509	509
WP_240738528.1	lcl|NZ_AKXC02000005.1_cds_WP_000291581.1_3685	26.480	321	509
WP_240738528.1	lcl|NZ_AKXC02000005.1_cds_WP_000364504.1_3686	31.111	90	509
WP_240738528.1	lcl|NZ_AKXC02000054.1_cds_WP_000602734.1_733	98.625	509	509
WP_240738528.1	lcl|NZ_AKXC02000005.1_cds_WP_000291581.1_3685	26.480	321	509
WP_240738528.1	lcl|NZ_AKXC02000005.1_cds_WP_000364504.1_3686	31.111	90	509
WP_001067557.1	lcl|NZ_AKXC02000054.1_cds_WP_001067557.1_732	100.000	330	330
WP_001067557.1	lcl|NZ_AKXC02000054.1_cds_WP_000646251.1_735	28.990	307	330
WP_001067557.1	lcl|NZ_AKXC02000003.1_cds_WP_001984071.1_3988	25.735	272	330
WP_001067557.1	lcl|NZ_AKXC02000018.1_cds_WP_001003557.1_2897	28.395	243	330
WP_001067557.1	lcl|NZ_AKXC02000018.1_cds_WP_000744704.1_3076	26.812	276	330
WP_001067557.1	lcl|NZ_AKXC02000054.1_cds_WP_000723086.1_668	23.724	333	330
WP_001067557.1	lcl|NZ_AKXC02000018.1_cds_WP_000649924.1_3236	28.854	253	330
WP_001067557.1	lcl|NZ_AKXC02000003.1_cds_WP_000688696.1_4008	25.681	257	330
WP_001067557.1	lcl|NZ_AKXC02000054.1_cds_WP_000410273.1_738	24.695	328	330
WP_001198107.1	lcl|NZ_AKXC02000054.1_cds_WP_001198107.1_731	100.000	366	366
WP_001198107.1	lcl|NZ_AKXC02000054.1_cds_WP_000608295.1_730	39.726	365	366
WP_001198107.1	lcl|NZ_AKXC02000054.1_cds_WP_000575178.1_674	34.262	359	366
WP_001198107.1	lcl|NZ_AKXC02000054.1_cds_WP_000172657.1_714	32.461	382	366
WP_001198107.1	lcl|NZ_AKXC02000003.1_cds_WP_001281953.1_4025	27.441	379	366
WP_001198107.1	lcl|NZ_AKXC02000045.1_cds_WP_000538753.1_1574	29.972	357	366
WP_001198107.1	lcl|NZ_AKXC02000036.1_cds_WP_002183909.1_1953	31.383	188	366
WP_000608292.1	lcl|NZ_AKXC02000054.1_cds_WP_000608295.1_730	99.455	367	367
WP_000608292.1	lcl|NZ_AKXC02000054.1_cds_WP_001198107.1_731	39.452	365	367
WP_000608292.1	lcl|NZ_AKXC02000054.1_cds_WP_000575178.1_674	36.712	365	367
WP_000608292.1	lcl|NZ_AKXC02000054.1_cds_WP_000172657.1_714	31.507	365	367
WP_000608292.1	lcl|NZ_AKXC02000045.1_cds_WP_000538753.1_1574	30.458	371	367
WP_000608292.1	lcl|NZ_AKXC02000003.1_cds_WP_001281953.1_4025	30.208	384	367
WP_000608292.1	lcl|NZ_AKXC02000036.1_cds_WP_002183909.1_1953	25.419	358	367
WP_000689747.1	lcl|NZ_AKXC02000054.1_cds_WP_000689746.1_729	99.816	544	544
WP_000689747.1	lcl|NZ_AKXC02000054.1_cds_WP_000689746.1_729	99.816	544	544
