WP_000340715.1	lcl|NZ_AOWS01000152.1_cds_WP_000340715.1_3490	100.000	86	106
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_000410273.1_3489	100.000	314	314
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_000093099.1_3469	46.988	83	314
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_000646250.1_3486	25.705	319	314
WP_000410273.1	lcl|NZ_AOWS01000138.1_cds_WP_000744700.1_2917	24.691	324	314
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_000600889.1_3460	25.269	186	314
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_000723090.1_3407	23.958	288	314
WP_000410273.1	lcl|NZ_AOWS01000152.1_cds_WP_001067557.1_3483	24.695	328	314
WP_000604524.1	lcl|NZ_AOWS01000152.1_cds_WP_000604524.1_3488	99.726	365	365
WP_000884059.1	lcl|NZ_AOWS01000152.1_cds_WP_000884059.1_3487	100.000	185	185
WP_000884059.1	lcl|NZ_AOWS01000082.1_cds_WP_000351733.1_1235	40.000	140	185
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000646250.1_3486	99.088	329	329
WP_000646253.1	lcl|NZ_AOWS01000138.1_cds_WP_000744700.1_2917	32.063	315	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000723090.1_3407	30.746	335	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000600889.1_3460	31.677	322	329
WP_000646253.1	lcl|NZ_AOWS01000134.1_cds_WP_001984071.1_2798	31.475	305	329
WP_000646253.1	lcl|NZ_AOWS01000144.1_cds_WP_000649925.1_3060	29.878	328	329
WP_000646253.1	lcl|NZ_AOWS01000052.1_cds_WP_000709511.1_708	29.538	325	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000601375.1_3433	24.080	299	329
WP_000646253.1	lcl|NZ_AOWS01000134.1_cds_WP_000688695.1_2778	28.975	283	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_001067557.1_3483	28.664	307	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000475904.1_3424	27.372	274	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000410273.1_3489	26.019	319	329
WP_000646253.1	lcl|NZ_AOWS01000132.1_cds_WP_001074785.1_2694	29.057	265	329
WP_000646253.1	lcl|NZ_AOWS01000113.1_cds_WP_001003555.1_1861	25.148	338	329
WP_000646253.1	lcl|NZ_AOWS01000152.1_cds_WP_000487322.1_3435	26.398	322	329
WP_000774263.1	lcl|NZ_AOWS01000152.1_cds_WP_000774262.1_3485	99.251	267	267
WP_000774263.1	lcl|NZ_AOWS01000152.1_cds_WP_000859505.1_3436	26.693	251	267
WP_000774263.1	lcl|NZ_AOWS01000152.1_cds_WP_000800438.1_3455	24.786	234	267
WP_000774263.1	lcl|NZ_AOWS01000152.1_cds_WP_000842260.1_3406	26.316	190	267
WP_000774263.1	lcl|NZ_AOWS01000103.1_cds_WP_000667727.1_1668	31.818	110	267
WP_000774263.1	lcl|NZ_AOWS01000110.1_cds_WP_000805357.1_1761	33.645	107	267
WP_240738528.1	lcl|NZ_AOWS01000152.1_cds_WP_000612797.1_3484	98.821	509	509
WP_240738528.1	lcl|NZ_AOWS01000132.1_cds_WP_000291591.1_2618	26.480	321	509
WP_240738528.1	lcl|NZ_AOWS01000132.1_cds_WP_000364507.1_2619	31.111	90	509
WP_240738528.1	lcl|NZ_AOWS01000152.1_cds_WP_000612797.1_3484	98.821	509	509
WP_240738528.1	lcl|NZ_AOWS01000132.1_cds_WP_000291591.1_2618	26.480	321	509
WP_240738528.1	lcl|NZ_AOWS01000132.1_cds_WP_000364507.1_2619	31.111	90	509
