WP_000340715.1	lcl|NZ_ANMV01000100.1_cds_WP_000340715.1_1863	100.000	86	106
WP_000410273.1	lcl|NZ_ANMV01000100.1_cds_WP_000410273.1_1862	100.000	314	314
WP_000410273.1	lcl|NZ_ANMV01000100.1_cds_WP_000646250.1_1859	25.705	319	314
WP_000410273.1	lcl|NZ_ANMV01000072.1_cds_WP_000744700.1_1300	24.691	324	314
WP_000410273.1	lcl|NZ_ANMV01000015.1_cds_WP_000723092.1_288	23.875	289	314
WP_000410273.1	lcl|NZ_ANMV01000210.1_cds_WP_001033107.1_3943	20.000	265	314
WP_000410273.1	lcl|NZ_ANMV01000100.1_cds_WP_001067556.1_1856	24.695	328	314
WP_000604524.1	lcl|NZ_ANMV01000100.1_cds_WP_001967810.1_1861	99.452	365	365
WP_000884059.1	lcl|NZ_ANMV01000100.1_cds_WP_000884059.1_1860	100.000	185	185
WP_000884059.1	lcl|NZ_ANMV01000070.1_cds_WP_000351733.1_1161	40.000	140	185
WP_000646253.1	lcl|NZ_ANMV01000100.1_cds_WP_000646250.1_1859	99.088	329	329
WP_000646253.1	lcl|NZ_ANMV01000072.1_cds_WP_000744700.1_1300	32.063	315	329
WP_000646253.1	lcl|NZ_ANMV01000015.1_cds_WP_000723092.1_288	30.746	335	329
WP_000646253.1	lcl|NZ_ANMV01000180.1_cds_WP_001984071.1_3244	31.475	305	329
WP_000646253.1	lcl|NZ_ANMV01000100.1_cds_WP_000699346.1_1845	30.655	336	329
WP_000646253.1	lcl|NZ_ANMV01000122.1_cds_WP_000649923.1_2177	29.878	328	329
WP_000646253.1	lcl|NZ_ANMV01000097.1_cds_WP_000709513.1_1768	29.538	325	329
WP_000646253.1	lcl|NZ_ANMV01000100.1_cds_WP_001067556.1_1856	28.664	307	329
WP_000646253.1	lcl|NZ_ANMV01000180.1_cds_WP_000688696.1_3224	28.975	283	329
WP_000646253.1	lcl|NZ_ANMV01000015.1_cds_WP_000475904.1_271	27.372	274	329
WP_000646253.1	lcl|NZ_ANMV01000100.1_cds_WP_000410273.1_1862	26.019	319	329
WP_000646253.1	lcl|NZ_ANMV01000210.1_cds_WP_001033107.1_3943	26.688	311	329
WP_000646253.1	lcl|NZ_ANMV01000217.1_cds_WP_001074785.1_4019	29.057	265	329
WP_000646253.1	lcl|NZ_ANMV01000089.1_cds_WP_001003557.1_1575	25.000	332	329
WP_000774263.1	lcl|NZ_ANMV01000100.1_cds_WP_000774256.1_1858	98.502	267	267
WP_000774263.1	lcl|NZ_ANMV01000015.1_cds_WP_000842260.1_289	26.316	190	267
WP_000774263.1	lcl|NZ_ANMV01000183.1_cds_WP_000667727.1_3346	31.818	110	267
WP_000774263.1	lcl|NZ_ANMV01000091.1_cds_WP_000805359.1_1644	34.579	107	267
WP_240738528.1	lcl|NZ_ANMV01000100.1_cds_WP_000612794.1_1857	98.428	509	509
WP_240738528.1	lcl|NZ_ANMV01000071.1_cds_WP_000291586.1_1268	26.562	320	509
WP_240738528.1	lcl|NZ_ANMV01000071.1_cds_WP_000364507.1_1267	31.111	90	509
WP_240738528.1	lcl|NZ_ANMV01000100.1_cds_WP_000612794.1_1857	98.428	509	509
WP_240738528.1	lcl|NZ_ANMV01000071.1_cds_WP_000291586.1_1268	26.562	320	509
WP_240738528.1	lcl|NZ_ANMV01000071.1_cds_WP_000364507.1_1267	31.111	90	509
WP_001067557.1	lcl|NZ_ANMV01000100.1_cds_WP_001067556.1_1856	99.697	330	330
