WP_000340715.1	lcl|NZ_JPUC01000062.1_cds_WP_002725873.1_1198	91.860	86	106
WP_000410273.1	lcl|NZ_JPUC01000062.1_cds_WP_002733579.1_1199	92.994	314	314
WP_000410273.1	lcl|NZ_JPUC01000062.1_cds_WP_002733534.1_1202	25.078	319	314
WP_000410273.1	lcl|NZ_JPUC01000004.1_cds_WP_002722638.1_102	22.769	325	314
WP_000410273.1	lcl|NZ_JPUC01000064.1_cds_WP_002740024.1_1342	24.555	281	314
WP_000410273.1	lcl|NZ_JPUC01000150.1_cds_WP_002728309.1_2762	25.402	311	314
WP_000410273.1	lcl|NZ_JPUC01000024.1_cds_WP_002743770.1_723	22.353	170	314
WP_000410273.1	lcl|NZ_JPUC01000062.1_cds_WP_016749081.1_1231	22.769	325	314
WP_000604524.1	lcl|NZ_JPUC01000062.1_cds_WP_026054882.1_1200	85.479	365	365
WP_000884059.1	lcl|NZ_JPUC01000062.1_cds_WP_002733646.1_1201	95.676	185	185
WP_000884059.1	lcl|NZ_JPUC01000091.1_cds_WP_002721790.1_1854	36.301	146	185
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_002733534.1_1202	98.176	329	329
WP_000646253.1	lcl|NZ_JPUC01000004.1_cds_WP_002722638.1_102	29.841	315	329
WP_000646253.1	lcl|NZ_JPUC01000064.1_cds_WP_002740024.1_1342	31.045	335	329
WP_000646253.1	lcl|NZ_JPUC01000150.1_cds_WP_002728309.1_2762	30.868	311	329
WP_000646253.1	lcl|NZ_JPUC01000024.1_cds_WP_002743770.1_723	27.273	341	329
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_002733638.1_1239	27.299	348	329
WP_000646253.1	lcl|NZ_JPUC01000150.1_cds_WP_002728316.1_2765	28.182	330	329
WP_000646253.1	lcl|NZ_JPUC01000159.1_cds_WP_002741146.1_3055	28.846	312	329
WP_000646253.1	lcl|NZ_JPUC01000064.1_cds_WP_002733546.1_1317	25.000	268	329
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_002740721.1_1205	28.664	307	329
WP_000646253.1	lcl|NZ_JPUC01000156.1_cds_WP_002732331.1_2917	25.664	339	329
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_002744551.1_1233	29.259	270	329
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_002733579.1_1199	27.711	249	329
WP_000646253.1	lcl|NZ_JPUC01000064.1_cds_WP_002733698.1_1325	26.642	274	329
WP_000646253.1	lcl|NZ_JPUC01000062.1_cds_WP_016749081.1_1231	23.659	317	329
WP_000646253.1	lcl|NZ_JPUC01000075.1_cds_WP_002740236.1_1557	26.217	267	329
WP_000646253.1	lcl|NZ_JPUC01000005.1_cds_WP_002721725.1_147	25.223	337	329
WP_000646253.1	lcl|NZ_JPUC01000008.1_cds_WP_002739935.1_187	27.869	244	329
WP_000646253.1	lcl|NZ_JPUC01000064.1_cds_WP_002733757.1_1315	31.034	174	329
WP_000774263.1	lcl|NZ_JPUC01000062.1_cds_WP_002733627.1_1203	92.884	267	267
WP_000774263.1	lcl|NZ_JPUC01000064.1_cds_WP_002738295.1_1314	24.701	251	267
