WP_000340715.1	lcl|NZ_AFLF01000123.1_cds_WP_000340715.1_1368	100.000	86	106
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_000410273.1_1367	100.000	314	314
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_000093099.1_1347	46.988	83	314
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_000646250.1_1364	25.705	319	314
WP_000410273.1	lcl|NZ_AFLF01000219.1_cds_WP_000744700.1_251	24.691	324	314
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_000600889.1_1338	25.269	186	314
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_000723090.1_1285	23.958	288	314
WP_000410273.1	lcl|NZ_AFLF01000123.1_cds_WP_001067557.1_1361	24.695	328	314
WP_000604524.1	lcl|NZ_AFLF01000123.1_cds_WP_000604524.1_1366	99.726	365	365
WP_000884059.1	lcl|NZ_AFLF01000123.1_cds_WP_000884059.1_1365	100.000	185	185
WP_000884059.1	lcl|NZ_AFLF01000023.1_cds_WP_000351733.1_3456	40.000	140	185
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000646250.1_1364	99.088	329	329
WP_000646253.1	lcl|NZ_AFLF01000219.1_cds_WP_000744700.1_251	32.063	315	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000723090.1_1285	30.746	335	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000600889.1_1338	31.677	322	329
WP_000646253.1	lcl|NZ_AFLF01000115.1_cds_WP_001984071.1_1570	31.475	305	329
WP_000646253.1	lcl|NZ_AFLF01000022.1_cds_WP_000649925.1_3535	29.878	328	329
WP_000646253.1	lcl|NZ_AFLF01000232.1_cds_WP_000709511.1_64	29.538	325	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000601375.1_1311	24.080	299	329
WP_000646253.1	lcl|NZ_AFLF01000115.1_cds_WP_000688695.1_1550	28.975	283	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_001067557.1_1361	28.664	307	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000475904.1_1302	27.372	274	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000410273.1_1367	26.019	319	329
WP_000646253.1	lcl|NZ_AFLF01000061.1_cds_WP_001074785.1_2272	29.057	265	329
WP_000646253.1	lcl|NZ_AFLF01000103.1_cds_WP_001003555.1_1808	25.148	338	329
WP_000646253.1	lcl|NZ_AFLF01000123.1_cds_WP_000487322.1_1313	26.398	322	329
WP_000774263.1	lcl|NZ_AFLF01000123.1_cds_WP_000774262.1_1363	99.251	267	267
