WP_000340715.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000340715.1_1683	100.000	86	106
WP_000410273.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000410275.1_1684	100.000	310	314
WP_000410273.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723078.1_1733	24.731	279	314
WP_000410273.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000744700.1_313	24.691	324	314
WP_000410273.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723090.1_1753	23.958	288	314
WP_000410273.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000567887.1_1735	23.348	227	314
WP_000884059.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000351733.1_1994	40.000	140	185
WP_000884059.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001047905.1_1715	33.898	177	185
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000744700.1_313	32.063	315	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723078.1_1733	30.530	321	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723090.1_1753	31.045	335	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001984071.1_3489	31.803	305	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000649923.1_471	30.183	328	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000567887.1_1735	29.508	305	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000709511.1_3683	29.730	333	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000688696.1_3469	29.329	283	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000410275.1_1684	26.048	334	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001074785.1_2297	29.434	265	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000460023.1_1737	25.632	277	329
WP_000646251.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001003557.1_3746	25.000	332	329
WP_000774260.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000043898.1_1734	25.610	246	267
WP_000774260.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000842260.1_1754	26.316	190	267
WP_000774260.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000667727.1_3446	25.907	193	267
WP_000774260.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000805357.1_692	33.645	107	267
WP_000612794.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000291586.1_2370	26.911	327	509
WP_000612794.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000364507.1_2369	31.111	90	509
WP_000612794.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000291586.1_2370	26.911	327	509
WP_000612794.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000364507.1_2369	31.111	90	509
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723078.1_1733	22.909	275	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001984071.1_3489	25.735	272	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001003557.1_3746	28.395	243	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000744700.1_313	26.812	276	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000723090.1_1753	23.724	333	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000649923.1_471	28.854	253	330
WP_001067557.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000688696.1_3469	25.681	257	330
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000575178.1_1747	34.262	359	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000041233.1_1694	33.851	322	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002188046.1_3452	27.177	379	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002078520.1_1709	30.256	390	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000538757.1_911	29.692	357	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001117632.1_1691	37.864	206	366
WP_001198107.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001982414.1_3378	31.579	190	366
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000575178.1_1747	36.712	365	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002078520.1_1709	31.720	372	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000538757.1_911	30.458	371	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000041233.1_1694	31.657	338	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002188046.1_3452	29.948	384	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001117632.1_1691	33.898	236	367
WP_000608286.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001982414.1_3378	25.419	358	367
WP_000342715.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001002663.1_3013	45.267	243	265
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002187782.1_2552	37.829	304	310
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001183723.1_1167	27.473	273	310
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000279895.1_1968	24.809	262	310
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002187782.1_2552	37.829	304	310
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001183723.1_1167	27.473	273	310
WP_001246622.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000279895.1_1968	24.809	262	310
WP_001088861.1	lcl|NZ_JAKUHN010000001.1_cds_WP_002069656.1_176	42.857	56	144
WP_000517242.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001082180.1_342	28.205	78	221
WP_000517242.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001075146.1_1700	31.532	111	221
WP_000517242.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001069832.1_2566	27.523	109	221
WP_000611594.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001206947.1_349	29.655	145	175
WP_001015417.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000347675.1_2567	25.714	210	406
WP_001015417.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000402845.1_1512	23.041	217	406
WP_001015417.1	lcl|NZ_JAKUHN010000002.1_cds_WP_001082180.1_342	24.074	162	406
WP_000980525.1	lcl|NZ_JAKUHN010000002.1_cds_WP_002188997.1_1704	38.235	102	241
WP_000980525.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000653653.1_1570	26.984	252	241
WP_000980525.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000998676.1_779	26.471	238	241
WP_000980525.1	lcl|NZ_JAKUHN010000001.1_cds_WP_000566240.1_179	32.673	101	241
WP_000980525.1	lcl|NZ_JAKUHN010000002.1_cds_WP_000043153.1_3203	30.857	175	241
