WP_000340715.1	lcl|NZ_RQHD01000007.1_cds_WP_135576183.1_3020	62.821	78	106
WP_000410273.1	lcl|NZ_RQHD01000007.1_cds_WP_135737733.1_3019	80.323	310	314
WP_000410273.1	lcl|NZ_RQHD01000003.1_cds_WP_135576905.1_388	23.765	324	314
WP_000410273.1	lcl|NZ_RQHD01000007.1_cds_WP_135737736.1_3015	25.134	187	314
WP_000410273.1	lcl|NZ_RQHD01000011.1_cds_WP_012476594.1_2808	24.118	170	314
WP_000410273.1	lcl|NZ_RQHD01000003.1_cds_WP_135736992.1_961	22.291	323	314
WP_000884059.1	lcl|NZ_RQHD01000007.1_cds_WP_135576144.1_3000	30.921	152	185
WP_000884059.1	lcl|NZ_RQHD01000003.1_cds_WP_135575519.1_2155	31.176	170	185
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135576905.1_388	31.210	314	329
WP_000646251.1	lcl|NZ_RQHD01000007.1_cds_WP_135737736.1_3015	31.562	320	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135736992.1_961	29.618	314	329
WP_000646251.1	lcl|NZ_RQHD01000011.1_cds_WP_012476594.1_2808	29.118	340	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135577455.1_780	27.950	322	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_012390182.1_416	28.754	313	329
WP_000646251.1	lcl|NZ_RQHD01000007.1_cds_WP_135737748.1_2990	25.830	271	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135737528.1_724	27.888	251	329
WP_000646251.1	lcl|NZ_RQHD01000007.1_cds_WP_135737733.1_3019	25.392	319	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135577379.1_732	26.493	268	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135737281.1_336	28.916	249	329
WP_000646251.1	lcl|NZ_RQHD01000011.1_cds_WP_210415130.1_2797	24.351	308	329
WP_000646251.1	lcl|NZ_RQHD01000001.1_cds_WP_135737779.1_3394	25.188	266	329
WP_000646251.1	lcl|NZ_RQHD01000003.1_cds_WP_135737461.1_34	26.455	189	329
WP_000646251.1	lcl|NZ_RQHD01000007.1_cds_WP_167881718.1_2982	26.667	120	329
WP_000774260.1	lcl|NZ_RQHD01000007.1_cds_WP_135576163.1_3010	26.316	190	267
WP_000774260.1	lcl|NZ_RQHD01000007.1_cds_WP_135576148.1_3003	29.756	205	267
WP_000774260.1	lcl|NZ_RQHD01000001.1_cds_WP_012388903.1_3455	23.372	261	267
WP_000774260.1	lcl|NZ_RQHD01000003.1_cds_WP_135737129.1_694	28.387	155	267
WP_000774260.1	lcl|NZ_RQHD01000003.1_cds_WP_012387270.1_848	28.161	174	267
WP_000774260.1	lcl|NZ_RQHD01000011.1_cds_WP_135737591.1_2809	27.692	195	267
WP_000612794.1	lcl|NZ_RQHD01000003.1_cds_WP_135737483.1_2177	24.159	327	509
WP_000612794.1	lcl|NZ_RQHD01000003.1_cds_WP_135736421.1_2178	33.898	59	509
WP_000612794.1	lcl|NZ_RQHD01000003.1_cds_WP_135737483.1_2177	24.159	327	509
WP_000612794.1	lcl|NZ_RQHD01000003.1_cds_WP_135736421.1_2178	33.898	59	509
WP_001067557.1	lcl|NZ_RQHD01000007.1_cds_WP_135737736.1_3015	25.497	302	330
WP_001067557.1	lcl|NZ_RQHD01000003.1_cds_WP_135737528.1_724	29.870	231	330
WP_001067557.1	lcl|NZ_RQHD01000003.1_cds_WP_135736992.1_961	23.022	278	330
WP_001067557.1	lcl|NZ_RQHD01000003.1_cds_WP_135576905.1_388	27.437	277	330
WP_001067557.1	lcl|NZ_RQHD01000003.1_cds_WP_012390182.1_416	25.786	318	330
WP_001067557.1	lcl|NZ_RQHD01000003.1_cds_WP_135577379.1_732	25.581	258	330
WP_001067557.1	lcl|NZ_RQHD01000007.1_cds_WP_135737748.1_2990	26.154	260	330
