WP_000340715.1	lcl|NZ_AOGW02000010.1_cds_WP_039937667.1_1353	61.538	78	106
WP_000410273.1	lcl|NZ_AOGW02000010.1_cds_WP_002973984.1_1356	82.258	310	314
WP_000410273.1	lcl|NZ_AOGW02000006.1_cds_WP_002972522.1_3364	27.707	314	314
WP_000410273.1	lcl|NZ_AOGW02000006.1_cds_WP_002972517.1_3390	23.765	324	314
WP_000410273.1	lcl|NZ_AOGW02000010.1_cds_WP_002973576.1_1355	24.627	268	314
WP_000410273.1	lcl|NZ_AOGW02000020.1_cds_WP_002975549.1_254	23.711	194	314
WP_000410273.1	lcl|NZ_AOGW02000006.1_cds_WP_002972237.1_2831	22.812	320	314
WP_000884059.1	lcl|NZ_AOGW02000010.1_cds_WP_002973845.1_1769	31.452	124	185
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972517.1_3390	30.892	314	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002973576.1_1355	27.381	336	329
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972237.1_2831	30.293	307	329
WP_000646251.1	lcl|NZ_AOGW02000020.1_cds_WP_002975549.1_254	29.032	341	329
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972522.1_3364	27.796	313	329
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972633.1_3010	26.168	321	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002973984.1_1356	24.214	318	329
WP_000646251.1	lcl|NZ_AOGW02000020.1_cds_WP_198008592.1_265	24.026	308	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002974011.1_1373	25.794	252	329
WP_000646251.1	lcl|NZ_AOGW02000009.1_cds_WP_002973489.1_2471	26.257	179	329
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972878.1_3064	22.677	269	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002973668.1_1412	24.151	265	329
WP_000646251.1	lcl|NZ_AOGW02000006.1_cds_WP_002972803.1_3452	27.668	253	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002973830.1_1357	24.691	243	329
WP_000646251.1	lcl|NZ_AOGW02000010.1_cds_WP_002974215.1_1366	30.337	89	329
WP_000774260.1	lcl|NZ_AOGW02000010.1_cds_WP_002973999.1_1365	24.419	258	267
WP_000774260.1	lcl|NZ_AOGW02000010.1_cds_WP_002973594.1_1473	23.372	261	267
WP_000774260.1	lcl|NZ_AOGW02000006.1_cds_WP_002972652.1_3091	27.941	204	267
WP_000774260.1	lcl|NZ_AOGW02000010.1_cds_WP_002974019.1_1354	26.455	189	267
WP_000774260.1	lcl|NZ_AOGW02000006.1_cds_WP_084764895.1_2939	26.316	171	267
WP_000774260.1	lcl|NZ_AOGW02000023.1_cds_WP_002975784.1_231	27.835	194	267
WP_000612794.1	lcl|NZ_AOGW02000010.1_cds_WP_002974491.1_1747	24.012	329	509
WP_000612794.1	lcl|NZ_AOGW02000010.1_cds_WP_002973905.1_1746	30.189	106	509
WP_000612794.1	lcl|NZ_AOGW02000010.1_cds_WP_002974491.1_1747	24.012	329	509
WP_000612794.1	lcl|NZ_AOGW02000010.1_cds_WP_002973905.1_1746	30.189	106	509
