WP_000340715.1	lcl|NZ_RQFD01000015.1_cds_WP_135594790.1_2675	63.514	74	106
WP_000410273.1	lcl|NZ_RQFD01000015.1_cds_WP_135754333.1_2674	81.529	314	314
WP_000410273.1	lcl|NZ_RQFD01000003.1_cds_WP_135753425.1_911	23.765	324	314
WP_000410273.1	lcl|NZ_RQFD01000015.1_cds_WP_135754283.1_2622	23.741	278	314
WP_000410273.1	lcl|NZ_RQFD01000015.1_cds_WP_135754281.1_2620	23.453	307	314
WP_000410273.1	lcl|NZ_RQFD01000010.1_cds_WP_135753811.1_3270	24.118	170	314
WP_000410273.1	lcl|NZ_RQFD01000008.1_cds_WP_135753584.1_2831	22.812	320	314
WP_000884059.1	lcl|NZ_RQFD01000015.1_cds_WP_135754301.1_2642	31.088	193	185
WP_000884059.1	lcl|NZ_RQFD01000015.1_cds_WP_135754091.1_2231	32.857	140	185
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754283.1_2622	32.558	301	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754281.1_2620	32.550	298	329
WP_000646251.1	lcl|NZ_RQFD01000003.1_cds_WP_135753425.1_911	30.892	314	329
WP_000646251.1	lcl|NZ_RQFD01000008.1_cds_WP_135753584.1_2831	30.392	306	329
WP_000646251.1	lcl|NZ_RQFD01000010.1_cds_WP_135753811.1_3270	29.326	341	329
WP_000646251.1	lcl|NZ_RQFD01000008.1_cds_WP_135753675.1_3012	27.950	322	329
WP_000646251.1	lcl|NZ_RQFD01000003.1_cds_WP_135740016.1_938	28.479	309	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754333.1_2674	28.616	318	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754289.1_2629	22.472	267	329
WP_000646251.1	lcl|NZ_RQFD01000013.1_cds_WP_135753867.1_3317	25.498	251	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754291.1_2632	37.302	126	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754280.1_2618	25.769	260	329
WP_000646251.1	lcl|NZ_RQFD01000010.1_cds_WP_208730825.1_3259	24.351	308	329
WP_000646251.1	lcl|NZ_RQFD01000015.1_cds_WP_135754253.1_2589	24.812	266	329
WP_000646251.1	lcl|NZ_RQFD01000003.1_cds_WP_135753398.1_859	28.112	249	329
WP_000646251.1	lcl|NZ_RQFD01000008.1_cds_WP_135753702.1_3055	23.134	268	329
WP_000646251.1	lcl|NZ_RQFD01000003.1_cds_WP_135753234.1_570	26.486	185	329
WP_000774260.1	lcl|NZ_RQFD01000015.1_cds_WP_135754282.1_2621	26.939	245	267
WP_000774260.1	lcl|NZ_RQFD01000015.1_cds_WP_135754290.1_2630	27.404	208	267
WP_000774260.1	lcl|NZ_RQFD01000015.1_cds_WP_135754241.1_2528	23.372	261	267
WP_000774260.1	lcl|NZ_RQFD01000008.1_cds_WP_135753645.1_2946	28.161	174	267
WP_000774260.1	lcl|NZ_RQFD01000010.1_cds_WP_135753812.1_3271	28.497	193	267
