WP_000340715.1	lcl|NZ_JADDWZ010000021.1_cds_WP_002725873.1_1012	91.860	86	106
WP_000410273.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669917.1_1013	92.903	310	314
WP_000410273.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669955.1_2465	23.381	278	314
WP_000410273.1	lcl|NZ_JADDWZ010000023.1_cds_WP_011671202.1_1097	22.462	325	314
WP_000410273.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669957.1_2463	25.137	183	314
WP_000410273.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669973.1_2612	24.199	281	314
WP_000410273.1	lcl|NZ_JADDWZ010000035.1_cds_WP_011670961.1_1652	25.402	311	314
WP_000410273.1	lcl|NZ_JADDWZ010000091.1_cds_WP_011670813.1_3300	22.353	170	314
WP_000884059.1	lcl|NZ_JADDWZ010000001.1_cds_WP_002750963.1_873	36.301	146	185
WP_000884059.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669938.1_1044	33.898	177	185
WP_000646251.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669955.1_2465	30.841	321	329
WP_000646251.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669973.1_2612	31.642	335	329
WP_000646251.1	lcl|NZ_JADDWZ010000023.1_cds_WP_011671202.1_1097	30.476	315	329
WP_000646251.1	lcl|NZ_JADDWZ010000035.1_cds_WP_011670961.1_1652	31.511	311	329
WP_000646251.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669957.1_2463	28.852	305	329
WP_000646251.1	lcl|NZ_JADDWZ010000091.1_cds_WP_011670813.1_3300	27.273	341	329
WP_000646251.1	lcl|NZ_JADDWZ010000020.1_cds_WP_011671143.1_966	30.032	313	329
WP_000646251.1	lcl|NZ_JADDWZ010000035.1_cds_WP_002754065.1_1649	28.182	330	329
WP_000646251.1	lcl|NZ_JADDWZ010000003.1_cds_WP_011671074.1_1852	24.852	338	329
WP_000646251.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669917.1_1013	27.711	249	329
WP_000646251.1	lcl|NZ_JADDWZ010000011.1_cds_WP_017859386.1_204	26.592	267	329
WP_000646251.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669959.1_2461	25.993	277	329
WP_000646251.1	lcl|NZ_JADDWZ010000056.1_cds_WP_011669202.1_2424	24.629	337	329
WP_000774260.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669956.1_2464	27.391	230	267
WP_000774260.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669974.1_2611	26.455	189	267
WP_000774260.1	lcl|NZ_JADDWZ010000034.1_cds_WP_011670832.1_1609	33.636	110	267
WP_000774260.1	lcl|NZ_JADDWZ010000091.1_cds_WP_011670812.1_3299	26.984	189	267
WP_000774260.1	lcl|NZ_JADDWZ010000085.1_cds_WP_002766579.1_3164	26.344	186	267
WP_000612794.1	lcl|NZ_JADDWZ010000017.1_cds_WP_011670269.1_643	27.103	321	509
WP_000612794.1	lcl|NZ_JADDWZ010000017.1_cds_WP_002751286.1_644	31.111	90	509
WP_000612794.1	lcl|NZ_JADDWZ010000017.1_cds_WP_011670269.1_643	27.103	321	509
WP_000612794.1	lcl|NZ_JADDWZ010000017.1_cds_WP_002751286.1_644	31.111	90	509
WP_001067557.1	lcl|NZ_JADDWZ010000035.1_cds_WP_011670961.1_1652	27.106	273	330
WP_001067557.1	lcl|NZ_JADDWZ010000058.1_cds_WP_011669955.1_2465	23.636	275	330
WP_001067557.1	lcl|NZ_JADDWZ010000023.1_cds_WP_011671202.1_1097	27.798	277	330
WP_001067557.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669973.1_2612	26.183	317	330
WP_001067557.1	lcl|NZ_JADDWZ010000003.1_cds_WP_011671074.1_1852	26.457	223	330
WP_001067557.1	lcl|NZ_JADDWZ010000020.1_cds_WP_011671143.1_966	27.044	318	330
WP_001067557.1	lcl|NZ_JADDWZ010000056.1_cds_WP_011669202.1_2424	24.898	245	330
WP_001067557.1	lcl|NZ_JADDWZ010000091.1_cds_WP_011670813.1_3300	25.352	142	330
WP_001067557.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669917.1_1013	23.708	329	330
WP_001067557.1	lcl|NZ_JADDWZ010000011.1_cds_WP_017859386.1_204	26.667	240	330
WP_001067557.1	lcl|NZ_JADDWZ010000016.1_cds_WP_011671364.1_595	25.781	128	330
WP_001198107.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669968.1_2618	33.428	353	366
WP_001198107.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669926.1_1023	40.359	223	366
WP_001198107.1	lcl|NZ_JADDWZ010000072.1_cds_WP_002753028.1_2905	27.778	378	366
WP_001198107.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669932.1_1038	30.769	390	366
WP_001198107.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669923.1_1020	37.864	206	366
WP_001198107.1	lcl|NZ_JADDWZ010000002.1_cds_WP_002753888.1_1457	29.526	359	366
WP_001198107.1	lcl|NZ_JADDWZ010000003.1_cds_WP_002750680.1_1853	30.270	185	366
WP_000608286.1	lcl|NZ_JADDWZ010000060.1_cds_WP_011669968.1_2618	37.398	369	367
WP_000608286.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669932.1_1038	32.258	372	367
WP_000608286.1	lcl|NZ_JADDWZ010000002.1_cds_WP_002753888.1_1457	33.509	379	367
WP_000608286.1	lcl|NZ_JADDWZ010000072.1_cds_WP_002753028.1_2905	29.843	382	367
WP_000608286.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669926.1_1023	33.562	292	367
WP_000608286.1	lcl|NZ_JADDWZ010000021.1_cds_WP_011669923.1_1020	33.898	236	367
WP_000608286.1	lcl|NZ_JADDWZ010000003.1_cds_WP_002750680.1_1853	26.257	358	367
WP_000342715.1	lcl|NZ_JADDWZ010000089.1_cds_WP_011669455.1_3212	44.534	247	265
WP_001246622.1	lcl|NZ_JADDWZ010000079.1_cds_WP_011670400.1_3023	39.145	304	310
