WP_002614501.1	lcl|NZ_AOHB02000041.1_cds_WP_004462903.1_1932	92.453	106	106
WP_004503085.1	lcl|NZ_AOHB02000041.1_cds_WP_004462901.1_1931	90.323	310	314
WP_004503085.1	lcl|NZ_AOHB02000053.1_cds_WP_004461583.1_884	23.913	322	314
WP_004503085.1	lcl|NZ_AOHB02000041.1_cds_WP_004462127.1_1913	22.464	276	314
WP_004503085.1	lcl|NZ_AOHB02000041.1_cds_WP_004462153.1_1853	21.352	281	314
WP_004503085.1	lcl|NZ_AOHB02000019.1_cds_WP_004461234.1_2710	24.042	287	314
WP_004503085.1	lcl|NZ_AOHB02000004.1_cds_WP_004459510.1_3460	23.529	102	314
WP_004503080.1	lcl|NZ_AOHB02000044.1_cds_WP_004460143.1_1515	34.247	146	185
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_004462894.1_1928	30.321	343	329
WP_004503081.1	lcl|NZ_AOHB02000053.1_cds_WP_004461583.1_884	30.380	316	329
WP_004503081.1	lcl|NZ_AOHB02000019.1_cds_WP_004461234.1_2710	31.715	309	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_004462127.1_1913	31.104	299	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_004462153.1_1853	29.042	334	329
WP_004503081.1	lcl|NZ_AOHB02000004.1_cds_WP_004459510.1_3460	27.083	336	329
WP_004503081.1	lcl|NZ_AOHB02000019.1_cds_WP_004461242.1_2713	29.091	330	329
WP_004503081.1	lcl|NZ_AOHB02000061.1_cds_WP_004484594.1_308	28.571	322	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_016551824.1_1879	25.818	275	329
WP_004503081.1	lcl|NZ_AOHB02000009.1_cds_WP_032920871.1_3191	25.915	355	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_004462901.1_1931	27.711	249	329
WP_004503081.1	lcl|NZ_AOHB02000010.1_cds_WP_004483289.1_3066	27.273	264	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_016551794.1_1871	24.790	238	329
WP_004503081.1	lcl|NZ_AOHB02000053.1_cds_WP_004459168.1_785	24.545	330	329
WP_004503081.1	lcl|NZ_AOHB02000009.1_cds_WP_004459320.1_3241	27.236	246	329
WP_004503081.1	lcl|NZ_AOHB02000041.1_cds_WP_004479573.1_1881	30.286	175	329
WP_239248135.1	lcl|NZ_AOHB02000041.1_cds_WP_004462133.1_1908	27.174	184	267
WP_239248135.1	lcl|NZ_AOHB02000041.1_cds_WP_004477718.1_1882	26.442	208	267
