WP_002614501.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002725873.1_2097	95.283	106	106
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669917.1_2096	97.097	310	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011671202.1_3138	24.224	322	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669955.1_2047	22.277	202	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669957.1_2045	25.275	182	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670961.1_2784	24.759	311	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669973.1_2025	21.708	281	314
WP_004503085.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670813.1_2564	22.500	120	314
WP_004503080.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002750963.1_1321	34.177	158	185
WP_004503080.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669938.1_2065	33.898	177	185
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669955.1_2047	30.721	319	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011671202.1_3138	31.013	316	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670961.1_2784	30.968	310	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669973.1_2025	29.940	334	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669957.1_2045	29.773	309	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670813.1_2564	26.686	341	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002754065.1_2781	28.485	330	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011671143.1_3019	28.481	316	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011671074.1_2930	25.215	349	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669917.1_2096	28.112	249	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_017859386.1_1929	27.170	265	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669959.1_2043	28.311	219	329
WP_004503081.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669202.1_2358	24.405	336	329
WP_239248135.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669956.1_2046	26.582	237	267
WP_239248135.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669974.1_2024	26.455	189	267
WP_239248135.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670832.1_2589	33.333	114	267
WP_239248135.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670812.1_2563	26.984	189	267
WP_239248135.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002766579.1_652	36.047	86	267
WP_004503040.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670269.1_1772	26.426	333	509
WP_004503040.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002751286.1_1773	30.435	115	509
WP_004503040.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670269.1_1772	26.426	333	509
WP_004503040.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_002751286.1_1773	30.435	115	509
WP_061221763.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011670961.1_2784	26.740	273	330
WP_061221763.1	lcl|NZ_JAKUHQ010000002.1_cds_WP_011669955.1_2047	23.636	275	330
