WP_002614501.1	lcl|NZ_JQOY01000020.1_cds_WP_000340715.1_812	86.792	106	106
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_000410273.1_811	91.374	313	314
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_000093099.1_792	57.143	63	314
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_000646256.1_808	27.778	252	314
WP_004503085.1	lcl|NZ_JQOY01000001.1_cds_WP_000744700.1_44	23.077	325	314
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_000600889.1_783	23.656	186	314
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_000723092.1_730	22.145	289	314
WP_004503085.1	lcl|NZ_JQOY01000020.1_cds_WP_001067556.1_805	24.923	325	314
WP_004503038.1	lcl|NZ_JQOY01000020.1_cds_WP_000604524.1_810	83.562	365	365
WP_004503080.1	lcl|NZ_JQOY01000020.1_cds_WP_000884059.1_809	96.216	185	185
WP_004503080.1	lcl|NZ_JQOY01000043.1_cds_WP_000351733.1_1455	40.000	140	185
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000646256.1_808	94.529	329	329
WP_004503081.1	lcl|NZ_JQOY01000001.1_cds_WP_000744700.1_44	32.063	315	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000723092.1_730	29.851	335	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000600889.1_783	30.408	319	329
WP_004503081.1	lcl|NZ_JQOY01000012.1_cds_WP_001984071.1_449	30.945	307	329
WP_004503081.1	lcl|NZ_JQOY01000023.1_cds_WP_000649925.1_896	28.882	322	329
WP_004503081.1	lcl|NZ_JQOY01000026.1_cds_WP_000709513.1_1020	28.182	330	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_001067556.1_805	28.852	305	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000601375.1_756	25.000	300	329
WP_004503081.1	lcl|NZ_JQOY01000012.1_cds_WP_000688696.1_429	28.102	274	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000410273.1_811	26.266	316	329
WP_004503081.1	lcl|NZ_JQOY01000020.1_cds_WP_000475901.1_747	26.357	258	329
WP_004503081.1	lcl|NZ_JQOY01000096.1_cds_WP_001074785.1_2722	28.679	265	329
