WP_002614501.1	lcl|NZ_AFKS01000270.1_cds_WP_000340715.1_1263	86.792	106	106
WP_004503085.1	lcl|NZ_AFKS01000118.1_cds_WP_000630261.1_2737	93.258	267	314
WP_004503085.1	lcl|NZ_AFKS01000270.1_cds_WP_141567334.1_1262	82.692	52	314
WP_004503085.1	lcl|NZ_AFKS01000118.1_cds_WP_000093099.1_2717	57.143	63	314
WP_004503085.1	lcl|NZ_AFKS01000118.1_cds_WP_000646250.1_2734	28.175	252	314
WP_004503085.1	lcl|NZ_AFKS01000196.1_cds_WP_000744700.1_1785	23.077	325	314
WP_004503085.1	lcl|NZ_AFKS01000118.1_cds_WP_000600889.1_2708	23.656	186	314
WP_004503085.1	lcl|NZ_AFKS01000061.1_cds_WP_000723090.1_3420	22.145	289	314
WP_004503085.1	lcl|NZ_AFKS01000118.1_cds_WP_001067557.1_2731	24.923	325	314
WP_004503038.1	lcl|NZ_AFKS01000118.1_cds_WP_000604524.1_2736	83.562	365	365
WP_004503080.1	lcl|NZ_AFKS01000118.1_cds_WP_000884059.1_2735	96.216	185	185
WP_004503080.1	lcl|NZ_AFKS01000115.1_cds_WP_000351733.1_2796	40.000	140	185
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_000646250.1_2734	95.441	329	329
WP_004503081.1	lcl|NZ_AFKS01000196.1_cds_WP_000744700.1_1785	32.063	315	329
WP_004503081.1	lcl|NZ_AFKS01000061.1_cds_WP_000723090.1_3420	29.851	335	329
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_000600889.1_2708	30.408	319	329
WP_004503081.1	lcl|NZ_AFKS01000116.1_cds_WP_001984071.1_2754	30.945	307	329
WP_004503081.1	lcl|NZ_AFKS01000105.1_cds_WP_000649925.1_2971	28.882	322	329
WP_004503081.1	lcl|NZ_AFKS01000358.1_cds_WP_000709511.1_460	28.182	330	329
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_001067557.1_2731	28.852	305	329
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_000601375.1_2681	25.000	300	329
WP_004503081.1	lcl|NZ_AFKS01000116.1_cds_WP_000688695.1_2774	28.102	274	329
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_000630261.1_2737	28.112	249	329
WP_004503081.1	lcl|NZ_AFKS01000010.1_cds_WP_000475904.1_3824	26.642	274	329
WP_004503081.1	lcl|NZ_AFKS01000151.1_cds_WP_001074785.1_2226	28.679	265	329
WP_004503081.1	lcl|NZ_AFKS01000118.1_cds_WP_000487322.1_2683	27.385	325	329
