WP_002614501.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004462903.1_3491	92.453	106	106
WP_004503085.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004464977.1_3492	90.323	310	314
WP_004503085.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004464967.1_3545	24.138	203	314
WP_004503085.1	lcl|NZ_JAUOTH010000001.1_cds_WP_008393339.1_3461	23.913	322	314
WP_004503085.1	lcl|NZ_JAUOTH010000018.1_cds_WP_282964026.1_3547	25.683	183	314
WP_004503085.1	lcl|NZ_JAUOTH010000022.1_cds_WP_008394652.1_367	21.352	281	314
WP_004503085.1	lcl|NZ_JAUOTH010000013.1_cds_WP_004461234.1_447	24.042	287	314
WP_004503085.1	lcl|NZ_JAUOTH010000024.1_cds_WP_004468319.1_3150	23.529	102	314
WP_004503080.1	lcl|NZ_JAUOTH010000002.1_cds_WP_004460143.1_2208	34.247	146	185
WP_004503080.1	lcl|NZ_JAUOTH010000018.1_cds_WP_075918475.1_3528	35.028	177	185
WP_004503081.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004464967.1_3545	31.464	321	329
WP_004503081.1	lcl|NZ_JAUOTH010000001.1_cds_WP_008393339.1_3461	30.380	316	329
WP_004503081.1	lcl|NZ_JAUOTH010000013.1_cds_WP_004461234.1_447	31.715	309	329
WP_004503081.1	lcl|NZ_JAUOTH010000022.1_cds_WP_008394652.1_367	29.341	334	329
WP_004503081.1	lcl|NZ_JAUOTH010000018.1_cds_WP_282964026.1_3547	30.164	305	329
WP_004503081.1	lcl|NZ_JAUOTH010000024.1_cds_WP_004468319.1_3150	26.786	336	329
WP_004503081.1	lcl|NZ_JAUOTH010000013.1_cds_WP_004467290.1_444	28.882	322	329
WP_004503081.1	lcl|NZ_JAUOTH010000001.1_cds_WP_032928188.1_3345	28.571	322	329
WP_004503081.1	lcl|NZ_JAUOTH010000012.1_cds_WP_046943555.1_2762	25.634	355	329
WP_004503081.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004464977.1_3492	27.711	249	329
WP_004503081.1	lcl|NZ_JAUOTH010000009.1_cds_WP_008398679.1_778	27.652	264	329
WP_004503081.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004465101.1_3549	28.311	219	329
WP_004503081.1	lcl|NZ_JAUOTH010000014.1_cds_WP_282963968.1_202	24.545	330	329
WP_004503081.1	lcl|NZ_JAUOTH010000017.1_cds_WP_004472818.1_1475	27.236	246	329
WP_239248135.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004475169.1_3546	26.423	246	267
WP_239248135.1	lcl|NZ_JAUOTH010000024.1_cds_WP_004477560.1_3118	31.313	198	267
WP_239248135.1	lcl|NZ_JAUOTH010000022.1_cds_WP_004475142.1_366	26.316	190	267
WP_239248135.1	lcl|NZ_JAUOTH010000024.1_cds_WP_004477855.1_3151	27.128	188	267
WP_239248135.1	lcl|NZ_JAUOTH010000013.1_cds_WP_016754360.1_476	38.372	86	267
WP_004503040.1	lcl|NZ_JAUOTH010000006.1_cds_WP_004473482.1_2464	26.994	326	509
WP_004503040.1	lcl|NZ_JAUOTH010000006.1_cds_WP_004460640.1_2465	30.851	94	509
WP_004503040.1	lcl|NZ_JAUOTH010000006.1_cds_WP_004473482.1_2464	26.994	326	509
WP_004503040.1	lcl|NZ_JAUOTH010000006.1_cds_WP_004460640.1_2465	30.851	94	509
WP_061221763.1	lcl|NZ_JAUOTH010000013.1_cds_WP_004461234.1_447	25.641	273	330
WP_061221763.1	lcl|NZ_JAUOTH010000018.1_cds_WP_004464967.1_3545	23.273	275	330
WP_061221763.1	lcl|NZ_JAUOTH010000001.1_cds_WP_008393339.1_3461	27.899	276	330
WP_061221763.1	lcl|NZ_JAUOTH010000022.1_cds_WP_008394652.1_367	26.048	334	330
WP_061221763.1	lcl|NZ_JAUOTH010000014.1_cds_WP_282963968.1_202	25.103	243	330
WP_061221763.1	lcl|NZ_JAUOTH010000012.1_cds_WP_046943555.1_2762	26.906	223	330
WP_061221763.1	lcl|NZ_JAUOTH010000001.1_cds_WP_032928188.1_3345	29.528	254	330
WP_061221763.1	lcl|NZ_JAUOTH010000024.1_cds_WP_004468319.1_3150	27.273	132	330
WP_004503036.1	lcl|NZ_JAUOTH010000060.1_cds_WP_046944142.1_708	42.623	244	265
