WP_002614501.1	lcl|NZ_RQGD01000023.1_cds_WP_135623430.1_374	54.082	98	106
WP_004503085.1	lcl|NZ_RQGD01000046.1_cds_WP_135625458.1_1894	82.581	310	314
WP_004503085.1	lcl|NZ_RQGD01000022.1_cds_WP_135623212.1_2184	23.385	325	314
WP_004503085.1	lcl|NZ_RQGD01000023.1_cds_WP_210412795.1_373	23.622	254	314
WP_004503085.1	lcl|NZ_RQGD01000014.1_cds_WP_135622782.1_2970	23.214	168	314
WP_004503085.1	lcl|NZ_RQGD01000022.1_cds_WP_135623094.1_2056	21.698	318	314
WP_004503038.1	lcl|NZ_RQGD01000023.1_cds_WP_135623417.1_359	59.726	365	365
WP_004503080.1	lcl|NZ_RQGD01000023.1_cds_WP_135623434.1_380	32.877	146	185
WP_004503080.1	lcl|NZ_RQGD01000035.1_cds_WP_135624491.1_2491	36.054	147	185
WP_004503081.1	lcl|NZ_RQGD01000022.1_cds_WP_135623212.1_2184	32.177	317	329
WP_004503081.1	lcl|NZ_RQGD01000014.1_cds_WP_135622782.1_2970	28.613	346	329
WP_004503081.1	lcl|NZ_RQGD01000023.1_cds_WP_210412795.1_373	28.358	335	329
WP_004503081.1	lcl|NZ_RQGD01000022.1_cds_WP_135623094.1_2056	29.642	307	329
WP_004503081.1	lcl|NZ_RQGD01000022.1_cds_WP_135623235.1_2210	29.355	310	329
WP_004503081.1	lcl|NZ_RQGD01000023.1_cds_WP_135623450.1_396	31.679	262	329
WP_004503081.1	lcl|NZ_RQGD01000046.1_cds_WP_135625074.1_1617	26.154	325	329
WP_004503081.1	lcl|NZ_RQGD01000046.1_cds_WP_135625458.1_1894	25.316	316	329
WP_004503081.1	lcl|NZ_RQGD01000035.1_cds_WP_135624324.1_2315	25.466	322	329
WP_004503081.1	lcl|NZ_RQGD01000035.1_cds_WP_135624331.1_2322	25.455	275	329
WP_004503081.1	lcl|NZ_RQGD01000035.1_cds_WP_135624345.1_2337	25.000	264	329
WP_004503081.1	lcl|NZ_RQGD01000014.1_cds_WP_210412779.1_2959	25.974	231	329
WP_004503081.1	lcl|NZ_RQGD01000034.1_cds_WP_135624177.1_1262	28.966	290	329
WP_004503081.1	lcl|NZ_RQGD01000035.1_cds_WP_246047356.1_2311	23.684	342	329
WP_239248135.1	lcl|NZ_RQGD01000035.1_cds_WP_135624400.1_2397	24.528	265	267
WP_239248135.1	lcl|NZ_RQGD01000023.1_cds_WP_135623432.1_377	27.957	186	267
