WP_002614501.1	lcl|NZ_JQPO01000042.1_cds_WP_000340715.1_1038	86.792	106	106
WP_004503085.1	lcl|NZ_JQPO01000042.1_cds_WP_000410275.1_1037	91.613	310	314
WP_004503085.1	lcl|NZ_JQPO01000042.1_cds_WP_000723078.1_988	21.942	278	314
WP_004503085.1	lcl|NZ_JQPO01000011.1_cds_WP_000744700.1_329	23.077	325	314
WP_004503085.1	lcl|NZ_JQPO01000042.1_cds_WP_000723090.1_968	22.145	289	314
WP_004503085.1	lcl|NZ_JQPO01000042.1_cds_WP_000567887.1_986	24.725	182	314
WP_004503080.1	lcl|NZ_JQPO01000047.1_cds_WP_000351733.1_1118	40.000	140	185
WP_004503080.1	lcl|NZ_JQPO01000042.1_cds_WP_001047905.1_1006	33.898	177	185
WP_004503081.1	lcl|NZ_JQPO01000011.1_cds_WP_000744700.1_329	32.063	315	329
WP_004503081.1	lcl|NZ_JQPO01000042.1_cds_WP_000723078.1_988	30.841	321	329
WP_004503081.1	lcl|NZ_JQPO01000042.1_cds_WP_000723090.1_968	29.851	335	329
WP_004503081.1	lcl|NZ_JQPO01000006.1_cds_WP_001984071.1_157	30.945	307	329
WP_004503081.1	lcl|NZ_JQPO01000042.1_cds_WP_000567887.1_986	28.525	305	329
WP_004503081.1	lcl|NZ_JQPO01000010.1_cds_WP_000649924.1_212	28.882	322	329
WP_004503081.1	lcl|NZ_JQPO01000069.1_cds_WP_000709511.1_1545	28.182	330	329
WP_004503081.1	lcl|NZ_JQPO01000006.1_cds_WP_000688696.1_137	28.102	274	329
WP_004503081.1	lcl|NZ_JQPO01000042.1_cds_WP_000410275.1_1037	26.586	331	329
WP_004503081.1	lcl|NZ_JQPO01000042.1_cds_WP_000460023.1_984	27.854	219	329
WP_004503081.1	lcl|NZ_JQPO01000118.1_cds_WP_001074783.1_2444	28.302	265	329
WP_004503081.1	lcl|NZ_JQPO01000056.1_cds_WP_061270835.1_1329	26.000	250	329
WP_239248135.1	lcl|NZ_JQPO01000042.1_cds_WP_000043898.1_987	26.016	246	267
WP_239248135.1	lcl|NZ_JQPO01000042.1_cds_WP_000842260.1_967	26.316	190	267
WP_239248135.1	lcl|NZ_JQPO01000101.1_cds_WP_000667727.1_2168	32.727	110	267
WP_239248135.1	lcl|NZ_JQPO01000185.1_cds_WP_000805357.1_3460	37.209	86	267
WP_004503040.1	lcl|NZ_JQPO01000075.1_cds_WP_000291585.1_1632	26.791	321	509
WP_004503040.1	lcl|NZ_JQPO01000075.1_cds_WP_000364504.1_1633	28.723	94	509
WP_004503040.1	lcl|NZ_JQPO01000075.1_cds_WP_000291585.1_1632	26.791	321	509
WP_004503040.1	lcl|NZ_JQPO01000075.1_cds_WP_000364504.1_1633	28.723	94	509
WP_061221763.1	lcl|NZ_JQPO01000042.1_cds_WP_000723078.1_988	22.909	275	330
WP_061221763.1	lcl|NZ_JQPO01000006.1_cds_WP_001984071.1_157	25.368	272	330
WP_061221763.1	lcl|NZ_JQPO01000011.1_cds_WP_000744700.1_329	26.582	316	330
WP_061221763.1	lcl|NZ_JQPO01000056.1_cds_WP_061270835.1_1329	27.888	251	330
WP_061221763.1	lcl|NZ_JQPO01000042.1_cds_WP_000723090.1_968	24.324	333	330
WP_061221763.1	lcl|NZ_JQPO01000010.1_cds_WP_000649924.1_212	29.615	260	330
WP_061221763.1	lcl|NZ_JQPO01000006.1_cds_WP_000688696.1_137	25.339	221	330
WP_004503036.1	lcl|NZ_JQPO01000055.1_cds_WP_001002663.1_1304	41.803	244	265
WP_004503036.1	lcl|NZ_JQPO01000036.1_cds_WP_001183723.1_825	27.746	173	265
WP_004503060.1	lcl|NZ_JQPO01000116.1_cds_WP_000501205.1_2418	36.304	303	310
