WP_002614501.1	lcl|NZ_JQPB01000105.1_cds_WP_000340715.1_1872	86.792	106	106
WP_004503085.1	lcl|NZ_JQPB01000105.1_cds_WP_000410273.1_1871	91.374	313	314
WP_004503085.1	lcl|NZ_JQPB01000105.1_cds_WP_000646255.1_1868	28.175	252	314
WP_004503085.1	lcl|NZ_JQPB01000165.1_cds_WP_000744695.1_2573	23.077	325	314
WP_004503085.1	lcl|NZ_JQPB01000104.1_cds_WP_000600891.1_1839	23.656	186	314
WP_004503085.1	lcl|NZ_JQPB01000167.1_cds_WP_000649929.1_2738	28.151	238	314
WP_004503085.1	lcl|NZ_JQPB01000101.1_cds_WP_000723081.1_1786	22.145	289	314
WP_004503085.1	lcl|NZ_JQPB01000105.1_cds_WP_001067557.1_1865	24.923	325	314
WP_004503038.1	lcl|NZ_JQPB01000105.1_cds_WP_000604524.1_1870	83.562	365	365
WP_004503080.1	lcl|NZ_JQPB01000105.1_cds_WP_000884059.1_1869	96.216	185	185
WP_004503080.1	lcl|NZ_JQPB01000089.1_cds_WP_000351733.1_1509	40.000	140	185
WP_004503081.1	lcl|NZ_JQPB01000105.1_cds_WP_000646255.1_1868	93.921	329	329
WP_004503081.1	lcl|NZ_JQPB01000165.1_cds_WP_000744695.1_2573	32.063	315	329
WP_004503081.1	lcl|NZ_JQPB01000104.1_cds_WP_000600891.1_1839	30.721	319	329
WP_004503081.1	lcl|NZ_JQPB01000101.1_cds_WP_000723081.1_1786	29.851	335	329
WP_004503081.1	lcl|NZ_JQPB01000130.1_cds_WP_002064390.1_2183	30.619	307	329
WP_004503081.1	lcl|NZ_JQPB01000167.1_cds_WP_000649929.1_2738	28.882	322	329
WP_004503081.1	lcl|NZ_JQPB01000130.1_cds_WP_000709511.1_2193	28.182	330	329
WP_004503081.1	lcl|NZ_JQPB01000105.1_cds_WP_001067557.1_1865	28.852	305	329
WP_004503081.1	lcl|NZ_JQPB01000104.1_cds_WP_000601375.1_1812	25.000	300	329
WP_004503081.1	lcl|NZ_JQPB01000129.1_cds_WP_000688698.1_2163	28.102	274	329
WP_004503081.1	lcl|NZ_JQPB01000105.1_cds_WP_000410273.1_1871	26.266	316	329
WP_004503081.1	lcl|NZ_JQPB01000103.1_cds_WP_000475897.1_1804	26.357	258	329
WP_004503081.1	lcl|NZ_JQPB01000079.1_cds_WP_001074779.1_1293	28.302	265	329
WP_004503081.1	lcl|NZ_JQPB01000104.1_cds_WP_000487319.1_1814	27.692	325	329
WP_004503081.1	lcl|NZ_JQPB01000156.1_cds_WP_001003563.1_2440	25.600	250	329
WP_239248135.1	lcl|NZ_JQPB01000105.1_cds_WP_000774259.1_1867	94.382	267	267
WP_239248135.1	lcl|NZ_JQPB01000104.1_cds_WP_000859505.1_1815	27.885	208	267
WP_239248135.1	lcl|NZ_JQPB01000104.1_cds_WP_000800439.1_1834	26.178	191	267
WP_239248135.1	lcl|NZ_JQPB01000101.1_cds_WP_000842260.1_1785	26.316	190	267
WP_239248135.1	lcl|NZ_JQPB01000129.1_cds_WP_000667727.1_2141	32.727	110	267
WP_239248135.1	lcl|NZ_JQPB01000179.1_cds_WP_000805357.1_2969	37.209	86	267
WP_004503040.1	lcl|NZ_JQPB01000105.1_cds_JH13_RS09580_1866	90.385	312	509
WP_004503040.1	lcl|NZ_JQPB01000105.1_cds_JH13_RS09580_1866	93.970	199	509
WP_004503040.1	lcl|NZ_JQPB01000077.1_cds_WP_000291581.1_1217	26.791	321	509
WP_004503040.1	lcl|NZ_JQPB01000077.1_cds_WP_000364504.1_1218	28.723	94	509
WP_004503040.1	lcl|NZ_JQPB01000105.1_cds_JH13_RS09580_1866	90.385	312	509
WP_004503040.1	lcl|NZ_JQPB01000105.1_cds_JH13_RS09580_1866	93.970	199	509
WP_004503040.1	lcl|NZ_JQPB01000077.1_cds_WP_000291581.1_1217	26.791	321	509
WP_004503040.1	lcl|NZ_JQPB01000077.1_cds_WP_000364504.1_1218	28.723	94	509
WP_061221763.1	lcl|NZ_JQPB01000105.1_cds_WP_001067557.1_1865	97.576	330	330
WP_061221763.1	lcl|NZ_JQPB01000105.1_cds_WP_000646255.1_1868	29.642	307	330
WP_061221763.1	lcl|NZ_JQPB01000104.1_cds_WP_000600891.1_1839	26.692	266	330
WP_061221763.1	lcl|NZ_JQPB01000130.1_cds_WP_002064390.1_2183	25.735	272	330
WP_061221763.1	lcl|NZ_JQPB01000165.1_cds_WP_000744695.1_2573	26.899	316	330
