WP_002614501.1	lcl|NZ_JQPU01000035.1_cds_WP_000340715.1_825	86.792	106	106
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_000410267.1_824	91.693	313	314
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_000646251.1_821	27.778	252	314
WP_004503085.1	lcl|NZ_JQPU01000019.1_cds_WP_000744698.1_358	23.077	325	314
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_061255837.1_793	23.656	186	314
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_061269945.1_738	22.145	289	314
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_001067556.1_818	24.923	325	314
WP_004503085.1	lcl|NZ_JQPU01000035.1_cds_WP_000025488.1_799	22.601	323	314
WP_004503038.1	lcl|NZ_JQPU01000035.1_cds_WP_061269957.1_823	83.014	365	365
WP_004503080.1	lcl|NZ_JQPU01000035.1_cds_WP_000884059.1_822	96.216	185	185
WP_004503080.1	lcl|NZ_JQPU01000045.1_cds_WP_000351733.1_1043	40.000	140	185
WP_004503081.1	lcl|NZ_JQPU01000035.1_cds_WP_000646251.1_821	94.833	329	329
WP_004503081.1	lcl|NZ_JQPU01000019.1_cds_WP_000744698.1_358	32.063	315	329
WP_004503081.1	lcl|NZ_JQPU01000035.1_cds_WP_061269945.1_738	29.851	335	329
WP_004503081.1	lcl|NZ_JQPU01000035.1_cds_WP_061255837.1_793	30.408	319	329
WP_004503081.1	lcl|NZ_JQPU01000140.1_cds_WP_002064390.1_2769	30.619	307	329
WP_004503081.1	lcl|NZ_JQPU01000156.1_cds_WP_000649924.1_2947	28.882	322	329
WP_004503081.1	lcl|NZ_JQPU01000177.1_cds_WP_000709511.1_3256	28.182	330	329
WP_004503081.1	lcl|NZ_JQPU01000035.1_cds_WP_061234286.1_764	25.333	300	329
WP_004503081.1	lcl|NZ_JQPU01000035.1_cds_WP_001067556.1_818	28.852	305	329
WP_004503081.1	lcl|NZ_JQPU01000140.1_cds_WP_000688698.1_2748	28.102	274	329
