WP_002614501.1	lcl|NZ_AHQQ01000424.1_cds_WP_000340715.1_193	86.792	106	106
WP_004503085.1	lcl|NZ_AHQQ01000424.1_cds_WP_000410273.1_192	91.374	313	314
WP_004503085.1	lcl|NZ_AHQQ01000079.1_cds_WP_000093099.1_3063	57.143	63	314
WP_004503085.1	lcl|NZ_AHQQ01000424.1_cds_WP_000646250.1_189	28.175	252	314
WP_004503085.1	lcl|NZ_AHQQ01000084.1_cds_WP_000744700.1_2904	23.077	325	314
WP_004503085.1	lcl|NZ_AHQQ01000079.1_cds_WP_000600889.1_3054	23.656	186	314
WP_004503085.1	lcl|NZ_AHQQ01000079.1_cds_WP_000723090.1_3001	22.145	289	314
WP_004503085.1	lcl|NZ_AHQQ01000424.1_cds_WP_001067557.1_186	24.923	325	314
WP_004503038.1	lcl|NZ_AHQQ01000424.1_cds_WP_000604524.1_191	83.562	365	365
WP_004503080.1	lcl|NZ_AHQQ01000424.1_cds_WP_000884059.1_190	96.216	185	185
WP_004503080.1	lcl|NZ_AHQQ01000125.1_cds_WP_000351733.1_2191	40.000	140	185
WP_004503081.1	lcl|NZ_AHQQ01000424.1_cds_WP_000646250.1_189	95.441	329	329
WP_004503081.1	lcl|NZ_AHQQ01000084.1_cds_WP_000744700.1_2904	32.063	315	329
WP_004503081.1	lcl|NZ_AHQQ01000079.1_cds_WP_000723090.1_3001	29.851	335	329
WP_004503081.1	lcl|NZ_AHQQ01000079.1_cds_WP_000600889.1_3054	30.408	319	329
WP_004503081.1	lcl|NZ_AHQQ01000235.1_cds_WP_001984071.1_1168	30.945	307	329
WP_004503081.1	lcl|NZ_AHQQ01000197.1_cds_WP_000649925.1_1725	28.882	322	329
WP_004503081.1	lcl|NZ_AHQQ01000114.1_cds_WP_000709511.1_2335	28.182	330	329
WP_004503081.1	lcl|NZ_AHQQ01000424.1_cds_WP_001067557.1_186	28.852	305	329
WP_004503081.1	lcl|NZ_AHQQ01000079.1_cds_WP_000601375.1_3027	25.000	300	329
WP_004503081.1	lcl|NZ_AHQQ01000103.1_cds_WP_000688695.1_2463	28.102	274	329
WP_004503081.1	lcl|NZ_AHQQ01000424.1_cds_WP_000410273.1_192	26.266	316	329
WP_004503081.1	lcl|NZ_AHQQ01000079.1_cds_WP_000475904.1_3018	26.642	274	329
WP_004503081.1	lcl|NZ_AHQQ01000081.1_cds_WP_001074785.1_2961	28.679	265	329
WP_004503081.1	lcl|NZ_AHQQ01000079.1_cds_WP_000487322.1_3029	27.385	325	329
WP_004503081.1	lcl|NZ_AHQQ01000263.1_cds_WP_001003553.1_888	26.000	250	329
WP_239248135.1	lcl|NZ_AHQQ01000424.1_cds_WP_000774262.1_188	94.007	267	267
WP_239248135.1	lcl|NZ_AHQQ01000079.1_cds_WP_000859505.1_3030	27.885	208	267
WP_239248135.1	lcl|NZ_AHQQ01000079.1_cds_WP_000800438.1_3049	26.178	191	267
WP_239248135.1	lcl|NZ_AHQQ01000079.1_cds_WP_000842260.1_3000	26.316	190	267
WP_239248135.1	lcl|NZ_AHQQ01000296.1_cds_WP_000667727.1_699	32.727	110	267
WP_239248135.1	lcl|NZ_AHQQ01000072.1_cds_WP_000805357.1_3195	37.209	86	267
WP_004503040.1	lcl|NZ_AHQQ01000424.1_cds_WP_000612797.1_187	92.731	509	509
WP_004503040.1	lcl|NZ_AHQQ01000117.1_cds_WP_000291591.1_2300	26.791	321	509
WP_004503040.1	lcl|NZ_AHQQ01000117.1_cds_WP_000364507.1_2299	28.723	94	509
