WP_002614501.1	lcl|NZ_AKXA02000046.1_cds_WP_000340715.1_1046	86.792	106	106
WP_004503085.1	lcl|NZ_AKXA02000046.1_cds_WP_000410275.1_1047	91.613	310	314
WP_004503085.1	lcl|NZ_AKXA02000046.1_cds_WP_000723078.1_1096	21.942	278	314
WP_004503085.1	lcl|NZ_AKXA02000047.1_cds_WP_000744700.1_267	23.077	325	314
WP_004503085.1	lcl|NZ_AKXA02000046.1_cds_WP_000723090.1_1116	22.145	289	314
WP_004503085.1	lcl|NZ_AKXA02000046.1_cds_WP_000567887.1_1098	24.725	182	314
WP_004503080.1	lcl|NZ_AKXA02000018.1_cds_WP_000351733.1_2681	40.000	140	185
WP_004503080.1	lcl|NZ_AKXA02000046.1_cds_WP_001047905.1_1078	33.898	177	185
WP_004503081.1	lcl|NZ_AKXA02000047.1_cds_WP_000744700.1_267	32.063	315	329
WP_004503081.1	lcl|NZ_AKXA02000046.1_cds_WP_000723078.1_1096	30.841	321	329
WP_004503081.1	lcl|NZ_AKXA02000046.1_cds_WP_000723090.1_1116	29.851	335	329
WP_004503081.1	lcl|NZ_AKXA02000017.1_cds_WP_001984071.1_2846	30.945	307	329
WP_004503081.1	lcl|NZ_AKXA02000046.1_cds_WP_000567887.1_1098	28.525	305	329
WP_004503081.1	lcl|NZ_AKXA02000047.1_cds_WP_000649923.1_428	28.882	322	329
WP_004503081.1	lcl|NZ_AKXA02000017.1_cds_WP_000709511.1_2857	28.182	330	329
WP_004503081.1	lcl|NZ_AKXA02000017.1_cds_WP_000688696.1_2826	28.102	274	329
WP_004503081.1	lcl|NZ_AKXA02000046.1_cds_WP_000410275.1_1047	26.586	331	329
WP_004503081.1	lcl|NZ_AKXA02000024.1_cds_WP_001074785.1_2408	28.679	265	329
WP_004503081.1	lcl|NZ_AKXA02000046.1_cds_WP_000460023.1_1100	27.854	219	329
WP_004503081.1	lcl|NZ_AKXA02000003.1_cds_WP_001003557.1_3877	24.390	328	329
WP_239248135.1	lcl|NZ_AKXA02000046.1_cds_WP_000043898.1_1097	26.016	246	267
WP_239248135.1	lcl|NZ_AKXA02000046.1_cds_WP_000842260.1_1117	26.316	190	267
WP_239248135.1	lcl|NZ_AKXA02000017.1_cds_WP_000667727.1_2804	32.727	110	267
WP_239248135.1	lcl|NZ_AKXA02000047.1_cds_WP_000805357.1_649	37.209	86	267
WP_004503040.1	lcl|NZ_AKXA02000024.1_cds_WP_000291586.1_2335	26.791	321	509
WP_004503040.1	lcl|NZ_AKXA02000024.1_cds_WP_000364507.1_2336	28.723	94	509
WP_004503040.1	lcl|NZ_AKXA02000024.1_cds_WP_000291586.1_2335	26.791	321	509
WP_004503040.1	lcl|NZ_AKXA02000024.1_cds_WP_000364507.1_2336	28.723	94	509
WP_061221763.1	lcl|NZ_AKXA02000046.1_cds_WP_000723078.1_1096	22.909	275	330
WP_061221763.1	lcl|NZ_AKXA02000017.1_cds_WP_001984071.1_2846	25.368	272	330
WP_061221763.1	lcl|NZ_AKXA02000047.1_cds_WP_000744700.1_267	26.582	316	330
WP_061221763.1	lcl|NZ_AKXA02000003.1_cds_WP_001003557.1_3877	27.888	251	330
WP_061221763.1	lcl|NZ_AKXA02000046.1_cds_WP_000723090.1_1116	24.324	333	330
WP_061221763.1	lcl|NZ_AKXA02000047.1_cds_WP_000649923.1_428	29.615	260	330
WP_061221763.1	lcl|NZ_AKXA02000017.1_cds_WP_000688696.1_2826	25.339	221	330
WP_004503036.1	lcl|NZ_AKXA02000036.1_cds_WP_001002663.1_1850	41.803	244	265
WP_004503036.1	lcl|NZ_AKXA02000032.1_cds_WP_001183723.1_1894	27.746	173	265
WP_004503060.1	lcl|NZ_AKXA02000014.1_cds_WP_002187782.1_3253	36.304	303	310
WP_004503060.1	lcl|NZ_AKXA02000032.1_cds_WP_001183723.1_1894	30.000	250	310
WP_004503060.1	lcl|NZ_AKXA02000043.1_cds_WP_000279895.1_1281	24.335	263	310
WP_004503060.1	lcl|NZ_AKXA02000014.1_cds_WP_002187782.1_3253	36.304	303	310
WP_004503060.1	lcl|NZ_AKXA02000032.1_cds_WP_001183723.1_1894	30.000	250	310
WP_004503060.1	lcl|NZ_AKXA02000043.1_cds_WP_000279895.1_1281	24.335	263	310
WP_004503042.1	lcl|NZ_AKXA02000046.1_cds_WP_001075146.1_1063	29.730	111	221
WP_004503042.1	lcl|NZ_AKXA02000014.1_cds_WP_001069832.1_3234	29.412	102	221
WP_004503042.1	lcl|NZ_AKXA02000047.1_cds_WP_001082180.1_296	23.077	78	221
WP_016758358.1	lcl|NZ_AKXA02000014.1_cds_WP_000347675.1_3233	29.221	154	316
WP_016758358.1	lcl|NZ_AKXA02000046.1_cds_WP_002188971.1_1087	28.571	140	316
WP_016758358.1	lcl|NZ_AKXA02000046.1_cds_WP_000402845.1_863	22.368	152	316
WP_016758358.1	lcl|NZ_AKXA02000047.1_cds_WP_001082180.1_296	24.540	163	316
