WP_002614501.1	lcl|NZ_RQHF01000008.1_cds_WP_002983174.1_3267	57.647	85	106
WP_004503085.1	lcl|NZ_RQHF01000008.1_cds_WP_135656840.1_3266	80.323	310	314
WP_004503085.1	lcl|NZ_RQHF01000035.1_cds_WP_002988752.1_1415	22.936	327	314
WP_004503085.1	lcl|NZ_RQHF01000035.1_cds_WP_135660461.1_1442	26.837	313	314
WP_004503085.1	lcl|NZ_RQHF01000028.1_cds_WP_002976825.1_178	23.988	321	314
WP_004503085.1	lcl|NZ_RQHF01000042.1_cds_WP_135661006.1_3186	21.354	192	314
WP_004503080.1	lcl|NZ_RQHF01000025.1_cds_WP_135658473.1_2509	32.121	165	185
WP_004503081.1	lcl|NZ_RQHF01000035.1_cds_WP_002988752.1_1415	31.429	315	329
WP_004503081.1	lcl|NZ_RQHF01000028.1_cds_WP_002976825.1_178	29.085	306	329
WP_004503081.1	lcl|NZ_RQHF01000042.1_cds_WP_135661006.1_3186	28.446	341	329
WP_004503081.1	lcl|NZ_RQHF01000035.1_cds_WP_135660461.1_1442	26.923	312	329
WP_004503081.1	lcl|NZ_RQHF01000008.1_cds_WP_135656796.1_3239	27.574	272	329
WP_004503081.1	lcl|NZ_RQHF01000028.1_cds_WP_135659413.1_351	25.466	322	329
WP_004503081.1	lcl|NZ_RQHF01000008.1_cds_WP_135656840.1_3266	27.215	316	329
WP_004503081.1	lcl|NZ_RQHF01000008.1_cds_WP_135656761.1_3225	26.277	274	329
WP_004503081.1	lcl|NZ_RQHF01000028.1_cds_WP_135659487.1_404	27.778	252	329
WP_004503081.1	lcl|NZ_RQHF01000016.1_cds_WP_135658339.1_3572	24.409	254	329
WP_004503081.1	lcl|NZ_RQHF01000030.1_cds_WP_135659750.1_1856	26.217	267	329
WP_004503081.1	lcl|NZ_RQHF01000008.1_cds_WP_135656743.1_3216	22.745	255	329
WP_004503081.1	lcl|NZ_RQHF01000035.1_cds_WP_135660392.1_1363	28.824	170	329
WP_004503081.1	lcl|NZ_RQHF01000042.1_cds_WP_198288770.1_3197	26.407	231	329
WP_004503081.1	lcl|NZ_RQHF01000008.1_cds_WP_210413163.1_3229	33.929	112	329
WP_004503081.1	lcl|NZ_RQHF01000028.1_cds_WP_135659711.1_396	26.190	126	329
WP_239248135.1	lcl|NZ_RQHF01000030.1_cds_WP_135659777.1_1917	24.528	265	267
WP_239248135.1	lcl|NZ_RQHF01000008.1_cds_WP_135656753.1_3221	24.138	261	267
WP_239248135.1	lcl|NZ_RQHF01000028.1_cds_WP_083901906.1_287	27.485	171	267
WP_239248135.1	lcl|NZ_RQHF01000042.1_cds_WP_135661005.1_3185	25.381	197	267
WP_004503040.1	lcl|NZ_RQHF01000025.1_cds_WP_135658447.1_2487	24.107	336	509
WP_004503040.1	lcl|NZ_RQHF01000025.1_cds_WP_135658445.1_2486	28.947	114	509
