WP_002614501.1	lcl|NZ_JADDWG010000006.1_cds_WP_002725873.1_3010	95.283	106	106
WP_004503085.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733579.1_3009	97.444	313	314
WP_004503085.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733534.1_3006	27.381	252	314
WP_004503085.1	lcl|NZ_JADDWG010000018.1_cds_WP_002722638.1_677	24.534	322	314
WP_004503085.1	lcl|NZ_JADDWG010000006.1_cds_WP_002740024.1_2915	21.708	281	314
WP_004503085.1	lcl|NZ_JADDWG010000007.1_cds_WP_002728309.1_3105	24.759	311	314
WP_004503085.1	lcl|NZ_JADDWG010000012.1_cds_WP_002743770.1_259	23.770	122	314
WP_004503085.1	lcl|NZ_JADDWG010000006.1_cds_WP_002740721.1_3003	24.308	325	314
WP_004503085.1	lcl|NZ_JADDWG010000006.1_cds_WP_016749081.1_2977	25.641	117	314
WP_004503038.1	lcl|NZ_JADDWG010000006.1_cds_WP_026054882.1_3008	93.425	365	365
WP_004503080.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733646.1_3007	96.216	185	185
WP_004503080.1	lcl|NZ_JADDWG010000003.1_cds_WP_002721790.1_2047	36.301	146	185
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733534.1_3006	93.921	329	329
WP_004503081.1	lcl|NZ_JADDWG010000018.1_cds_WP_002722638.1_677	30.380	316	329
WP_004503081.1	lcl|NZ_JADDWG010000007.1_cds_WP_002728309.1_3105	30.645	310	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002740024.1_2915	30.448	335	329
WP_004503081.1	lcl|NZ_JADDWG010000012.1_cds_WP_002743770.1_259	26.686	341	329
WP_004503081.1	lcl|NZ_JADDWG010000007.1_cds_WP_002728316.1_3108	28.485	330	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733638.1_2969	27.714	350	329
WP_004503081.1	lcl|NZ_JADDWG010000078.1_cds_WP_002741146.1_3092	28.165	316	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733546.1_2940	26.119	268	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002740721.1_3003	28.939	311	329
WP_004503081.1	lcl|NZ_JADDWG010000008.1_cds_WP_002732331.1_3321	25.000	348	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733579.1_3009	27.711	249	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002744551.1_2975	28.148	270	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_016749081.1_2977	23.913	322	329
WP_004503081.1	lcl|NZ_JADDWG010000058.1_cds_WP_002740236.1_2602	27.170	265	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733698.1_2932	25.912	274	329
WP_004503081.1	lcl|NZ_JADDWG010000004.1_cds_WP_002721725.1_2334	25.000	336	329
WP_004503081.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733757.1_2942	27.431	288	329
WP_004503081.1	lcl|NZ_JADDWG010000004.1_cds_WP_002739935.1_2422	28.235	170	329
WP_239248135.1	lcl|NZ_JADDWG010000006.1_cds_WP_002733627.1_3005	92.135	267	267
