WP_002614501.1	lcl|NZ_AFKO01000031.1_cds_WP_000340715.1_3045	86.792	106	106
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_000410273.1_3046	91.374	313	314
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_000093099.1_3066	57.143	63	314
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_000646250.1_3049	28.175	252	314
WP_004503085.1	lcl|NZ_AFKO01000272.1_cds_WP_000744700.1_83	23.077	325	314
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_000600889.1_3075	23.656	186	314
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_000723090.1_3128	22.145	289	314
WP_004503085.1	lcl|NZ_AFKO01000031.1_cds_WP_001067557.1_3052	24.923	325	314
WP_004503038.1	lcl|NZ_AFKO01000031.1_cds_WP_000604524.1_3047	83.562	365	365
WP_004503080.1	lcl|NZ_AFKO01000031.1_cds_WP_000884059.1_3048	96.216	185	185
WP_004503080.1	lcl|NZ_AFKO01000014.1_cds_WP_000351733.1_3594	40.000	140	185
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000646250.1_3049	95.441	329	329
WP_004503081.1	lcl|NZ_AFKO01000272.1_cds_WP_000744700.1_83	32.063	315	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000723090.1_3128	29.851	335	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000600889.1_3075	30.408	319	329
WP_004503081.1	lcl|NZ_AFKO01000044.1_cds_WP_001984071.1_2533	30.945	307	329
WP_004503081.1	lcl|NZ_AFKO01000123.1_cds_WP_000649925.1_1446	28.882	322	329
WP_004503081.1	lcl|NZ_AFKO01000145.1_cds_WP_000709511.1_1090	28.182	330	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_001067557.1_3052	28.852	305	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000601375.1_3102	25.000	300	329
WP_004503081.1	lcl|NZ_AFKO01000044.1_cds_WP_000688695.1_2553	28.102	274	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000410273.1_3046	26.266	316	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000475904.1_3111	26.642	274	329
WP_004503081.1	lcl|NZ_AFKO01000124.1_cds_WP_001074785.1_1411	28.679	265	329
WP_004503081.1	lcl|NZ_AFKO01000031.1_cds_WP_000487322.1_3100	27.385	325	329
WP_004503081.1	lcl|NZ_AFKO01000118.1_cds_WP_001003555.1_1617	24.551	334	329
WP_239248135.1	lcl|NZ_AFKO01000031.1_cds_WP_000774262.1_3050	94.007	267	267
WP_239248135.1	lcl|NZ_AFKO01000031.1_cds_WP_000859505.1_3099	27.885	208	267
WP_239248135.1	lcl|NZ_AFKO01000031.1_cds_WP_000800438.1_3080	26.178	191	267
WP_239248135.1	lcl|NZ_AFKO01000031.1_cds_WP_000842260.1_3129	26.316	190	267
WP_239248135.1	lcl|NZ_AFKO01000041.1_cds_WP_000667727.1_2657	32.727	110	267
WP_239248135.1	lcl|NZ_AFKO01000072.1_cds_WP_000805357.1_2098	37.209	86	267
WP_004503040.1	lcl|NZ_AFKO01000031.1_cds_WP_000612797.1_3051	92.731	509	509
WP_004503040.1	lcl|NZ_AFKO01000137.1_cds_WP_000291591.1_1189	26.791	321	509
WP_004503040.1	lcl|NZ_AFKO01000137.1_cds_WP_000364507.1_1190	28.723	94	509
WP_004503040.1	lcl|NZ_AFKO01000031.1_cds_WP_000612797.1_3051	92.731	509	509
WP_004503040.1	lcl|NZ_AFKO01000137.1_cds_WP_000291591.1_1189	26.791	321	509
WP_004503040.1	lcl|NZ_AFKO01000137.1_cds_WP_000364507.1_1190	28.723	94	509
WP_061221763.1	lcl|NZ_AFKO01000031.1_cds_WP_001067557.1_3052	97.576	330	330
WP_061221763.1	lcl|NZ_AFKO01000031.1_cds_WP_000646250.1_3049	29.316	307	330
WP_061221763.1	lcl|NZ_AFKO01000031.1_cds_WP_000600889.1_3075	26.316	266	330
WP_061221763.1	lcl|NZ_AFKO01000044.1_cds_WP_001984071.1_2533	25.368	272	330
WP_061221763.1	lcl|NZ_AFKO01000272.1_cds_WP_000744700.1_83	26.582	316	330
WP_061221763.1	lcl|NZ_AFKO01000118.1_cds_WP_001003555.1_1617	27.888	251	330
WP_061221763.1	lcl|NZ_AFKO01000031.1_cds_WP_000723090.1_3128	24.324	333	330
WP_061221763.1	lcl|NZ_AFKO01000123.1_cds_WP_000649925.1_1446	29.615	260	330
