WP_002614501.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000340715.1_879	86.792	106	106
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000410273.1_880	91.374	313	314
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000093099.1_900	57.143	63	314
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000646250.1_883	28.175	252	314
WP_004503085.1	lcl|NZ_JAGGCH010000006.1_cds_WP_000744700.1_1051	23.077	325	314
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000600889.1_909	23.656	186	314
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000723090.1_962	22.145	289	314
WP_004503085.1	lcl|NZ_JAGGCH010000005.1_cds_WP_001067557.1_886	24.923	325	314
WP_004503038.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000604524.1_881	83.562	365	365
WP_004503080.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000884059.1_882	96.216	185	185
WP_004503080.1	lcl|NZ_JAGGCH010000003.1_cds_WP_000351733.1_634	40.000	140	185
WP_004503081.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000646250.1_883	95.441	329	329
WP_004503081.1	lcl|NZ_JAGGCH010000006.1_cds_WP_000744700.1_1051	32.063	315	329
WP_004503081.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000723090.1_962	29.851	335	329
WP_004503081.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000600889.1_909	30.408	319	329
WP_004503081.1	lcl|NZ_JAGGCH010000029.1_cds_WP_001984071.1_2913	30.945	307	329
WP_004503081.1	lcl|NZ_JAGGCH010000008.1_cds_WP_000649925.1_1335	28.882	322	329
WP_004503081.1	lcl|NZ_JAGGCH010000059.1_cds_WP_000709511.1_3689	28.182	330	329
WP_004503081.1	lcl|NZ_JAGGCH010000005.1_cds_WP_001067557.1_886	28.852	305	329
WP_004503081.1	lcl|NZ_JAGGCH010000005.1_cds_WP_000601375.1_936	25.000	300	329
