WP_002614501.1	lcl|NZ_QHCR01000008.1_cds_WP_040913380.1_3857	93.396	106	106
WP_004503085.1	lcl|NZ_QHCR01000008.1_cds_WP_118957388.1_3856	91.935	310	314
WP_004503085.1	lcl|NZ_QHCR01000001.1_cds_WP_118954467.1_913	24.224	322	314
WP_004503085.1	lcl|NZ_QHCR01000008.1_cds_WP_118957375.1_3842	25.269	186	314
WP_004503085.1	lcl|NZ_QHCR01000008.1_cds_WP_118957329.1_3793	22.143	280	314
WP_004503085.1	lcl|NZ_QHCR01000013.1_cds_WP_118957901.1_311	25.490	102	314
WP_004503085.1	lcl|NZ_QHCR01000001.1_cds_WP_118954201.1_620	22.222	279	314
WP_004503085.1	lcl|NZ_QHCR01000002.1_cds_WP_118954700.1_1124	21.993	291	314
WP_004503080.1	lcl|NZ_QHCR01000006.1_cds_WP_118956693.1_3168	38.356	146	185
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957386.1_3854	30.723	332	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957329.1_3793	31.343	335	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954467.1_913	31.646	316	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957375.1_3842	31.683	303	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954201.1_620	30.000	310	329
WP_004503081.1	lcl|NZ_QHCR01000013.1_cds_WP_118957901.1_311	27.083	336	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954326.1_759	29.254	335	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954096.1_506	28.882	322	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957350.1_3816	24.706	255	329
WP_004503081.1	lcl|NZ_QHCR01000002.1_cds_WP_118954845.1_1285	24.784	347	329
WP_004503081.1	lcl|NZ_QHCR01000002.1_cds_WP_118954700.1_1124	27.160	243	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957388.1_3856	28.112	249	329
WP_004503081.1	lcl|NZ_QHCR01000004.1_cds_WP_118955737.1_2184	26.718	262	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957343.1_3809	25.105	239	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954546.1_1005	26.347	334	329
WP_004503081.1	lcl|NZ_QHCR01000007.1_cds_WP_118957095.1_3568	24.419	258	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957352.1_3818	28.834	163	329
WP_004503081.1	lcl|NZ_QHCR01000008.1_cds_WP_118957365.1_3831	21.901	242	329
WP_004503081.1	lcl|NZ_QHCR01000001.1_cds_WP_118954054.1_454	28.788	132	329
WP_239248135.1	lcl|NZ_QHCR01000008.1_cds_WP_118957371.1_3837	25.862	232	267
WP_239248135.1	lcl|NZ_QHCR01000008.1_cds_WP_118957353.1_3819	26.442	208	267
WP_239248135.1	lcl|NZ_QHCR01000008.1_cds_WP_118957328.1_3792	25.926	189	267
WP_239248135.1	lcl|NZ_QHCR01000002.1_cds_WP_118955022.1_1473	36.364	110	267
WP_239248135.1	lcl|NZ_QHCR01000013.1_cds_WP_118957902.1_312	27.041	196	267
WP_239248135.1	lcl|NZ_QHCR01000002.1_cds_WP_118954916.1_1365	36.047	86	267
