WP_002614501.1	lcl|NZ_AFKZ01000110.1_cds_WP_000340715.1_1800	86.792	106	106
WP_004503085.1	lcl|NZ_AFKZ01000110.1_cds_WP_000410273.1_1801	91.374	313	314
WP_004503085.1	lcl|NZ_AFKZ01000110.1_cds_WP_000093099.1_1821	57.143	63	314
WP_004503085.1	lcl|NZ_AFKZ01000110.1_cds_WP_000646250.1_1804	28.175	252	314
WP_004503085.1	lcl|NZ_AFKZ01000133.1_cds_WP_000744700.1_1354	23.077	325	314
WP_004503085.1	lcl|NZ_AFKZ01000110.1_cds_WP_000600889.1_1830	23.656	186	314
WP_004503085.1	lcl|NZ_AFKZ01000125.1_cds_WP_000723090.1_1520	22.145	289	314
WP_004503085.1	lcl|NZ_AFKZ01000110.1_cds_WP_001067557.1_1807	24.923	325	314
WP_004503038.1	lcl|NZ_AFKZ01000110.1_cds_WP_000604524.1_1802	83.562	365	365
WP_004503080.1	lcl|NZ_AFKZ01000110.1_cds_WP_000884059.1_1803	96.216	185	185
WP_004503080.1	lcl|NZ_AFKZ01000020.1_cds_WP_000351733.1_3445	40.000	140	185
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000646250.1_1804	95.441	329	329
WP_004503081.1	lcl|NZ_AFKZ01000133.1_cds_WP_000744700.1_1354	32.063	315	329
WP_004503081.1	lcl|NZ_AFKZ01000125.1_cds_WP_000723090.1_1520	29.851	335	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000600889.1_1830	30.408	319	329
WP_004503081.1	lcl|NZ_AFKZ01000212.1_cds_WP_001984071.1_369	30.945	307	329
WP_004503081.1	lcl|NZ_AFKZ01000072.1_cds_WP_000649925.1_2230	28.882	322	329
WP_004503081.1	lcl|NZ_AFKZ01000295.1_cds_WP_000709511.1_10	28.182	330	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_001067557.1_1807	28.852	305	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000601375.1_1857	25.000	300	329
WP_004503081.1	lcl|NZ_AFKZ01000117.1_cds_WP_000688695.1_1672	28.102	274	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000410273.1_1801	26.266	316	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000475904.1_1866	26.642	274	329
WP_004503081.1	lcl|NZ_AFKZ01000108.1_cds_WP_001074785.1_1897	28.679	265	329
WP_004503081.1	lcl|NZ_AFKZ01000110.1_cds_WP_000487322.1_1855	27.385	325	329
WP_004503081.1	lcl|NZ_AFKZ01000015.1_cds_WP_001003555.1_3597	24.551	334	329
WP_239248135.1	lcl|NZ_AFKZ01000110.1_cds_WP_000774262.1_1805	94.007	267	267
