WP_002614501.1	84287	100.000	106	106
WP_004503085.1	84287	100.000	314	314
WP_004503085.1	84287	54.545	77	314
WP_004503085.1	84287	28.175	252	314
WP_004503085.1	84287	24.398	332	314
WP_004503085.1	84238	24.224	322	314
WP_004503085.1	84266	22.064	281	314
WP_004503085.1	84266	21.384	318	314
WP_004503085.1	84159	24.759	311	314
WP_004503085.1	84154	22.910	323	314
WP_004503038.1	84287	99.726	365	365
WP_004503080.1	84287	100.000	185	185
WP_004503080.1	84266	34.932	146	185
WP_004503081.1	84287	100.000	329	329
WP_004503081.1	84287	29.180	305	329
WP_004503081.1	84287	28.175	252	329
WP_004503081.1	84238	31.013	316	329
WP_004503081.1	84266	30.240	334	329
WP_004503081.1	84266	25.000	268	329
WP_004503081.1	84266	25.912	274	329
WP_004503081.1	84266	31.638	177	329
WP_004503081.1	84159	30.968	310	329
WP_004503081.1	84154	28.451	355	329
WP_004503081.1	84154	24.290	317	329
WP_004503081.1	84154	27.778	270	329
WP_004503081.1	84153	26.269	335	329
WP_004503081.1	84132	28.882	322	329
WP_004503081.1	84219	28.527	319	329
WP_004503081.1	84219	27.647	170	329
WP_004503081.1	84163	25.575	348	329
WP_004503081.1	84122	27.757	263	329
WP_004503081.1	84303	25.152	330	329
WP_239248135.1	84287	98.876	267	267
WP_239248135.1	84266	26.699	206	267
WP_239248135.1	84266	26.316	190	267
WP_239248135.1	84154	25.417	240	267
WP_239248135.1	84198	37.273	110	267
WP_239248135.1	84153	27.128	188	267
WP_239248135.1	84245	34.884	86	267
WP_004503040.1	84287	100.000	509	509
WP_004503040.1	84122	26.426	333	509
WP_004503040.1	84122	27.027	185	509
WP_004503040.1	84287	100.000	509	509
WP_004503040.1	84122	26.426	333	509
WP_004503040.1	84122	27.027	185	509
WP_061221763.1	84287	99.697	330	330
WP_061221763.1	84287	29.508	305	330
WP_061221763.1	84287	24.398	332	330
WP_061221763.1	84154	28.866	291	330
WP_061221763.1	84154	30.317	221	330
WP_061221763.1	84154	27.365	296	330
WP_061221763.1	84159	26.740	273	330
WP_061221763.1	84238	27.899	276	330
WP_061221763.1	84266	25.075	335	330
WP_061221763.1	84266	25.547	274	330
WP_061221763.1	84163	27.632	228	330
WP_061221763.1	84303	24.138	261	330
WP_061221763.1	84219	30.040	253	330
WP_061221763.1	84153	25.352	142	330
WP_061221763.1	84122	25.820	244	330
WP_004503073.1	84287	100.000	535	535
WP_004503073.1	84287	100.000	535	535
WP_004503036.1	84287	100.000	265	265
WP_004503036.1	84245	42.213	244	265
WP_004503060.1	84287	100.000	310	310
WP_004503060.1	84209	38.356	292	310
WP_004503060.1	84211	28.387	310	310
WP_004503060.1	84191	25.792	221	310
