WP_002614501.1	lcl|NZ_AHNB02000048.1_cds_WP_000340715.1_1300	86.792	106	106
WP_004503085.1	lcl|NZ_AHNB02000048.1_cds_WP_000410268.1_1301	91.935	310	314
WP_004503085.1	lcl|NZ_AHNB02000048.1_cds_WP_000723079.1_1351	21.942	278	314
WP_004503085.1	lcl|NZ_AHNB02000022.1_cds_WP_000744700.1_2998	23.077	325	314
WP_004503085.1	lcl|NZ_AHNB02000048.1_cds_WP_000723083.1_1373	22.491	289	314
WP_004503085.1	lcl|NZ_AHNB02000048.1_cds_WP_000567886.1_1353	24.725	182	314
WP_004503080.1	lcl|NZ_AHNB02000018.1_cds_WP_000351733.1_3320	40.000	140	185
WP_004503080.1	lcl|NZ_AHNB02000048.1_cds_WP_001047906.1_1332	33.898	177	185
WP_004503081.1	lcl|NZ_AHNB02000022.1_cds_WP_000744700.1_2998	32.063	315	329
WP_004503081.1	lcl|NZ_AHNB02000048.1_cds_WP_000723079.1_1351	30.841	321	329
WP_004503081.1	lcl|NZ_AHNB02000048.1_cds_WP_000723083.1_1373	30.149	335	329
WP_004503081.1	lcl|NZ_AHNB02000051.1_cds_WP_001984071.1_1077	30.945	307	329
WP_004503081.1	lcl|NZ_AHNB02000048.1_cds_WP_000567886.1_1353	28.197	305	329
WP_004503081.1	lcl|NZ_AHNB02000022.1_cds_WP_000649924.1_2837	28.882	322	329
WP_004503081.1	lcl|NZ_AHNB02000051.1_cds_WP_000709513.1_1067	28.182	330	329
WP_004503081.1	lcl|NZ_AHNB02000051.1_cds_WP_000688693.1_1099	28.102	274	329
WP_004503081.1	lcl|NZ_AHNB02000048.1_cds_WP_000410268.1_1301	26.220	328	329
WP_004503081.1	lcl|NZ_AHNB02000048.1_cds_WP_000475907.1_1356	25.833	240	329
WP_004503081.1	lcl|NZ_AHNB02000001.1_cds_WP_001074779.1_4087	28.302	265	329
WP_004503081.1	lcl|NZ_AHNB02000022.1_cds_WP_001003557.1_3130	24.390	328	329
WP_239248135.1	lcl|NZ_AHNB02000048.1_cds_WP_000043899.1_1352	26.016	246	267
WP_239248135.1	lcl|NZ_AHNB02000048.1_cds_WP_000842260.1_1374	26.316	190	267
