WP_002614501.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746496.1_2699	58.696	92	106
WP_004503085.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746495.1_2698	82.258	310	314
WP_004503085.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745407.1_441	23.242	327	314
WP_004503085.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745382.1_468	26.518	313	314
WP_004503085.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746462.1_2666	20.818	269	314
WP_004503085.1	lcl|NZ_JAIZBL010000001.1_cds_WP_238777183.1_1023	22.917	288	314
WP_004503085.1	lcl|NZ_JAIZBL010000005.1_cds_WP_135743732.1_3431	22.043	186	314
WP_004503085.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238777994.1_2634	24.194	186	314
WP_004503038.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746493.1_2696	54.144	362	365
WP_004503080.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135744205.1_2232	33.571	140	185
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745407.1_441	31.746	315	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_238777183.1_1023	30.293	307	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238777994.1_2634	27.299	348	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_338092125.1_2656	30.351	313	329
WP_004503081.1	lcl|NZ_JAIZBL010000005.1_cds_WP_135743732.1_3431	28.739	341	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745055.1_849	27.778	324	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746462.1_2666	27.675	271	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745382.1_468	26.198	313	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238778008.1_2678	25.879	313	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746495.1_2698	26.266	316	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238753183.1_2649	26.908	249	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745111.1_781	27.200	250	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_238776824.1_387	30.588	170	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238753226.1_2612	24.906	265	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745689.1_107	23.320	253	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_238778006.1_2659	30.769	156	329
WP_004503081.1	lcl|NZ_JAIZBL010000005.1_cds_WP_208739683.1_3442	25.484	310	329
WP_004503081.1	lcl|NZ_JAIZBL010000001.1_cds_WP_135745103.1_789	23.333	270	329
WP_004503081.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746444.1_2648	19.048	252	329
WP_239248135.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746466.1_2671	24.500	200	267
WP_239248135.1	lcl|NZ_JAIZBL010000002.1_cds_WP_135746453.1_2657	26.496	234	267
