WP_002614501.1	lcl|NZ_AHNI02000062.1_cds_WP_000340715.1_387	86.792	106	106
WP_004503085.1	lcl|NZ_AHNI02000062.1_cds_WP_000410268.1_386	91.935	310	314
WP_004503085.1	lcl|NZ_AHNI02000062.1_cds_WP_000723079.1_334	21.942	278	314
WP_004503085.1	lcl|NZ_AHNI02000035.1_cds_WP_002101987.1_1695	23.077	325	314
WP_004503085.1	lcl|NZ_AHNI02000062.1_cds_WP_000723083.1_312	22.491	289	314
WP_004503085.1	lcl|NZ_AHNI02000062.1_cds_WP_000567886.1_332	24.725	182	314
WP_004503080.1	lcl|NZ_AHNI02000050.1_cds_WP_000351733.1_922	40.000	140	185
WP_004503080.1	lcl|NZ_AHNI02000062.1_cds_WP_001047906.1_354	33.898	177	185
WP_004503081.1	lcl|NZ_AHNI02000035.1_cds_WP_002101987.1_1695	32.063	315	329
WP_004503081.1	lcl|NZ_AHNI02000062.1_cds_WP_000723079.1_334	30.841	321	329
WP_004503081.1	lcl|NZ_AHNI02000062.1_cds_WP_000723083.1_312	30.149	335	329
WP_004503081.1	lcl|NZ_AHNI02000037.1_cds_WP_002064390.1_1358	30.619	307	329
WP_004503081.1	lcl|NZ_AHNI02000062.1_cds_WP_000567886.1_332	28.197	305	329
WP_004503081.1	lcl|NZ_AHNI02000035.1_cds_WP_000649924.1_1532	28.882	322	329
WP_004503081.1	lcl|NZ_AHNI02000037.1_cds_WP_000709508.1_1348	28.485	330	329
WP_004503081.1	lcl|NZ_AHNI02000037.1_cds_WP_002108121.1_1378	28.102	274	329
WP_004503081.1	lcl|NZ_AHNI02000062.1_cds_WP_000410268.1_386	26.220	328	329
WP_004503081.1	lcl|NZ_AHNI02000062.1_cds_WP_000475907.1_329	25.833	240	329
WP_004503081.1	lcl|NZ_AHNI02000021.1_cds_WP_001074779.1_2632	28.302	265	329
WP_004503081.1	lcl|NZ_AHNI02000035.1_cds_WP_001003560.1_1823	24.251	334	329
WP_239248135.1	lcl|NZ_AHNI02000062.1_cds_WP_002108504.1_333	26.016	246	267
WP_239248135.1	lcl|NZ_AHNI02000062.1_cds_WP_000842260.1_311	26.316	190	267
WP_239248135.1	lcl|NZ_AHNI02000039.1_cds_WP_000667723.1_1296	32.727	110	267
WP_239248135.1	lcl|NZ_AHNI02000011.1_cds_WP_000805357.1_3451	37.209	86	267
WP_004503040.1	lcl|NZ_AHNI02000021.1_cds_WP_000291581.1_2559	26.791	321	509
WP_004503040.1	lcl|NZ_AHNI02000021.1_cds_WP_000364504.1_2560	28.723	94	509
WP_004503040.1	lcl|NZ_AHNI02000021.1_cds_WP_000291581.1_2559	26.791	321	509
WP_004503040.1	lcl|NZ_AHNI02000021.1_cds_WP_000364504.1_2560	28.723	94	509
WP_061221763.1	lcl|NZ_AHNI02000037.1_cds_WP_002064390.1_1358	25.735	272	330
WP_061221763.1	lcl|NZ_AHNI02000062.1_cds_WP_000723079.1_334	22.909	275	330
WP_061221763.1	lcl|NZ_AHNI02000035.1_cds_WP_002101987.1_1695	26.582	316	330
WP_061221763.1	lcl|NZ_AHNI02000035.1_cds_WP_001003560.1_1823	27.490	251	330
WP_061221763.1	lcl|NZ_AHNI02000062.1_cds_WP_000723083.1_312	24.024	333	330
WP_061221763.1	lcl|NZ_AHNI02000035.1_cds_WP_000649924.1_1532	29.615	260	330
WP_061221763.1	lcl|NZ_AHNI02000037.1_cds_WP_002108121.1_1378	25.339	221	330
WP_004503036.1	lcl|NZ_AHNI02000016.1_cds_WP_001002662.1_3154	41.803	244	265
WP_004503036.1	lcl|NZ_AHNI02000041.1_cds_WP_001183714.1_1273	27.746	173	265
WP_004503060.1	lcl|NZ_AHNI02000027.1_cds_WP_000501205.1_2315	36.304	303	310
WP_004503060.1	lcl|NZ_AHNI02000041.1_cds_WP_001183714.1_1273	30.315	254	310
WP_004503060.1	lcl|NZ_AHNI02000050.1_cds_WP_000279896.1_991	23.954	263	310
WP_004503060.1	lcl|NZ_AHNI02000027.1_cds_WP_000501205.1_2315	36.304	303	310
WP_004503060.1	lcl|NZ_AHNI02000041.1_cds_WP_001183714.1_1273	30.315	254	310
WP_004503060.1	lcl|NZ_AHNI02000050.1_cds_WP_000279896.1_991	23.954	263	310
WP_004503042.1	lcl|NZ_AHNI02000027.1_cds_WP_001069827.1_2296	29.412	102	221
WP_004503042.1	lcl|NZ_AHNI02000035.1_cds_WP_001082181.1_1666	23.077	78	221
WP_016758358.1	lcl|NZ_AHNI02000027.1_cds_WP_000347685.1_2295	29.221	154	316
WP_016758358.1	lcl|NZ_AHNI02000062.1_cds_WP_000661927.1_342	28.571	140	316
WP_016758358.1	lcl|NZ_AHNI02000052.1_cds_WP_000402849.1_784	22.368	152	316
