WP_002614501.1	lcl|NZ_AHMY02000059.1_cds_WP_004753574.1_776	88.679	106	106
WP_004503085.1	lcl|NZ_AHMY02000059.1_cds_WP_004766657.1_775	91.374	313	314
WP_004503085.1	lcl|NZ_AHMY02000059.1_cds_WP_004766629.1_772	27.778	252	314
WP_004503085.1	lcl|NZ_AHMY02000010.1_cds_WP_004753565.1_3578	23.077	325	314
WP_004503085.1	lcl|NZ_AHMY02000059.1_cds_WP_004766668.1_705	21.352	281	314
WP_004503085.1	lcl|NZ_AHMY02000059.1_cds_WP_004766696.1_769	25.538	325	314
WP_004503038.1	lcl|NZ_AHMY02000059.1_cds_WP_004766736.1_774	84.658	365	365
WP_004503080.1	lcl|NZ_AHMY02000059.1_cds_WP_004766667.1_773	96.216	185	185
WP_004503080.1	lcl|NZ_AHMY02000051.1_cds_WP_004752075.1_1266	40.714	140	185
WP_004503081.1	lcl|NZ_AHMY02000059.1_cds_WP_004766629.1_772	93.921	329	329
WP_004503081.1	lcl|NZ_AHMY02000010.1_cds_WP_004753565.1_3578	31.429	315	329
WP_004503081.1	lcl|NZ_AHMY02000058.1_cds_WP_004766600.1_796	31.922	307	329
WP_004503081.1	lcl|NZ_AHMY02000059.1_cds_WP_004766668.1_705	29.042	334	329
WP_004503081.1	lcl|NZ_AHMY02000010.1_cds_WP_004764138.1_3732	29.595	321	329
WP_004503081.1	lcl|NZ_AHMY02000058.1_cds_WP_004766610.1_785	28.788	330	329
WP_004503081.1	lcl|NZ_AHMY02000059.1_cds_WP_004766696.1_769	29.180	305	329
WP_004503081.1	lcl|NZ_AHMY02000058.1_cds_WP_004766589.1_817	25.959	339	329
WP_004503081.1	lcl|NZ_AHMY02000059.1_cds_WP_004766657.1_775	25.316	316	329
WP_004503081.1	lcl|NZ_AHMY02000059.1_cds_WP_004766741.1_722	26.277	274	329
WP_004503081.1	lcl|NZ_AHMY02000051.1_cds_WP_004766127.1_1469	28.148	270	329
WP_004503081.1	lcl|NZ_AHMY02000047.1_cds_WP_004765661.1_1834	29.444	180	329
WP_004503081.1	lcl|NZ_AHMY02000056.1_cds_WP_004766563.1_942	25.856	263	329
WP_239248135.1	lcl|NZ_AHMY02000059.1_cds_WP_004766673.1_771	92.509	267	267
WP_239248135.1	lcl|NZ_AHMY02000059.1_cds_WP_004766678.1_704	25.926	189	267
WP_239248135.1	lcl|NZ_AHMY02000050.1_cds_WP_004765965.1_1561	27.835	194	267
WP_239248135.1	lcl|NZ_AHMY02000022.1_cds_WP_016761591.1_2989	37.647	85	267
WP_004503040.1	lcl|NZ_AHMY02000059.1_cds_WP_000602734.1_770	91.159	509	509
WP_004503040.1	lcl|NZ_AHMY02000051.1_cds_WP_004766085.1_1540	26.168	321	509
