WP_002614501.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002725873.1_2907	95.283	106	106
WP_004503085.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733579.1_2908	97.444	313	314
WP_004503085.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733534.1_2911	27.381	252	314
WP_004503085.1	lcl|NZ_JADDVQ010000017.1_cds_WP_002722638.1_580	24.534	322	314
WP_004503085.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002740024.1_3002	21.708	281	314
WP_004503085.1	lcl|NZ_JADDVQ010000007.1_cds_WP_002728309.1_3183	24.759	311	314
WP_004503085.1	lcl|NZ_JADDVQ010000013.1_cds_WP_002743770.1_284	23.770	122	314
WP_004503085.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002740721.1_2914	24.308	325	314
WP_004503085.1	lcl|NZ_JADDVQ010000006.1_cds_WP_016749081.1_2940	25.641	117	314
WP_004503038.1	lcl|NZ_JADDVQ010000006.1_cds_WP_026054882.1_2909	93.425	365	365
WP_004503080.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733646.1_2910	96.216	185	185
WP_004503080.1	lcl|NZ_JADDVQ010000003.1_cds_WP_002721790.1_1881	36.301	146	185
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733534.1_2911	93.921	329	329
WP_004503081.1	lcl|NZ_JADDVQ010000017.1_cds_WP_002722638.1_580	30.380	316	329
WP_004503081.1	lcl|NZ_JADDVQ010000007.1_cds_WP_002728309.1_3183	30.645	310	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002740024.1_3002	30.448	335	329
WP_004503081.1	lcl|NZ_JADDVQ010000013.1_cds_WP_002743770.1_284	26.686	341	329
WP_004503081.1	lcl|NZ_JADDVQ010000007.1_cds_WP_002728316.1_3180	28.485	330	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733638.1_2948	27.714	350	329
WP_004503081.1	lcl|NZ_JADDVQ010000076.1_cds_WP_002741146.1_3062	28.165	316	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733546.1_2977	26.119	268	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002740721.1_2914	28.939	311	329
WP_004503081.1	lcl|NZ_JADDVQ010000008.1_cds_WP_002732331.1_3214	25.000	348	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733579.1_2908	27.711	249	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002744551.1_2942	28.148	270	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_016749081.1_2940	23.913	322	329
WP_004503081.1	lcl|NZ_JADDVQ010000059.1_cds_WP_002740236.1_2613	27.170	265	329
WP_004503081.1	lcl|NZ_JADDVQ010000006.1_cds_WP_002733698.1_2985	25.912	274	329
