WP_000340715.1	lcl|NZ_LIIY02000024.1_cds_WP_000340715.1_1710	100.000	86	106
WP_004421326.1	lcl|NZ_LIIY02000024.1_cds_WP_000410273.1_1709	94.268	314	314
WP_004421326.1	lcl|NZ_LIIY02000024.1_cds_WP_000646255.1_1706	26.493	268	314
WP_004421326.1	lcl|NZ_LIIY02000004.1_cds_WP_000744695.1_2704	25.926	324	314
WP_004421326.1	lcl|NZ_LIIY02000024.1_cds_WP_000600891.1_1678	26.425	193	314
WP_004421326.1	lcl|NZ_LIIY02000024.1_cds_WP_000723081.1_1626	22.917	288	314
WP_004421326.1	lcl|NZ_LIIY02000047.1_cds_WP_000649929.1_2971	26.606	327	314
WP_004421326.1	lcl|NZ_LIIY02000024.1_cds_WP_001067557.1_1703	25.000	328	314
WP_243817859.1	lcl|NZ_LIIY02000024.1_cds_WP_000604524.1_1708	90.685	365	365
WP_004448470.1	lcl|NZ_LIIY02000024.1_cds_WP_000884059.1_1707	96.196	184	185
WP_004448470.1	lcl|NZ_LIIY02000012.1_cds_WP_000351733.1_731	39.286	140	185
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000646255.1_1706	95.745	329	329
WP_004448459.1	lcl|NZ_LIIY02000004.1_cds_WP_000744695.1_2704	33.016	315	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000600891.1_1678	31.962	316	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000723081.1_1626	30.746	335	329
WP_004448459.1	lcl|NZ_LIIY02000008.1_cds_WP_002064390.1_3636	30.945	307	329
WP_004448459.1	lcl|NZ_LIIY02000047.1_cds_WP_000649929.1_2971	30.031	323	329
WP_004448459.1	lcl|NZ_LIIY02000008.1_cds_WP_000709511.1_3626	29.305	331	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000601375.1_1651	25.333	300	329
WP_004448459.1	lcl|NZ_LIIY02000008.1_cds_WP_000688698.1_3656	29.197	274	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_001067557.1_1703	29.804	255	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000410273.1_1709	25.633	316	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000475897.1_1643	27.692	260	329
WP_004448459.1	lcl|NZ_LIIY02000017.1_cds_WP_001074779.1_1147	27.925	265	329
WP_004448459.1	lcl|NZ_LIIY02000006.1_cds_WP_001003563.1_3372	25.984	254	329
WP_004448459.1	lcl|NZ_LIIY02000024.1_cds_WP_000487319.1_1653	28.049	328	329
WP_004421408.1	lcl|NZ_LIIY02000024.1_cds_WP_000774259.1_1705	94.757	267	267
WP_004421408.1	lcl|NZ_LIIY02000024.1_cds_WP_000859505.1_1654	27.885	208	267
WP_004421408.1	lcl|NZ_LIIY02000024.1_cds_WP_000800439.1_1673	26.702	191	267
WP_004421408.1	lcl|NZ_LIIY02000024.1_cds_WP_000842260.1_1625	26.842	190	267
WP_004421408.1	lcl|NZ_LIIY02000008.1_cds_WP_000667727.1_3678	33.636	110	267
WP_004421408.1	lcl|NZ_LIIY02000013.1_cds_WP_000805357.1_864	33.333	102	267
