WP_000340715.1	lcl|NZ_AOXA01000149.1_cds_WP_000340715.1_2786	100.000	86	106
WP_004421326.1	lcl|NZ_AOXA01000149.1_cds_WP_000410273.1_2785	94.268	314	314
WP_004421326.1	lcl|NZ_AOXA01000149.1_cds_WP_000646253.1_2782	26.493	268	314
WP_004421326.1	lcl|NZ_AOXA01000148.1_cds_WP_000744700.1_2730	25.926	324	314
WP_004421326.1	lcl|NZ_AOXA01000032.1_cds_WP_000723090.1_479	22.917	288	314
WP_004421326.1	lcl|NZ_AOXA01000032.1_cds_WP_001033107.1_530	21.053	266	314
WP_004421326.1	lcl|NZ_AOXA01000149.1_cds_WP_001067558.1_2779	25.000	328	314
WP_243817859.1	lcl|NZ_AOXA01000149.1_cds_WP_000604524.1_2784	90.685	365	365
WP_004448470.1	lcl|NZ_AOXA01000149.1_cds_WP_000884060.1_2783	96.196	184	185
WP_004448470.1	lcl|NZ_AOXA01000143.1_cds_WP_000351733.1_2597	39.286	140	185
WP_004448459.1	lcl|NZ_AOXA01000149.1_cds_WP_000646253.1_2782	96.353	329	329
WP_004448459.1	lcl|NZ_AOXA01000148.1_cds_WP_000744700.1_2730	32.698	315	329
WP_004448459.1	lcl|NZ_AOXA01000032.1_cds_WP_000723090.1_479	30.448	335	329
WP_004448459.1	lcl|NZ_AOXA01000154.1_cds_WP_001984071.1_3022	31.270	307	329
WP_004448459.1	lcl|NZ_AOXA01000149.1_cds_WP_000699346.1_2768	30.488	328	329
WP_004448459.1	lcl|NZ_AOXA01000127.1_cds_WP_000649924.1_2341	30.031	323	329
WP_004448459.1	lcl|NZ_AOXA01000154.1_cds_WP_000709511.1_3032	29.305	331	329
WP_004448459.1	lcl|NZ_AOXA01000154.1_cds_WP_000688696.1_3002	29.197	274	329
WP_004448459.1	lcl|NZ_AOXA01000149.1_cds_WP_001067558.1_2779	30.196	255	329
WP_004448459.1	lcl|NZ_AOXA01000032.1_cds_WP_000475901.1_495	27.692	260	329
WP_004448459.1	lcl|NZ_AOXA01000149.1_cds_WP_000410273.1_2785	25.633	316	329
WP_004448459.1	lcl|NZ_AOXA01000041.1_cds_WP_001074783.1_686	27.925	265	329
WP_004448459.1	lcl|NZ_AOXA01000032.1_cds_WP_001033107.1_530	25.974	308	329
WP_004448459.1	lcl|NZ_AOXA01000161.1_cds_WP_001003562.1_3435	24.551	334	329
WP_004421408.1	lcl|NZ_AOXA01000149.1_cds_WP_000774261.1_2781	95.131	267	267
WP_004421408.1	lcl|NZ_AOXA01000032.1_cds_WP_000842258.1_478	26.984	189	267
WP_004421408.1	lcl|NZ_AOXA01000083.1_cds_WP_000667727.1_1304	33.636	110	267
WP_004421408.1	lcl|NZ_AOXA01000113.1_cds_WP_017862323.1_1912	24.444	225	267
WP_004448480.1	lcl|NZ_AOXA01000149.1_cds_WP_000612798.1_2780	96.078	510	510
WP_004448480.1	lcl|NZ_AOXA01000160.1_cds_WP_000291586.1_3396	27.077	325	510
WP_004448480.1	lcl|NZ_AOXA01000160.1_cds_WP_000364507.1_3395	31.111	90	510
WP_004448480.1	lcl|NZ_AOXA01000149.1_cds_WP_000612798.1_2780	96.078	510	510
