WP_000340715.1	lcl|NZ_JQOW01000121.1_cds_WP_000340715.1_2786	100.000	86	106
WP_004421326.1	lcl|NZ_JQOW01000121.1_cds_WP_000410273.1_2785	94.268	314	314
WP_004421326.1	lcl|NZ_JQOW01000121.1_cds_WP_000646255.1_2782	26.493	268	314
WP_004421326.1	lcl|NZ_JQOW01000018.1_cds_WP_000744695.1_426	25.926	324	314
WP_004421326.1	lcl|NZ_JQOW01000058.1_cds_WP_000600891.1_1517	26.425	193	314
WP_004421326.1	lcl|NZ_JQOW01000058.1_cds_WP_000723081.1_1465	22.917	288	314
WP_004421326.1	lcl|NZ_JQOW01000085.1_cds_WP_000649929.1_2097	26.606	327	314
WP_004421326.1	lcl|NZ_JQOW01000121.1_cds_WP_001067557.1_2779	25.000	328	314
WP_243817859.1	lcl|NZ_JQOW01000121.1_cds_WP_000604524.1_2784	90.685	365	365
WP_004448470.1	lcl|NZ_JQOW01000121.1_cds_WP_000884059.1_2783	96.196	184	185
WP_004448470.1	lcl|NZ_JQOW01000045.1_cds_WP_000351733.1_1221	39.286	140	185
WP_004448459.1	lcl|NZ_JQOW01000121.1_cds_WP_000646255.1_2782	95.745	329	329
WP_004448459.1	lcl|NZ_JQOW01000018.1_cds_WP_000744695.1_426	33.016	315	329
WP_004448459.1	lcl|NZ_JQOW01000058.1_cds_WP_000600891.1_1517	31.962	316	329
WP_004448459.1	lcl|NZ_JQOW01000058.1_cds_WP_000723081.1_1465	30.746	335	329
WP_004448459.1	lcl|NZ_JQOW01000021.1_cds_WP_002064390.1_514	30.945	307	329
WP_004448459.1	lcl|NZ_JQOW01000085.1_cds_WP_000649929.1_2097	30.031	323	329
WP_004448459.1	lcl|NZ_JQOW01000127.1_cds_WP_000709511.1_2865	29.305	331	329
WP_004448459.1	lcl|NZ_JQOW01000058.1_cds_WP_000601375.1_1490	25.333	300	329
WP_004448459.1	lcl|NZ_JQOW01000021.1_cds_WP_000688698.1_494	29.197	274	329
WP_004448459.1	lcl|NZ_JQOW01000121.1_cds_WP_001067557.1_2779	29.804	255	329
WP_004448459.1	lcl|NZ_JQOW01000121.1_cds_WP_000410273.1_2785	25.633	316	329
WP_004448459.1	lcl|NZ_JQOW01000058.1_cds_WP_000475897.1_1482	27.692	260	329
WP_004448459.1	lcl|NZ_JQOW01000037.1_cds_WP_001074779.1_975	27.925	265	329
WP_004448459.1	lcl|NZ_JQOW01000044.1_cds_WP_001003563.1_1217	25.984	254	329
WP_004448459.1	lcl|NZ_JQOW01000058.1_cds_WP_000487319.1_1492	28.049	328	329
WP_004421408.1	lcl|NZ_JQOW01000121.1_cds_WP_000774259.1_2781	94.757	267	267
WP_004421408.1	lcl|NZ_JQOW01000058.1_cds_WP_000859505.1_1493	27.885	208	267
WP_004421408.1	lcl|NZ_JQOW01000058.1_cds_WP_000800439.1_1512	26.702	191	267
WP_004421408.1	lcl|NZ_JQOW01000058.1_cds_WP_000842260.1_1464	26.842	190	267
WP_004421408.1	lcl|NZ_JQOW01000125.1_cds_WP_000667727.1_2806	33.636	110	267
WP_004421408.1	lcl|NZ_JQOW01000048.1_cds_WP_000805357.1_1278	33.333	102	267
WP_004448480.1	lcl|NZ_JQOW01000121.1_cds_WP_000612799.1_2780	96.078	510	510
WP_004448480.1	lcl|NZ_JQOW01000030.1_cds_WP_000291581.1_755	27.077	325	510
WP_004448480.1	lcl|NZ_JQOW01000030.1_cds_WP_000364504.1_754	31.111	90	510
WP_004448480.1	lcl|NZ_JQOW01000121.1_cds_WP_000612799.1_2780	96.078	510	510
WP_004448480.1	lcl|NZ_JQOW01000030.1_cds_WP_000291581.1_755	27.077	325	510
WP_004448480.1	lcl|NZ_JQOW01000030.1_cds_WP_000364504.1_754	31.111	90	510
WP_036062285.1	lcl|NZ_JQOW01000121.1_cds_WP_001067557.1_2779	96.667	330	330
WP_036062285.1	lcl|NZ_JQOW01000121.1_cds_WP_000646255.1_2782	29.316	307	330
