WP_000340715.1	lcl|NZ_NPDY01000004.1_cds_WP_100713264.1_2701	65.882	85	106
WP_004421326.1	lcl|NZ_NPDY01000004.1_cds_WP_100713263.1_2700	73.226	310	314
WP_004421326.1	lcl|NZ_NPDY01000006.1_cds_WP_100713622.1_3106	24.924	329	314
WP_004421326.1	lcl|NZ_NPDY01000004.1_cds_WP_100713259.1_2696	23.176	233	314
WP_004421326.1	lcl|NZ_NPDY01000001.1_cds_WP_100712531.1_95	25.214	234	314
WP_004421326.1	lcl|NZ_NPDY01000034.1_cds_WP_100715486.1_2525	22.022	277	314
WP_004448470.1	lcl|NZ_NPDY01000004.1_cds_WP_100713267.1_2704	32.967	182	185
WP_004448470.1	lcl|NZ_NPDY01000030.1_cds_WP_100715391.1_2428	37.143	140	185
WP_004448470.1	lcl|NZ_NPDY01000004.1_cds_WP_100713245.1_2681	35.714	154	185
WP_004448459.1	lcl|NZ_NPDY01000004.1_cds_WP_100713259.1_2696	32.177	317	329
WP_004448459.1	lcl|NZ_NPDY01000001.1_cds_WP_100712531.1_95	30.476	315	329
WP_004448459.1	lcl|NZ_NPDY01000034.1_cds_WP_100715486.1_2525	31.613	310	329
WP_004448459.1	lcl|NZ_NPDY01000006.1_cds_WP_100713622.1_3106	26.935	323	329
WP_004448459.1	lcl|NZ_NPDY01000001.1_cds_WP_100712285.1_423	25.378	331	329
WP_004448459.1	lcl|NZ_NPDY01000005.1_cds_WP_100713477.1_2965	26.400	250	329
WP_004448459.1	lcl|NZ_NPDY01000007.1_cds_WP_100713729.1_3210	24.291	247	329
WP_004448459.1	lcl|NZ_NPDY01000003.1_cds_WP_100713150.1_2339	22.287	341	329
WP_004448459.1	lcl|NZ_NPDY01000004.1_cds_WP_100713219.1_2652	28.387	155	329
WP_004448459.1	lcl|NZ_NPDY01000002.1_cds_WP_100712912.1_1539	26.199	271	329
WP_004421408.1	lcl|NZ_NPDY01000004.1_cds_WP_100713254.1_2690	22.222	243	267
WP_004421408.1	lcl|NZ_NPDY01000004.1_cds_WP_100713248.1_2684	27.128	188	267
WP_004421408.1	lcl|NZ_NPDY01000007.1_cds_WP_100713785.1_3273	26.190	210	267
WP_004421408.1	lcl|NZ_NPDY01000001.1_cds_WP_125169875.1_623	32.258	93	267
WP_004448480.1	lcl|NZ_NPDY01000009.1_cds_WP_100714087.1_3570	25.152	330	510
WP_004448480.1	lcl|NZ_NPDY01000009.1_cds_WP_243393449.1_3571	29.787	94	510
WP_004448480.1	lcl|NZ_NPDY01000009.1_cds_WP_100714087.1_3570	25.152	330	510
WP_004448480.1	lcl|NZ_NPDY01000009.1_cds_WP_243393449.1_3571	29.787	94	510
WP_036062285.1	lcl|NZ_NPDY01000004.1_cds_WP_100713259.1_2696	27.106	273	330
WP_036062285.1	lcl|NZ_NPDY01000034.1_cds_WP_100715486.1_2525	25.649	308	330
WP_036062285.1	lcl|NZ_NPDY01000006.1_cds_WP_100713622.1_3106	27.414	321	330
WP_036062285.1	lcl|NZ_NPDY01000001.1_cds_WP_100712531.1_95	26.616	263	330
WP_036062285.1	lcl|NZ_NPDY01000007.1_cds_WP_100713729.1_3210	29.098	244	330
WP_036062285.1	lcl|NZ_NPDY01000003.1_cds_WP_100713016.1_2275	27.459	244	330
WP_036062285.1	lcl|NZ_NPDY01000003.1_cds_WP_100713150.1_2339	23.729	236	330
WP_036062285.1	lcl|NZ_NPDY01000004.1_cds_WP_100713219.1_2652	28.571	182	330
WP_036062285.1	lcl|NZ_NPDY01000005.1_cds_WP_100713477.1_2965	31.008	129	330
WP_004448474.1	lcl|NZ_NPDY01000004.1_cds_WP_100713232.1_2665	32.184	348	366
WP_004448474.1	lcl|NZ_NPDY01000007.1_cds_WP_100713704.1_3180	28.117	377	366
WP_004448474.1	lcl|NZ_NPDY01000015.1_cds_WP_100714717.1_1245	29.132	357	366
WP_004448474.1	lcl|NZ_NPDY01000004.1_cds_WP_100713258.1_2695	26.087	345	366
WP_004448474.1	lcl|NZ_NPDY01000007.1_cds_WP_100713792.1_3284	30.168	179	366
WP_004448477.1	lcl|NZ_NPDY01000015.1_cds_WP_100714717.1_1245	31.926	379	367
