WP_000340715.1	lcl|NZ_LCZF01000044.1_cds_WP_000340715.1_1011	100.000	86	106
WP_004421326.1	lcl|NZ_LCZF01000044.1_cds_WP_000410273.1_1012	94.268	314	314
WP_004421326.1	lcl|NZ_LCZF01000044.1_cds_WP_000646253.1_1015	26.493	268	314
WP_004421326.1	lcl|NZ_LCZF01000110.1_cds_WP_000744700.1_2509	25.926	324	314
WP_004421326.1	lcl|NZ_LCZF01000083.1_cds_WP_000723090.1_1809	22.917	288	314
WP_004421326.1	lcl|NZ_LCZF01000077.1_cds_WP_001033107.1_1606	21.053	266	314
WP_004421326.1	lcl|NZ_LCZF01000044.1_cds_WP_001067558.1_1018	25.000	328	314
WP_243817859.1	lcl|NZ_LCZF01000044.1_cds_WP_000604524.1_1013	90.685	365	365
WP_004448470.1	lcl|NZ_LCZF01000044.1_cds_WP_000884060.1_1014	96.196	184	185
WP_004448470.1	lcl|NZ_LCZF01000113.1_cds_WP_000351733.1_2600	39.286	140	185
WP_004448459.1	lcl|NZ_LCZF01000044.1_cds_WP_000646253.1_1015	96.353	329	329
WP_004448459.1	lcl|NZ_LCZF01000110.1_cds_WP_000744700.1_2509	32.698	315	329
WP_004448459.1	lcl|NZ_LCZF01000083.1_cds_WP_000723090.1_1809	30.448	335	329
WP_004448459.1	lcl|NZ_LCZF01000139.1_cds_WP_001984071.1_3444	31.270	307	329
WP_004448459.1	lcl|NZ_LCZF01000154.1_cds_AAY48_RS19425_3835	30.183	328	329
WP_004448459.1	lcl|NZ_LCZF01000015.1_cds_WP_000649924.1_359	30.031	323	329
WP_004448459.1	lcl|NZ_LCZF01000139.1_cds_WP_000709511.1_3454	29.305	331	329
WP_004448459.1	lcl|NZ_LCZF01000010.1_cds_WP_000688696.1_242	29.197	274	329
WP_004448459.1	lcl|NZ_LCZF01000044.1_cds_WP_001067558.1_1018	30.196	255	329
WP_004448459.1	lcl|NZ_LCZF01000070.1_cds_WP_000475901.1_1565	27.692	260	329
WP_004448459.1	lcl|NZ_LCZF01000044.1_cds_WP_000410273.1_1012	25.633	316	329
WP_004448459.1	lcl|NZ_LCZF01000124.1_cds_WP_001074783.1_3089	27.925	265	329
WP_004448459.1	lcl|NZ_LCZF01000077.1_cds_WP_001033107.1_1606	25.974	308	329
WP_004448459.1	lcl|NZ_LCZF01000130.1_cds_WP_001003562.1_3264	24.551	334	329
