WP_000340715.1	lcl|NZ_JQPG01000050.1_cds_WP_000340715.1_1531	100.000	86	106
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_000410273.1_1532	94.268	314	314
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_000093099.1_1551	53.968	63	314
WP_004421326.1	lcl|NZ_JQPG01000069.1_cds_WP_000744700.1_2093	25.926	324	314
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_000646256.1_1535	26.119	268	314
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_000600889.1_1560	26.425	193	314
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_000723092.1_1614	22.837	289	314
WP_004421326.1	lcl|NZ_JQPG01000050.1_cds_WP_001067556.1_1538	25.000	328	314
WP_243817859.1	lcl|NZ_JQPG01000050.1_cds_WP_000604524.1_1533	90.685	365	365
WP_004448470.1	lcl|NZ_JQPG01000050.1_cds_WP_000884059.1_1534	96.196	184	185
WP_004448470.1	lcl|NZ_JQPG01000012.1_cds_WP_000351733.1_271	39.286	140	185
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000646256.1_1535	96.353	329	329
WP_004448459.1	lcl|NZ_JQPG01000069.1_cds_WP_000744700.1_2093	32.698	315	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000600889.1_1560	31.962	316	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000723092.1_1614	30.448	335	329
WP_004448459.1	lcl|NZ_JQPG01000029.1_cds_WP_001984071.1_764	31.270	307	329
WP_004448459.1	lcl|NZ_JQPG01000088.1_cds_WP_000649925.1_2493	30.031	323	329
WP_004448459.1	lcl|NZ_JQPG01000038.1_cds_WP_000709513.1_1139	29.102	323	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000601375.1_1587	25.333	300	329
WP_004448459.1	lcl|NZ_JQPG01000029.1_cds_WP_000688696.1_784	29.197	274	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_001067556.1_1538	29.804	255	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000475901.1_1597	27.692	260	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000410273.1_1532	25.633	316	329
WP_004448459.1	lcl|NZ_JQPG01000064.1_cds_WP_001074785.1_1917	28.302	265	329
WP_004448459.1	lcl|NZ_JQPG01000077.1_cds_WP_001003556.1_2247	25.301	332	329
WP_004448459.1	lcl|NZ_JQPG01000050.1_cds_WP_000487322.1_1585	27.744	328	329
WP_004421408.1	lcl|NZ_JQPG01000050.1_cds_WP_000774263.1_1536	94.382	267	267
WP_004421408.1	lcl|NZ_JQPG01000050.1_cds_WP_000859505.1_1584	27.885	208	267
WP_004421408.1	lcl|NZ_JQPG01000050.1_cds_WP_000800438.1_1565	26.702	191	267
WP_004421408.1	lcl|NZ_JQPG01000050.1_cds_WP_000842260.1_1615	26.842	190	267
WP_004421408.1	lcl|NZ_JQPG01000102.1_cds_WP_000667727.1_2783	33.636	110	267
WP_004421408.1	lcl|NZ_JQPG01000099.1_cds_WP_000805357.1_2754	33.333	102	267
WP_004448480.1	lcl|NZ_JQPG01000050.1_cds_WP_002163445.1_1537	95.490	510	510
WP_004448480.1	lcl|NZ_JQPG01000051.1_cds_WP_000291586.1_1666	27.077	325	510
WP_004448480.1	lcl|NZ_JQPG01000051.1_cds_WP_000364507.1_1665	31.111	90	510
WP_004448480.1	lcl|NZ_JQPG01000050.1_cds_WP_002163445.1_1537	95.490	510	510
WP_004448480.1	lcl|NZ_JQPG01000051.1_cds_WP_000291586.1_1666	27.077	325	510
WP_004448480.1	lcl|NZ_JQPG01000051.1_cds_WP_000364507.1_1665	31.111	90	510
WP_036062285.1	lcl|NZ_JQPG01000050.1_cds_WP_001067556.1_1538	96.364	330	330
