WP_000340715.1	lcl|NZ_AFLR01000457.1_cds_WP_000340715.1_360	100.000	86	106
WP_004421326.1	lcl|NZ_AFLR01000457.1_cds_WP_000410273.1_359	94.268	314	314
WP_004421326.1	lcl|NZ_AFLR01000020.1_cds_WP_000093099.1_3644	53.968	63	314
WP_004421326.1	lcl|NZ_AFLR01000457.1_cds_WP_000646250.1_356	26.493	268	314
WP_004421326.1	lcl|NZ_AFLR01000299.1_cds_WP_000723090.1_898	22.917	288	314
WP_004421326.1	lcl|NZ_AFLR01000119.1_cds_WP_000744699.1_2648	25.556	270	314
WP_004421326.1	lcl|NZ_AFLR01000106.1_cds_WP_000325242.1_2922	27.381	168	314
WP_243817859.1	lcl|NZ_AFLR01000457.1_cds_WP_000604524.1_358	90.685	365	365
WP_004448470.1	lcl|NZ_AFLR01000457.1_cds_WP_000884059.1_357	96.196	184	185
WP_004448470.1	lcl|NZ_AFLR01000491.1_cds_WP_000351733.1_113	39.286	140	185
WP_004448459.1	lcl|NZ_AFLR01000457.1_cds_WP_000646250.1_356	96.049	329	329
WP_004448459.1	lcl|NZ_AFLR01000119.1_cds_WP_000744699.1_2648	34.100	261	329
WP_004448459.1	lcl|NZ_AFLR01000299.1_cds_WP_000723090.1_898	30.448	335	329
WP_004448459.1	lcl|NZ_AFLR01000255.1_cds_WP_001984071.1_1376	31.270	307	329
WP_004448459.1	lcl|NZ_AFLR01000107.1_cds_WP_000649925.1_2892	30.031	323	329
WP_004448459.1	lcl|NZ_AFLR01000194.1_cds_WP_000601375.1_1676	25.333	300	329
WP_004448459.1	lcl|NZ_AFLR01000307.1_cds_WP_000316026.1_839	29.231	260	329
WP_004448459.1	lcl|NZ_AFLR01000106.1_cds_WP_000325242.1_2922	29.787	188	329
WP_004448459.1	lcl|NZ_AFLR01000094.1_cds_WP_000519466.1_3137	30.918	207	329
WP_004448459.1	lcl|NZ_AFLR01000457.1_cds_WP_001067555.1_353	31.073	177	329
WP_004448459.1	lcl|NZ_AFLR01000020.1_cds_WP_000600885.1_3653	38.318	107	329
WP_004448459.1	lcl|NZ_AFLR01000194.1_cds_WP_000475904.1_1667	27.899	276	329
WP_004448459.1	lcl|NZ_AFLR01000457.1_cds_WP_000410273.1_359	25.633	316	329
WP_004448459.1	lcl|NZ_AFLR01000014.1_cds_WP_001074785.1_3720	28.302	265	329
WP_004448459.1	lcl|NZ_AFLR01000259.1_cds_WP_001003555.1_1324	24.852	338	329
WP_004448459.1	lcl|NZ_AFLR01000194.1_cds_WP_000487322.1_1678	27.744	328	329
WP_004421408.1	lcl|NZ_AFLR01000457.1_cds_WP_000774262.1_355	94.382	267	267
WP_004421408.1	lcl|NZ_AFLR01000106.1_cds_WP_000800438.1_2917	26.702	191	267
WP_004421408.1	lcl|NZ_AFLR01000299.1_cds_WP_000842260.1_897	26.842	190	267
WP_004421408.1	lcl|NZ_AFLR01000250.1_cds_WP_000667727.1_1429	33.636	110	267
WP_004421408.1	lcl|NZ_AFLR01000110.1_cds_WP_000805357.1_2775	33.333	102	267
WP_004421408.1	lcl|NZ_AFLR01000047.1_cds_WP_000859504.1_3415	26.718	131	267
WP_004448480.1	lcl|NZ_AFLR01000457.1_cds_WP_000612797.1_354	95.490	510	510
WP_004448480.1	lcl|NZ_AFLR01000125.1_cds_WP_000291591.1_2480	27.077	325	510
WP_004448480.1	lcl|NZ_AFLR01000125.1_cds_WP_000364507.1_2479	31.111	90	510
WP_004448480.1	lcl|NZ_AFLR01000457.1_cds_WP_000612797.1_354	95.490	510	510
