WP_000340715.1	lcl|NZ_AOVW01000110.1_cds_WP_000340715.1_1875	100.000	86	106
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_000410273.1_1876	94.268	314	314
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_000093099.1_1896	53.968	63	314
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_000646250.1_1879	26.493	268	314
WP_004421326.1	lcl|NZ_AOVW01000056.1_cds_WP_000744700.1_903	25.926	324	314
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_000600889.1_1905	26.425	193	314
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_000723090.1_1958	22.917	288	314
WP_004421326.1	lcl|NZ_AOVW01000110.1_cds_WP_001067557.1_1882	25.000	328	314
WP_243817859.1	lcl|NZ_AOVW01000110.1_cds_WP_000604524.1_1877	90.685	365	365
WP_004448470.1	lcl|NZ_AOVW01000110.1_cds_WP_000884059.1_1878	96.196	184	185
WP_004448470.1	lcl|NZ_AOVW01000144.1_cds_WP_000351733.1_3295	39.286	140	185
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000646250.1_1879	96.049	329	329
WP_004448459.1	lcl|NZ_AOVW01000056.1_cds_WP_000744700.1_903	32.698	315	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000600889.1_1905	31.962	316	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000723090.1_1958	30.448	335	329
WP_004448459.1	lcl|NZ_AOVW01000045.1_cds_WP_001984071.1_751	31.270	307	329
WP_004448459.1	lcl|NZ_AOVW01000133.1_cds_WP_000649925.1_2924	30.031	323	329
WP_004448459.1	lcl|NZ_AOVW01000038.1_cds_WP_000709511.1_605	29.305	331	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000601375.1_1932	25.333	300	329
WP_004448459.1	lcl|NZ_AOVW01000150.1_cds_WP_000688695.1_3510	29.197	274	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_001067557.1_1882	29.804	255	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000475904.1_1941	27.899	276	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000410273.1_1876	25.633	316	329
WP_004448459.1	lcl|NZ_AOVW01000137.1_cds_WP_001074785.1_3049	28.302	265	329
WP_004448459.1	lcl|NZ_AOVW01000129.1_cds_WP_001003555.1_2768	24.852	338	329
WP_004448459.1	lcl|NZ_AOVW01000110.1_cds_WP_000487322.1_1930	27.744	328	329
WP_004421408.1	lcl|NZ_AOVW01000110.1_cds_WP_000774262.1_1880	94.382	267	267
WP_004421408.1	lcl|NZ_AOVW01000110.1_cds_WP_000859505.1_1929	27.885	208	267
WP_004421408.1	lcl|NZ_AOVW01000110.1_cds_WP_000800438.1_1910	26.702	191	267
WP_004421408.1	lcl|NZ_AOVW01000110.1_cds_WP_000842260.1_1959	26.842	190	267
WP_004421408.1	lcl|NZ_AOVW01000147.1_cds_WP_000667727.1_3405	33.636	110	267
WP_004421408.1	lcl|NZ_AOVW01000017.1_cds_WP_000805357.1_203	33.333	102	267
WP_004448480.1	lcl|NZ_AOVW01000110.1_cds_WP_000612797.1_1881	95.490	510	510
WP_004448480.1	lcl|NZ_AOVW01000025.1_cds_WP_000291591.1_300	27.077	325	510
WP_004448480.1	lcl|NZ_AOVW01000025.1_cds_WP_000364507.1_301	31.111	90	510
WP_004448480.1	lcl|NZ_AOVW01000110.1_cds_WP_000612797.1_1881	95.490	510	510
WP_004448480.1	lcl|NZ_AOVW01000025.1_cds_WP_000291591.1_300	27.077	325	510
WP_004448480.1	lcl|NZ_AOVW01000025.1_cds_WP_000364507.1_301	31.111	90	510
WP_036062285.1	lcl|NZ_AOVW01000110.1_cds_WP_001067557.1_1882	96.667	330	330
WP_036062285.1	lcl|NZ_AOVW01000110.1_cds_WP_000646250.1_1879	28.990	307	330
WP_036062285.1	lcl|NZ_AOVW01000110.1_cds_WP_000600889.1_1905	26.692	266	330
WP_036062285.1	lcl|NZ_AOVW01000045.1_cds_WP_001984071.1_751	25.368	272	330
WP_036062285.1	lcl|NZ_AOVW01000056.1_cds_WP_000744700.1_903	26.582	316	330
WP_036062285.1	lcl|NZ_AOVW01000129.1_cds_WP_001003555.1_2768	29.218	243	330
WP_036062285.1	lcl|NZ_AOVW01000110.1_cds_WP_000723090.1_1958	24.324	333	330
WP_036062285.1	lcl|NZ_AOVW01000133.1_cds_WP_000649925.1_2924	29.688	256	330
WP_036062285.1	lcl|NZ_AOVW01000150.1_cds_WP_000688695.1_3510	26.244	221	330
WP_036062285.1	lcl|NZ_AOVW01000110.1_cds_WP_000601375.1_1932	27.273	275	330
WP_004448474.1	lcl|NZ_AOVW01000110.1_cds_WP_001198107.1_1883	95.628	366	366
WP_004448474.1	lcl|NZ_AOVW01000110.1_cds_WP_000608295.1_1884	40.274	365	366
WP_004448474.1	lcl|NZ_AOVW01000110.1_cds_WP_000575178.1_1952	33.705	359	366
WP_004448474.1	lcl|NZ_AOVW01000150.1_cds_WP_001281953.1_3496	27.704	379	366
