WP_000340715.1	lcl|NZ_JQQE01000003.1_cds_WP_000340715.1_88	100.000	86	106
WP_004421326.1	lcl|NZ_JQQE01000003.1_cds_WP_000410273.1_89	94.268	314	314
WP_004421326.1	lcl|NZ_JQQE01000040.1_cds_WP_000744700.1_1304	25.926	324	314
WP_004421326.1	lcl|NZ_JQQE01000003.1_cds_WP_000646251.1_92	26.119	268	314
WP_004421326.1	lcl|NZ_JQQE01000003.1_cds_WP_061255837.1_120	26.425	193	314
WP_004421326.1	lcl|NZ_JQQE01000003.1_cds_WP_000723090.1_175	22.917	288	314
WP_004421326.1	lcl|NZ_JQQE01000003.1_cds_WP_001067556.1_95	25.000	328	314
WP_243817859.1	lcl|NZ_JQQE01000003.1_cds_WP_061255822.1_90	90.685	365	365
WP_004448470.1	lcl|NZ_JQQE01000003.1_cds_WP_000884059.1_91	96.196	184	185
WP_004448470.1	lcl|NZ_JQQE01000049.1_cds_WP_000351733.1_1640	39.286	140	185
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000646251.1_92	96.657	329	329
WP_004448459.1	lcl|NZ_JQQE01000040.1_cds_WP_000744700.1_1304	32.698	315	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_061255837.1_120	31.962	316	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000723090.1_175	30.448	335	329
WP_004448459.1	lcl|NZ_JQQE01000042.1_cds_WP_001984071.1_1379	31.270	307	329
WP_004448459.1	lcl|NZ_JQQE01000018.1_cds_WP_000649924.1_578	30.031	323	329
WP_004448459.1	lcl|NZ_JQQE01000112.1_cds_WP_000709511.1_2792	29.305	331	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000601375.1_149	25.333	300	329
WP_004448459.1	lcl|NZ_JQQE01000042.1_cds_WP_000688696.1_1359	29.197	274	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_001067556.1_95	29.804	255	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_201028958.1_116	28.889	270	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000475904.1_158	27.899	276	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000410273.1_89	25.633	316	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_061255831.1_114	23.344	317	329
WP_004448459.1	lcl|NZ_JQQE01000023.1_cds_WP_001074785.1_808	28.302	265	329
WP_004448459.1	lcl|NZ_JQQE01000216.1_cds_WP_061257109.1_3784	24.852	338	329
WP_004448459.1	lcl|NZ_JQQE01000003.1_cds_WP_000487322.1_147	27.744	328	329
WP_004421408.1	lcl|NZ_JQQE01000003.1_cds_WP_000774263.1_93	94.382	267	267
WP_004421408.1	lcl|NZ_JQQE01000003.1_cds_WP_000859505.1_146	27.885	208	267
