WP_000340715.1	lcl|NZ_JADDVX010000006.1_cds_WP_002725873.1_3010	91.860	86	106
WP_004421326.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733579.1_3009	91.401	314	314
WP_004421326.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733534.1_3006	25.746	268	314
WP_004421326.1	lcl|NZ_JADDVX010000018.1_cds_WP_002722638.1_670	23.385	325	314
WP_004421326.1	lcl|NZ_JADDVX010000006.1_cds_WP_002740024.1_2915	24.138	290	314
WP_004421326.1	lcl|NZ_JADDVX010000014.1_cds_WP_002743770.1_394	22.941	170	314
WP_004421326.1	lcl|NZ_JADDVX010000007.1_cds_WP_002728309.1_3092	24.759	311	314
WP_004421326.1	lcl|NZ_JADDVX010000006.1_cds_WP_016749081.1_2977	25.658	152	314
WP_243817859.1	lcl|NZ_JADDVX010000006.1_cds_WP_026054882.1_3008	86.849	365	365
WP_004448470.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733646.1_3007	95.628	183	185
WP_004448470.1	lcl|NZ_JADDVX010000003.1_cds_WP_002721790.1_1911	35.616	146	185
WP_004448459.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733534.1_3006	95.745	329	329
WP_004448459.1	lcl|NZ_JADDVX010000018.1_cds_WP_002722638.1_670	30.794	315	329
WP_004448459.1	lcl|NZ_JADDVX010000006.1_cds_WP_002740024.1_2915	31.343	335	329
WP_004448459.1	lcl|NZ_JADDVX010000007.1_cds_WP_002728309.1_3092	30.547	311	329
WP_004448459.1	lcl|NZ_JADDVX010000007.1_cds_WP_002728316.1_3095	29.003	331	329
WP_004448459.1	lcl|NZ_JADDVX010000076.1_cds_WP_002741146.1_3074	29.781	319	329
WP_004448459.1	lcl|NZ_JADDVX010000014.1_cds_WP_002743770.1_394	27.273	341	329
WP_004448459.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733638.1_2969	27.536	345	329
WP_004448459.1	lcl|NZ_JADDVX010000006.1_cds_WP_002733546.1_2940	26.296	270	329
WP_004448459.1	lcl|NZ_JADDVX010000006.1_cds_WP_002740721.1_3003	28.990	307	329
WP_004448459.1	lcl|NZ_JADDVX010000008.1_cds_WP_002732331.1_3303	26.254	339	329
