WP_000340715.1	lcl|NZ_AOVV01000149.1_cds_WP_000340715.1_3463	100.000	86	106
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_000410273.1_3464	94.268	314	314
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_000093099.1_3484	53.968	63	314
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_000646250.1_3467	26.493	268	314
WP_004421326.1	lcl|NZ_AOVV01000147.1_cds_WP_000744700.1_3407	25.926	324	314
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_000600889.1_3493	26.425	193	314
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_000723090.1_3546	22.917	288	314
WP_004421326.1	lcl|NZ_AOVV01000149.1_cds_WP_001067557.1_3470	25.000	328	314
WP_243817859.1	lcl|NZ_AOVV01000149.1_cds_WP_000604524.1_3465	90.685	365	365
WP_004448470.1	lcl|NZ_AOVV01000149.1_cds_WP_000884059.1_3466	96.196	184	185
WP_004448470.1	lcl|NZ_AOVV01000009.1_cds_WP_000351733.1_99	39.286	140	185
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000646250.1_3467	96.049	329	329
WP_004448459.1	lcl|NZ_AOVV01000147.1_cds_WP_000744700.1_3407	32.698	315	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000600889.1_3493	31.962	316	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000723090.1_3546	30.448	335	329
WP_004448459.1	lcl|NZ_AOVV01000008.1_cds_WP_001984071.1_43	31.270	307	329
WP_004448459.1	lcl|NZ_AOVV01000087.1_cds_WP_000649925.1_1592	30.031	323	329
WP_004448459.1	lcl|NZ_AOVV01000015.1_cds_WP_000709511.1_208	29.305	331	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000601375.1_3520	25.333	300	329
WP_004448459.1	lcl|NZ_AOVV01000092.1_cds_WP_000688695.1_1715	29.197	274	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_001067557.1_3470	29.804	255	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000475904.1_3529	27.899	276	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000410273.1_3464	25.633	316	329
WP_004448459.1	lcl|NZ_AOVV01000076.1_cds_WP_001074785.1_1211	28.302	265	329
WP_004448459.1	lcl|NZ_AOVV01000053.1_cds_WP_001003555.1_777	24.852	338	329
WP_004448459.1	lcl|NZ_AOVV01000149.1_cds_WP_000487322.1_3518	27.744	328	329
WP_004421408.1	lcl|NZ_AOVV01000149.1_cds_WP_000774262.1_3468	94.382	267	267
WP_004421408.1	lcl|NZ_AOVV01000149.1_cds_WP_000859505.1_3517	27.885	208	267
WP_004421408.1	lcl|NZ_AOVV01000149.1_cds_WP_000800438.1_3498	26.702	191	267
WP_004421408.1	lcl|NZ_AOVV01000149.1_cds_WP_000842260.1_3547	26.842	190	267
WP_004421408.1	lcl|NZ_AOVV01000066.1_cds_WP_000805357.1_999	33.333	102	267
WP_004448480.1	lcl|NZ_AOVV01000149.1_cds_WP_000612797.1_3469	95.490	510	510
WP_004448480.1	lcl|NZ_AOVV01000108.1_cds_WP_000291591.1_2052	27.077	325	510
WP_004448480.1	lcl|NZ_AOVV01000108.1_cds_WP_000364507.1_2051	31.111	90	510
WP_004448480.1	lcl|NZ_AOVV01000149.1_cds_WP_000612797.1_3469	95.490	510	510
WP_004448480.1	lcl|NZ_AOVV01000108.1_cds_WP_000291591.1_2052	27.077	325	510
WP_004448480.1	lcl|NZ_AOVV01000108.1_cds_WP_000364507.1_2051	31.111	90	510
WP_036062285.1	lcl|NZ_AOVV01000149.1_cds_WP_001067557.1_3470	96.667	330	330
