WP_000340715.1	lcl|NZ_AOVE01000063.1_cds_WP_000340715.1_818	100.000	86	106
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_000410273.1_817	94.268	314	314
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_000093099.1_797	53.968	63	314
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_000646252.1_814	26.493	268	314
WP_004421326.1	lcl|NZ_AOVE01000153.1_cds_WP_000744700.1_3216	25.926	324	314
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_000600889.1_788	26.425	193	314
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_000723090.1_735	22.917	288	314
WP_004421326.1	lcl|NZ_AOVE01000063.1_cds_WP_001067557.1_811	25.000	328	314
WP_243817859.1	lcl|NZ_AOVE01000063.1_cds_WP_000604524.1_816	90.685	365	365
WP_004448470.1	lcl|NZ_AOVE01000063.1_cds_WP_000884059.1_815	96.196	184	185
WP_004448470.1	lcl|NZ_AOVE01000023.1_cds_WP_000351733.1_243	39.286	140	185
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_000646252.1_814	95.745	329	329
WP_004448459.1	lcl|NZ_AOVE01000153.1_cds_WP_000744700.1_3216	32.698	315	329
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_000600889.1_788	31.962	316	329
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_000723090.1_735	30.448	335	329
WP_004448459.1	lcl|NZ_AOVE01000162.1_cds_WP_001984071.1_3659	31.270	307	329
WP_004448459.1	lcl|NZ_AOVE01000110.1_cds_WP_000649925.1_1836	30.031	323	329
WP_004448459.1	lcl|NZ_AOVE01000069.1_cds_WP_000709511.1_935	29.305	331	329
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_000601375.1_761	25.333	300	329
WP_004448459.1	lcl|NZ_AOVE01000162.1_cds_WP_000688695.1_3639	29.197	274	329
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_001067557.1_811	29.804	255	329
WP_004448459.1	lcl|NZ_AOVE01000063.1_cds_WP_000475904.1_752	27.899	276	329
