WP_000340715.1	lcl|NZ_MVAF01000021.1_cds_WP_000340715.1_2191	100.000	86	106
WP_004421326.1	lcl|NZ_MVAF01000021.1_cds_WP_000410273.1_2190	94.268	314	314
WP_004421326.1	lcl|NZ_MVAF01000021.1_cds_WP_000646250.1_2187	26.493	268	314
WP_004421326.1	lcl|NZ_MVAF01000026.1_cds_WP_000744700.1_730	25.926	324	314
WP_004421326.1	lcl|NZ_MVAF01000063.1_cds_WP_001033107.1_3650	21.053	266	314
WP_004421326.1	lcl|NZ_MVAF01000055.1_cds_WP_000723092.1_3010	22.837	289	314
WP_004421326.1	lcl|NZ_MVAF01000021.1_cds_WP_001067556.1_2184	25.000	328	314
WP_243817859.1	lcl|NZ_MVAF01000021.1_cds_WP_001967810.1_2189	90.411	365	365
WP_004448470.1	lcl|NZ_MVAF01000021.1_cds_WP_082267446.1_2188	95.652	184	185
WP_004448470.1	lcl|NZ_MVAF01000005.1_cds_WP_000351733.1_2887	39.286	140	185
WP_004448459.1	lcl|NZ_MVAF01000021.1_cds_WP_000646250.1_2187	96.049	329	329
WP_004448459.1	lcl|NZ_MVAF01000026.1_cds_WP_000744700.1_730	32.698	315	329
WP_004448459.1	lcl|NZ_MVAF01000055.1_cds_WP_000723092.1_3010	30.448	335	329
WP_004448459.1	lcl|NZ_MVAF01000013.1_cds_WP_001984071.1_3967	31.270	307	329
WP_004448459.1	lcl|NZ_MVAF01000059.1_cds_WP_000699346.1_3035	30.488	328	329
WP_004448459.1	lcl|NZ_MVAF01000029.1_cds_WP_000649923.1_824	30.031	323	329
WP_004448459.1	lcl|NZ_MVAF01000013.1_cds_WP_000709513.1_3977	29.102	323	329
WP_004448459.1	lcl|NZ_MVAF01000040.1_cds_WP_000688696.1_2499	29.197	274	329
WP_004448459.1	lcl|NZ_MVAF01000021.1_cds_WP_001067556.1_2184	29.804	255	329
WP_004448459.1	lcl|NZ_MVAF01000084.1_cds_WP_000475904.1_286	27.899	276	329
WP_004448459.1	lcl|NZ_MVAF01000021.1_cds_WP_000410273.1_2190	25.633	316	329
WP_004448459.1	lcl|NZ_MVAF01000060.1_cds_WP_001074785.1_3893	28.302	265	329
WP_004448459.1	lcl|NZ_MVAF01000063.1_cds_WP_001033107.1_3650	25.974	308	329
WP_004448459.1	lcl|NZ_MVAF01000020.1_cds_WP_001003557.1_3520	24.699	332	329
WP_004421408.1	lcl|NZ_MVAF01000021.1_cds_WP_000774256.1_2186	95.131	267	267
WP_004421408.1	lcl|NZ_MVAF01000055.1_cds_WP_000842260.1_3009	26.842	190	267
WP_004421408.1	lcl|NZ_MVAF01000036.1_cds_WP_000667727.1_1927	33.636	110	267
WP_004421408.1	lcl|NZ_MVAF01000001.1_cds_WP_000805359.1_205	34.314	102	267
