WP_003009553.1	lcl|NZ_JASEXR010000021.1_cds_WP_004462903.1_2532	95.699	93	106
WP_003009527.1	lcl|NZ_JASEXR010000021.1_cds_WP_004472299.1_2531	87.580	314	321
WP_003009527.1	lcl|NZ_JASEXR010000021.1_cds_WP_004470124.1_2528	27.239	268	321
WP_003009527.1	lcl|NZ_JASEXR010000023.1_cds_WP_004473914.1_2686	24.691	324	321
WP_003009527.1	lcl|NZ_JASEXR010000012.1_cds_WP_282976366.1_1844	22.535	284	321
WP_003009527.1	lcl|NZ_JASEXR010000001.1_cds_WP_004461234.1_162	25.359	209	321
WP_003009527.1	lcl|NZ_JASEXR010000001.1_cds_WP_004461234.1_41	25.359	209	321
WP_003009527.1	lcl|NZ_JASEXR010000013.1_cds_WP_004468319.1_1941	24.510	102	321
WP_003009527.1	lcl|NZ_JASEXR010000021.1_cds_WP_282976563.1_2500	22.884	319	321
WP_003009527.1	lcl|NZ_JASEXR010000021.1_cds_WP_269026245.1_2525	24.453	274	321
WP_003009854.1	lcl|NZ_JASEXR010000021.1_cds_WP_282976577.1_2530	80.274	365	365
WP_003009869.1	lcl|NZ_JASEXR010000021.1_cds_WP_004485986.1_2529	92.432	185	185
WP_003009869.1	lcl|NZ_JASEXR010000005.1_cds_WP_004460143.1_900	35.714	140	185
WP_003009535.1	lcl|NZ_JASEXR010000021.1_cds_WP_004470124.1_2528	89.329	328	329
WP_003009535.1	lcl|NZ_JASEXR010000023.1_cds_WP_004473914.1_2686	30.380	316	329
WP_003009535.1	lcl|NZ_JASEXR010000012.1_cds_WP_282976366.1_1844	30.240	334	329
WP_003009535.1	lcl|NZ_JASEXR010000001.1_cds_WP_004461234.1_162	32.692	312	329
WP_003009535.1	lcl|NZ_JASEXR010000001.1_cds_WP_004461234.1_41	32.692	312	329
WP_003009535.1	lcl|NZ_JASEXR010000021.1_cds_WP_282976558.1_2493	27.928	333	329
WP_003009535.1	lcl|NZ_JASEXR010000013.1_cds_WP_004468319.1_1941	27.381	336	329
WP_003009535.1	lcl|NZ_JASEXR010000010.1_cds_WP_282976290.1_1617	29.814	322	329
WP_003009535.1	lcl|NZ_JASEXR010000001.1_cds_WP_004467290.1_159	28.793	323	329
