WP_003009553.1	lcl|NZ_JADDWM010000006.1_cds_WP_002725873.1_3009	92.473	93	106
WP_003009527.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733579.1_3008	92.038	314	321
WP_003009527.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733534.1_3005	26.493	268	321
WP_003009527.1	lcl|NZ_JADDWM010000018.1_cds_WP_002722638.1_675	22.462	325	321
WP_003009527.1	lcl|NZ_JADDWM010000006.1_cds_WP_002740024.1_2914	22.776	281	321
WP_003009527.1	lcl|NZ_JADDWM010000005.1_cds_WP_002728309.1_2650	24.116	311	321
WP_003009527.1	lcl|NZ_JADDWM010000013.1_cds_WP_002743770.1_358	25.000	104	321
WP_003009527.1	lcl|NZ_JADDWM010000006.1_cds_WP_016749081.1_2976	27.350	117	321
WP_003009527.1	lcl|NZ_JADDWM010000006.1_cds_WP_002740721.1_3002	25.076	327	321
WP_003009854.1	lcl|NZ_JADDWM010000006.1_cds_WP_026054882.1_3007	82.192	365	365
WP_003009869.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733646.1_3006	90.270	185	185
WP_003009869.1	lcl|NZ_JADDWM010000003.1_cds_WP_002721790.1_2021	36.429	140	185
WP_003009535.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733534.1_3005	90.578	329	329
WP_003009535.1	lcl|NZ_JADDWM010000018.1_cds_WP_002722638.1_675	30.696	316	329
WP_003009535.1	lcl|NZ_JADDWM010000006.1_cds_WP_002740024.1_2914	29.762	336	329
WP_003009535.1	lcl|NZ_JADDWM010000005.1_cds_WP_002728309.1_2650	30.449	312	329
WP_003009535.1	lcl|NZ_JADDWM010000013.1_cds_WP_002743770.1_358	27.711	332	329
WP_003009535.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733638.1_2968	29.462	353	329
WP_003009535.1	lcl|NZ_JADDWM010000079.1_cds_WP_002741146.1_3097	30.128	312	329
WP_003009535.1	lcl|NZ_JADDWM010000005.1_cds_WP_002728316.1_2653	28.399	331	329
WP_003009535.1	lcl|NZ_JADDWM010000006.1_cds_WP_002733546.1_2939	24.254	268	329
WP_003009535.1	lcl|NZ_JADDWM010000006.1_cds_WP_002740721.1_3002	28.431	306	329
