WP_003009553.1	lcl|NZ_LSSR01000011.1_cds_WP_004462903.1_1115	95.699	93	106
WP_003009527.1	lcl|NZ_LSSR01000011.1_cds_WP_004464977.1_1116	87.898	314	321
WP_003009527.1	lcl|NZ_LSSR01000011.1_cds_WP_004464967.1_1167	22.222	279	321
WP_003009527.1	lcl|NZ_LSSR01000033.1_cds_WP_004476620.1_2418	24.691	324	321
WP_003009527.1	lcl|NZ_LSSR01000011.1_cds_WP_004465002.1_1169	24.590	183	321
WP_003009527.1	lcl|NZ_LSSR01000011.1_cds_WP_061526069.1_1190	22.222	243	321
WP_003009527.1	lcl|NZ_LSSR01000066.1_cds_WP_004461234.1_3301	25.359	209	321
WP_003009527.1	lcl|NZ_LSSR01000009.1_cds_WP_004486477.1_721	24.510	102	321
WP_003009869.1	lcl|NZ_LSSR01000011.1_cds_WP_004475196.1_1150	35.593	177	185
WP_003009869.1	lcl|NZ_LSSR01000022.1_cds_WP_004460143.1_2031	35.714	140	185
WP_003009535.1	lcl|NZ_LSSR01000011.1_cds_WP_004464967.1_1167	32.399	321	329
WP_003009535.1	lcl|NZ_LSSR01000033.1_cds_WP_004476620.1_2418	30.696	316	329
WP_003009535.1	lcl|NZ_LSSR01000011.1_cds_WP_061526069.1_1190	29.940	334	329
WP_003009535.1	lcl|NZ_LSSR01000066.1_cds_WP_004461234.1_3301	32.692	312	329
WP_003009535.1	lcl|NZ_LSSR01000011.1_cds_WP_004465002.1_1169	30.820	305	329
WP_003009535.1	lcl|NZ_LSSR01000009.1_cds_WP_004486477.1_721	27.381	336	329
WP_003009535.1	lcl|NZ_LSSR01000033.1_cds_WP_004484594.1_2301	29.688	320	329
WP_003009535.1	lcl|NZ_LSSR01000066.1_cds_WP_004469301.1_3304	29.003	331	329
WP_003009535.1	lcl|NZ_LSSR01000077.1_cds_WP_032916356.1_3415	27.586	348	329
WP_003009535.1	lcl|NZ_LSSR01000011.1_cds_WP_004464977.1_1116	26.266	316	329
WP_003009535.1	lcl|NZ_LSSR01000022.1_cds_WP_004483289.1_1838	26.838	272	329
WP_003009535.1	lcl|NZ_LSSR01000011.1_cds_WP_004465101.1_1171	24.818	274	329
