WP_003009553.1	lcl|NZ_AFKK01000163.1_cds_WP_000340715.1_1563	91.398	93	106
WP_003009527.1	lcl|NZ_AFKK01000163.1_cds_WP_000410273.1_1564	90.764	314	321
WP_003009527.1	lcl|NZ_AFKK01000060.1_cds_WP_000093099.1_2977	58.730	63	321
WP_003009527.1	lcl|NZ_AFKK01000163.1_cds_WP_000646250.1_1567	27.239	268	321
WP_003009527.1	lcl|NZ_AFKK01000092.1_cds_WP_000744700.1_2204	22.769	325	321
WP_003009527.1	lcl|NZ_AFKK01000060.1_cds_WP_000600889.1_2968	23.656	186	321
WP_003009527.1	lcl|NZ_AFKK01000037.1_cds_WP_000585176.1_3514	22.615	283	321
WP_003009527.1	lcl|NZ_AFKK01000163.1_cds_WP_001067557.1_1570	25.382	327	321
WP_003009854.1	lcl|NZ_AFKK01000163.1_cds_WP_000604524.1_1565	84.384	365	365
WP_003009869.1	lcl|NZ_AFKK01000163.1_cds_WP_000884059.1_1566	91.892	185	185
WP_003009869.1	lcl|NZ_AFKK01000046.1_cds_WP_000351733.1_3381	38.571	140	185
WP_003009535.1	lcl|NZ_AFKK01000163.1_cds_WP_000646250.1_1567	92.097	329	329
WP_003009535.1	lcl|NZ_AFKK01000092.1_cds_WP_000744700.1_2204	32.595	316	329
WP_003009535.1	lcl|NZ_AFKK01000060.1_cds_WP_000600889.1_2968	31.975	319	329
WP_003009535.1	lcl|NZ_AFKK01000252.1_cds_WP_001984071.1_730	32.248	307	329
WP_003009535.1	lcl|NZ_AFKK01000037.1_cds_WP_000585176.1_3514	28.846	312	329
WP_003009535.1	lcl|NZ_AFKK01000086.1_cds_WP_000649925.1_2331	30.341	323	329
WP_003009535.1	lcl|NZ_AFKK01000271.1_cds_WP_000709511.1_564	29.003	331	329
WP_003009535.1	lcl|NZ_AFKK01000060.1_cds_WP_000601375.1_2941	25.993	277	329
WP_003009535.1	lcl|NZ_AFKK01000163.1_cds_WP_001067557.1_1570	28.105	306	329
WP_003009535.1	lcl|NZ_AFKK01000251.1_cds_WP_000688695.1_750	27.811	338	329
WP_003009535.1	lcl|NZ_AFKK01000163.1_cds_WP_000410273.1_1564	26.101	318	329
WP_003009535.1	lcl|NZ_AFKK01000027.1_cds_WP_000475904.1_3542	27.899	276	329
WP_003009535.1	lcl|NZ_AFKK01000120.1_cds_WP_001074785.1_1912	27.636	275	329
WP_003009535.1	lcl|NZ_AFKK01000076.1_cds_WP_001003555.1_2514	26.036	338	329
WP_003009535.1	lcl|NZ_AFKK01000060.1_cds_WP_000487322.1_2943	25.939	293	329
WP_003009535.1	lcl|NZ_AFKK01000098.1_cds_WP_141567153.1_2136	56.667	30	329
WP_003009795.1	lcl|NZ_AFKK01000163.1_cds_WP_000774262.1_1568	81.648	267	267
WP_003009795.1	lcl|NZ_AFKK01000060.1_cds_WP_000800438.1_2963	26.923	234	267
WP_003009795.1	lcl|NZ_AFKK01000060.1_cds_WP_000859505.1_2944	27.049	244	267
WP_003009795.1	lcl|NZ_AFKK01000002.1_cds_WP_000842259.1_3789	26.316	190	267
WP_003009795.1	lcl|NZ_AFKK01000181.1_cds_WP_000667727.1_1503	28.866	194	267
WP_003009795.1	lcl|NZ_AFKK01000050.1_cds_WP_000805357.1_3252	33.735	83	267
WP_003009515.1	lcl|NZ_AFKK01000163.1_cds_WP_000612797.1_1569	87.992	508	509
WP_003009515.1	lcl|NZ_AFKK01000196.1_cds_WP_000291591.1_1484	26.032	315	509
WP_003009515.1	lcl|NZ_AFKK01000196.1_cds_WP_000364507.1_1483	26.316	114	509
WP_003009515.1	lcl|NZ_AFKK01000163.1_cds_WP_000612797.1_1569	87.992	508	509
WP_003009515.1	lcl|NZ_AFKK01000196.1_cds_WP_000291591.1_1484	26.032	315	509
WP_003009515.1	lcl|NZ_AFKK01000196.1_cds_WP_000364507.1_1483	26.316	114	509
WP_003009505.1	lcl|NZ_AFKK01000163.1_cds_WP_001067557.1_1570	92.121	330	330
WP_003009505.1	lcl|NZ_AFKK01000163.1_cds_WP_000646250.1_1567	27.869	305	330
WP_003009505.1	lcl|NZ_AFKK01000252.1_cds_WP_001984071.1_730	25.912	274	330
WP_003009505.1	lcl|NZ_AFKK01000060.1_cds_WP_000600889.1_2968	26.316	266	330
WP_003009505.1	lcl|NZ_AFKK01000092.1_cds_WP_000744700.1_2204	27.532	316	330
WP_003009505.1	lcl|NZ_AFKK01000076.1_cds_WP_001003555.1_2514	29.555	247	330
WP_003009505.1	lcl|NZ_AFKK01000251.1_cds_WP_000688695.1_750	25.339	221	330
WP_003009505.1	lcl|NZ_AFKK01000086.1_cds_WP_000649925.1_2331	28.295	258	330
WP_003009505.1	lcl|NZ_AFKK01000060.1_cds_WP_000601375.1_2941	25.746	268	330
WP_003009505.1	lcl|NZ_AFKK01000120.1_cds_WP_001074785.1_1912	27.962	211	330
WP_003009505.1	lcl|NZ_AFKK01000271.1_cds_WP_000709511.1_564	30.464	151	330
WP_003009505.1	lcl|NZ_AFKK01000368.1_cds_WP_000690042.1_213	35.211	71	330
WP_003009505.1	lcl|NZ_AFKK01000213.1_cds_WP_000457972.1_1194	25.000	128	330
WP_003009804.1	lcl|NZ_AFKK01000163.1_cds_WP_000689743.1_1573	37.316	544	538
WP_003009804.1	lcl|NZ_AFKK01000163.1_cds_WP_000689743.1_1573	37.316	544	538
WP_003009317.1	lcl|NZ_AFKK01000163.1_cds_WP_000342713.1_1574	67.170	265	265
WP_003009317.1	lcl|NZ_AFKK01000124.1_cds_WP_001002663.1_1895	41.152	243	265
WP_003009317.1	lcl|NZ_AFKK01000080.1_cds_WP_001183723.1_2452	27.746	173	265
WP_003009459.1	lcl|NZ_AFKK01000163.1_cds_WP_001246618.1_1575	84.839	310	310
WP_003009459.1	lcl|NZ_AFKK01000067.1_cds_WP_000501205.1_2831	36.634	303	310
WP_003009459.1	lcl|NZ_AFKK01000080.1_cds_WP_001183723.1_2452	28.114	281	310
WP_003009459.1	lcl|NZ_AFKK01000007.1_cds_WP_000279894.1_3756	27.820	133	310
WP_003009459.1	lcl|NZ_AFKK01000163.1_cds_WP_001246618.1_1575	84.839	310	310
WP_003009459.1	lcl|NZ_AFKK01000067.1_cds_WP_000501205.1_2831	36.634	303	310
WP_003009459.1	lcl|NZ_AFKK01000080.1_cds_WP_001183723.1_2452	28.114	281	310
WP_003009459.1	lcl|NZ_AFKK01000007.1_cds_WP_000279894.1_3756	27.820	133	310
WP_003009745.1	lcl|NZ_AFKK01000163.1_cds_WP_000479982.1_1576	89.773	264	264
WP_036096976.1	lcl|NZ_AFKK01000163.1_cds_WP_000715958.1_1577	83.721	129	130
WP_003009905.1	lcl|NZ_AFKK01000163.1_cds_WP_001088866.1_1578	81.944	144	145
WP_003009905.1	lcl|NZ_AFKK01000179.1_cds_WP_000360599.1_1519	30.263	76	145
WP_003009905.1	lcl|NZ_AFKK01000212.1_cds_WP_002069656.1_1226	39.286	56	145
WP_036096974.1	lcl|NZ_AFKK01000163.1_cds_WP_000517242.1_1579	89.140	221	221
