WP_003009553.1	lcl|NZ_JQOU01000004.1_cds_WP_000340715.1_24	91.398	93	106
WP_003009527.1	lcl|NZ_JQOU01000004.1_cds_WP_000410268.1_25	90.764	314	321
WP_003009527.1	lcl|NZ_JQOU01000004.1_cds_WP_000723079.1_79	22.222	279	321
WP_003009527.1	lcl|NZ_JQOU01000133.1_cds_WP_000744698.1_2713	22.769	325	321
WP_003009527.1	lcl|NZ_JQOU01000004.1_cds_WP_000723081.1_102	22.887	284	321
WP_003009527.1	lcl|NZ_JQOU01000004.1_cds_WP_000567886.1_81	23.009	226	321
WP_003009527.1	lcl|NZ_JQOU01000057.1_cds_WP_002072074.1_1346	23.923	209	321
WP_003009869.1	lcl|NZ_JQOU01000030.1_cds_WP_000351733.1_733	38.571	140	185
WP_003009869.1	lcl|NZ_JQOU01000004.1_cds_WP_001047906.1_58	34.463	177	185
WP_003009535.1	lcl|NZ_JQOU01000004.1_cds_WP_000723079.1_79	32.399	321	329
WP_003009535.1	lcl|NZ_JQOU01000133.1_cds_WP_000744698.1_2713	32.595	316	329
WP_003009535.1	lcl|NZ_JQOU01000004.1_cds_WP_000723081.1_102	30.149	335	329
WP_003009535.1	lcl|NZ_JQOU01000057.1_cds_WP_002072074.1_1346	31.922	307	329
WP_003009535.1	lcl|NZ_JQOU01000112.1_cds_WP_000649924.1_2387	30.341	323	329
WP_003009535.1	lcl|NZ_JQOU01000004.1_cds_WP_000567886.1_81	29.508	305	329
WP_003009535.1	lcl|NZ_JQOU01000148.1_cds_WP_000709508.1_2901	28.701	331	329
WP_003009535.1	lcl|NZ_JQOU01000057.1_cds_WP_061246301.1_1366	27.811	338	329
WP_003009535.1	lcl|NZ_JQOU01000004.1_cds_WP_000410268.1_25	25.786	318	329
WP_003009535.1	lcl|NZ_JQOU01000004.1_cds_WP_002183330.1_84	26.667	240	329
WP_003009535.1	lcl|NZ_JQOU01000031.1_cds_WP_001074779.1_764	27.273	275	329
WP_003009535.1	lcl|NZ_JQOU01000078.1_cds_WP_002105505.1_1684	25.602	332	329
WP_003009795.1	lcl|NZ_JQOU01000004.1_cds_WP_000043899.1_80	27.586	232	267
WP_003009795.1	lcl|NZ_JQOU01000027.1_cds_WP_000667727.1_635	28.866	194	267
