WP_003009553.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713264.1_3182	66.667	93	106
WP_003009527.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713263.1_3183	73.548	310	321
WP_003009527.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713259.1_3187	22.086	326	321
WP_003009527.1	lcl|NZ_NPDZ01000008.1_cds_WP_100713622.1_3353	24.233	326	321
WP_003009527.1	lcl|NZ_NPDZ01000001.1_cds_WP_100712531.1_95	26.816	179	321
WP_003009869.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713267.1_3179	33.898	177	185
WP_003009869.1	lcl|NZ_NPDZ01000013.1_cds_WP_100715391.1_1060	33.784	148	185
WP_003009869.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713245.1_3202	33.766	154	185
WP_003009535.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713259.1_3187	31.546	317	329
WP_003009535.1	lcl|NZ_NPDZ01000001.1_cds_WP_100712531.1_95	30.696	316	329
WP_003009535.1	lcl|NZ_NPDZ01000022.1_cds_WP_100715486.1_1880	31.935	310	329
WP_003009535.1	lcl|NZ_NPDZ01000008.1_cds_WP_100713622.1_3353	26.625	323	329
WP_003009535.1	lcl|NZ_NPDZ01000001.1_cds_WP_100712285.1_423	24.848	330	329
WP_003009535.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713263.1_3183	25.633	316	329
WP_003009535.1	lcl|NZ_NPDZ01000006.1_cds_WP_100713729.1_2970	25.506	247	329
WP_003009535.1	lcl|NZ_NPDZ01000005.1_cds_WP_100713477.1_2794	24.800	250	329
WP_003009535.1	lcl|NZ_NPDZ01000002.1_cds_WP_100713150.1_1701	22.985	335	329
WP_003009535.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713219.1_3231	23.313	326	329
WP_003009535.1	lcl|NZ_NPDZ01000003.1_cds_WP_100734082.1_2078	25.461	271	329
WP_003009795.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713254.1_3193	25.714	245	267
WP_003009795.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713248.1_3199	27.322	183	267
WP_003009795.1	lcl|NZ_NPDZ01000006.1_cds_WP_100713785.1_2907	23.445	209	267
WP_003009795.1	lcl|NZ_NPDZ01000001.1_cds_WP_125169875.1_623	31.579	95	267
WP_003009515.1	lcl|NZ_NPDZ01000014.1_cds_WP_100714087.1_1155	24.359	312	509
WP_003009515.1	lcl|NZ_NPDZ01000014.1_cds_WP_243393449.1_1156	29.703	101	509
WP_003009515.1	lcl|NZ_NPDZ01000014.1_cds_WP_100714087.1_1155	24.359	312	509
WP_003009515.1	lcl|NZ_NPDZ01000014.1_cds_WP_243393449.1_1156	29.703	101	509
WP_003009505.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713259.1_3187	26.740	273	330
WP_003009505.1	lcl|NZ_NPDZ01000022.1_cds_WP_100715486.1_1880	26.603	312	330
WP_003009505.1	lcl|NZ_NPDZ01000008.1_cds_WP_100713622.1_3353	26.316	323	330
WP_003009505.1	lcl|NZ_NPDZ01000001.1_cds_WP_100712531.1_95	26.641	259	330
WP_003009505.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713219.1_3231	29.121	182	330
WP_003009505.1	lcl|NZ_NPDZ01000002.1_cds_WP_100713016.1_1638	27.049	244	330
WP_003009505.1	lcl|NZ_NPDZ01000002.1_cds_WP_100713150.1_1701	23.963	217	330
WP_003009505.1	lcl|NZ_NPDZ01000006.1_cds_WP_100713729.1_2970	27.391	230	330
WP_003009505.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713263.1_3183	25.182	274	330
WP_003009505.1	lcl|NZ_NPDZ01000005.1_cds_WP_100713477.1_2794	32.824	131	330
WP_003009505.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713235.1_3215	26.623	154	330
WP_003009317.1	lcl|NZ_NPDZ01000001.1_cds_WP_100714797.1_724	38.931	262	265
WP_003009317.1	lcl|NZ_NPDZ01000010.1_cds_WP_100714255.1_848	27.059	170	265
WP_003009459.1	lcl|NZ_NPDZ01000005.1_cds_WP_100715050.1_2641	36.213	301	310
WP_003009459.1	lcl|NZ_NPDZ01000010.1_cds_WP_100714255.1_848	29.653	317	310
WP_003009459.1	lcl|NZ_NPDZ01000013.1_cds_WP_100715142.1_1114	22.857	140	310
WP_003009459.1	lcl|NZ_NPDZ01000005.1_cds_WP_100715050.1_2641	36.213	301	310
WP_003009459.1	lcl|NZ_NPDZ01000010.1_cds_WP_100714255.1_848	29.653	317	310
WP_003009459.1	lcl|NZ_NPDZ01000013.1_cds_WP_100715142.1_1114	22.857	140	310
WP_003009905.1	lcl|NZ_NPDZ01000004.1_cds_WP_100714832.1_2414	46.296	54	145
WP_036096974.1	lcl|NZ_NPDZ01000002.1_cds_WP_100712971.1_1589	30.769	104	221
WP_003009428.1	lcl|NZ_NPDZ01000002.1_cds_WP_100712980.1_1598	28.691	596	664
WP_003009428.1	lcl|NZ_NPDZ01000007.1_cds_WP_165778826.1_3226	28.190	337	664
WP_003009428.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713278.1_3166	32.530	166	664
WP_003009428.1	lcl|NZ_NPDZ01000001.1_cds_WP_100712261.1_405	32.258	186	664
WP_003009848.1	lcl|NZ_NPDZ01000007.1_cds_WP_100713250.1_3197	24.481	241	393
WP_003009848.1	lcl|NZ_NPDZ01000016.1_cds_WP_100715423.1_1277	26.042	192	393
