WP_003009553.1	lcl|NZ_JQPA01000005.1_cds_WP_000340715.1_140	91.398	93	106
WP_003009527.1	lcl|NZ_JQPA01000005.1_cds_WP_000410273.1_141	90.764	314	321
WP_003009527.1	lcl|NZ_JQPA01000005.1_cds_WP_000646253.1_144	27.239	268	321
WP_003009527.1	lcl|NZ_JQPA01000042.1_cds_WP_000744698.1_1592	22.769	325	321
WP_003009527.1	lcl|NZ_JQPA01000005.1_cds_WP_000723082.1_211	22.887	284	321
WP_003009527.1	lcl|NZ_JQPA01000005.1_cds_WP_001067557.1_147	25.382	327	321
WP_003009527.1	lcl|NZ_JQPA01000020.1_cds_WP_025184291.1_860	23.923	209	321
WP_003009854.1	lcl|NZ_JQPA01000005.1_cds_WP_000604524.1_142	84.384	365	365
WP_003009869.1	lcl|NZ_JQPA01000005.1_cds_WP_000884059.1_143	91.892	185	185
WP_003009869.1	lcl|NZ_JQPA01000116.1_cds_WP_000351733.1_2854	38.571	140	185
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_000646253.1_144	91.793	329	329
WP_003009535.1	lcl|NZ_JQPA01000042.1_cds_WP_000744698.1_1592	32.595	316	329
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_000723082.1_211	30.149	335	329
WP_003009535.1	lcl|NZ_JQPA01000020.1_cds_WP_025184291.1_860	32.248	307	329
WP_003009535.1	lcl|NZ_JQPA01000029.1_cds_WP_061230270.1_1168	30.650	323	329
WP_003009535.1	lcl|NZ_JQPA01000162.1_cds_WP_000709511.1_3420	29.003	331	329
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_001067557.1_147	28.105	306	329
WP_003009535.1	lcl|NZ_JQPA01000020.1_cds_WP_000688696.1_840	27.811	338	329
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_000410273.1_141	26.101	318	329
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_000475901.1_194	27.899	276	329
WP_003009535.1	lcl|NZ_JQPA01000008.1_cds_WP_001074779.1_365	27.273	275	329
WP_003009535.1	lcl|NZ_JQPA01000026.1_cds_WP_061260495.1_1129	25.602	332	329
WP_003009535.1	lcl|NZ_JQPA01000005.1_cds_WP_000378097.1_164	25.581	172	329
WP_003009795.1	lcl|NZ_JQPA01000005.1_cds_WP_000774261.1_145	81.273	267	267
WP_003009795.1	lcl|NZ_JQPA01000113.1_cds_WP_000667727.1_2780	28.866	194	267
WP_003009795.1	lcl|NZ_JQPA01000005.1_cds_WP_000842260.1_212	26.316	190	267
WP_003009795.1	lcl|NZ_JQPA01000015.1_cds_WP_000805357.1_672	33.735	83	267
WP_003009515.1	lcl|NZ_JQPA01000005.1_cds_WP_025180802.1_146	87.402	508	509
WP_003009515.1	lcl|NZ_JQPA01000032.1_cds_WP_000291581.1_1389	26.032	315	509
WP_003009515.1	lcl|NZ_JQPA01000032.1_cds_WP_000364504.1_1390	29.474	95	509
WP_003009515.1	lcl|NZ_JQPA01000005.1_cds_WP_025180802.1_146	87.402	508	509
WP_003009515.1	lcl|NZ_JQPA01000032.1_cds_WP_000291581.1_1389	26.032	315	509
WP_003009515.1	lcl|NZ_JQPA01000032.1_cds_WP_000364504.1_1390	29.474	95	509
WP_003009505.1	lcl|NZ_JQPA01000005.1_cds_WP_001067557.1_147	92.121	330	330
WP_003009505.1	lcl|NZ_JQPA01000005.1_cds_WP_000646253.1_144	27.869	305	330
WP_003009505.1	lcl|NZ_JQPA01000020.1_cds_WP_025184291.1_860	25.912	274	330
