WP_003009553.1	lcl|NZ_AHOG02000028.1_cds_WP_000340715.1_269	91.398	93	106
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_000410273.1_268	90.764	314	321
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_000093099.1_248	58.730	63	321
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_000646250.1_265	27.239	268	321
WP_003009527.1	lcl|NZ_AHOG02000004.1_cds_WP_000744700.1_3510	22.769	325	321
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_000600889.1_239	23.656	186	321
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_000723090.1_186	22.887	284	321
WP_003009527.1	lcl|NZ_AHOG02000028.1_cds_WP_001067557.1_262	25.382	327	321
WP_003009854.1	lcl|NZ_AHOG02000028.1_cds_WP_000604524.1_267	84.384	365	365
WP_003009869.1	lcl|NZ_AHOG02000028.1_cds_WP_000884059.1_266	91.892	185	185
WP_003009869.1	lcl|NZ_AHOG02000005.1_cds_WP_000351733.1_3359	38.571	140	185
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000646250.1_265	92.097	329	329
WP_003009535.1	lcl|NZ_AHOG02000004.1_cds_WP_000744700.1_3510	32.595	316	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000600889.1_239	31.975	319	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000723090.1_186	30.448	335	329
WP_003009535.1	lcl|NZ_AHOG02000010.1_cds_WP_001984071.1_2720	32.248	307	329
WP_003009535.1	lcl|NZ_AHOG02000016.1_cds_WP_000649925.1_1839	30.341	323	329
WP_003009535.1	lcl|NZ_AHOG02000010.1_cds_WP_000709511.1_2708	29.003	331	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000601375.1_212	25.993	277	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_001067557.1_262	28.105	306	329
WP_003009535.1	lcl|NZ_AHOG02000010.1_cds_WP_000688695.1_2740	27.811	338	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000410273.1_268	26.101	318	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000475904.1_203	27.899	276	329
WP_003009535.1	lcl|NZ_AHOG02000005.1_cds_WP_001074785.1_3154	27.636	275	329
WP_003009535.1	lcl|NZ_AHOG02000014.1_cds_WP_001003555.1_1978	26.036	338	329
WP_003009535.1	lcl|NZ_AHOG02000028.1_cds_WP_000487322.1_214	25.939	293	329
WP_003009795.1	lcl|NZ_AHOG02000028.1_cds_WP_000774262.1_264	81.648	267	267
WP_003009795.1	lcl|NZ_AHOG02000028.1_cds_WP_000800438.1_234	26.923	234	267
WP_003009795.1	lcl|NZ_AHOG02000028.1_cds_WP_000859505.1_215	27.049	244	267
WP_003009795.1	lcl|NZ_AHOG02000010.1_cds_WP_000667727.1_2763	28.866	194	267
WP_003009795.1	lcl|NZ_AHOG02000028.1_cds_WP_000842260.1_185	26.316	190	267
WP_003009795.1	lcl|NZ_AHOG02000016.1_cds_WP_000805357.1_1613	33.735	83	267
WP_003009515.1	lcl|NZ_AHOG02000028.1_cds_WP_000612797.1_263	87.992	508	509
WP_003009515.1	lcl|NZ_AHOG02000012.1_cds_WP_000291591.1_2314	26.032	315	509
WP_003009515.1	lcl|NZ_AHOG02000012.1_cds_WP_000364507.1_2315	26.316	114	509
WP_003009515.1	lcl|NZ_AHOG02000028.1_cds_WP_000612797.1_263	87.992	508	509
WP_003009515.1	lcl|NZ_AHOG02000012.1_cds_WP_000291591.1_2314	26.032	315	509
WP_003009515.1	lcl|NZ_AHOG02000012.1_cds_WP_000364507.1_2315	26.316	114	509
WP_003009505.1	lcl|NZ_AHOG02000028.1_cds_WP_001067557.1_262	92.121	330	330
WP_003009505.1	lcl|NZ_AHOG02000028.1_cds_WP_000646250.1_265	27.869	305	330
WP_003009505.1	lcl|NZ_AHOG02000010.1_cds_WP_001984071.1_2720	25.912	274	330
WP_003009505.1	lcl|NZ_AHOG02000028.1_cds_WP_000600889.1_239	26.316	266	330
WP_003009505.1	lcl|NZ_AHOG02000004.1_cds_WP_000744700.1_3510	27.532	316	330
