WP_003009553.1	lcl|NZ_MCLW01000094.1_cds_WP_000340713.1_3994	90.323	93	106
WP_003009527.1	lcl|NZ_MCLW01000094.1_cds_WP_000412665.1_3995	88.854	314	321
WP_003009527.1	lcl|NZ_MCLW01000094.1_cds_WP_000699347.1_3999	25.413	303	321
WP_003009527.1	lcl|NZ_MCLW01000002.1_cds_WP_000744700.1_1494	22.769	325	321
WP_003009527.1	lcl|NZ_MCLW01000115.1_cds_WP_000723077.1_376	21.377	276	321
WP_003009527.1	lcl|NZ_MCLW01000200.1_cds_WP_000723094.1_1546	23.239	284	321
WP_003009869.1	lcl|NZ_MCLW01000001.1_cds_WP_000351733.1_63	38.571	140	185
WP_003009535.1	lcl|NZ_MCLW01000094.1_cds_WP_000699347.1_3999	30.725	345	329
WP_003009535.1	lcl|NZ_MCLW01000002.1_cds_WP_000744700.1_1494	32.595	316	329
WP_003009535.1	lcl|NZ_MCLW01000200.1_cds_WP_000723094.1_1546	30.746	335	329
WP_003009535.1	lcl|NZ_MCLW01000115.1_cds_WP_000723077.1_376	30.769	299	329
WP_003009535.1	lcl|NZ_MCLW01000036.1_cds_WP_001984071.1_2452	32.248	307	329
WP_003009535.1	lcl|NZ_MCLW01000048.1_cds_WP_000649923.1_2865	30.341	323	329
WP_003009535.1	lcl|NZ_MCLW01000246.1_cds_WP_000709511.1_1871	29.003	331	329
WP_003009535.1	lcl|NZ_MCLW01000113.1_cds_WP_000688695.1_359	27.811	338	329
WP_003009535.1	lcl|NZ_MCLW01000043.1_cds_WP_000697617.1_2696	24.315	292	329
WP_003009535.1	lcl|NZ_MCLW01000094.1_cds_WP_000412665.1_3995	25.472	318	329
WP_003009535.1	lcl|NZ_MCLW01000043.1_cds_WP_000377753.1_2698	25.496	353	329
WP_003009535.1	lcl|NZ_MCLW01000029.1_cds_WP_001003558.1_2112	26.048	334	329
WP_003009535.1	lcl|NZ_MCLW01000063.1_cds_WP_001074783.1_3311	27.758	281	329
WP_003009795.1	lcl|NZ_MCLW01000115.1_cds_WP_000432841.1_381	29.614	233	267
WP_003009795.1	lcl|NZ_MCLW01000017.1_cds_WP_000667727.1_1192	28.866	194	267
