WP_003009553.1	lcl|NZ_AHQE01000181.1_cds_WP_000340713.1_1220	90.323	93	106
WP_003009527.1	lcl|NZ_AHQE01000181.1_cds_WP_000412665.1_1221	88.854	314	321
WP_003009527.1	lcl|NZ_AHQE01000181.1_cds_WP_000699347.1_1225	25.413	303	321
WP_003009527.1	lcl|NZ_AHQE01000171.1_cds_WP_000744700.1_1476	22.769	325	321
WP_003009527.1	lcl|NZ_AHQE01000181.1_cds_WP_000723077.1_1234	21.377	276	321
WP_003009527.1	lcl|NZ_AHQE01000064.1_cds_WP_000723094.1_3175	23.239	284	321
WP_003009869.1	lcl|NZ_AHQE01000066.1_cds_WP_000351733.1_3085	38.571	140	185
WP_003009535.1	lcl|NZ_AHQE01000181.1_cds_WP_000699347.1_1225	30.725	345	329
WP_003009535.1	lcl|NZ_AHQE01000171.1_cds_WP_000744700.1_1476	32.595	316	329
WP_003009535.1	lcl|NZ_AHQE01000064.1_cds_WP_000723094.1_3175	30.746	335	329
WP_003009535.1	lcl|NZ_AHQE01000181.1_cds_WP_000723077.1_1234	30.769	299	329
WP_003009535.1	lcl|NZ_AHQE01000054.1_cds_WP_001984071.1_3563	32.248	307	329
WP_003009535.1	lcl|NZ_AHQE01000285.1_cds_WP_000649923.1_293	30.341	323	329
WP_003009535.1	lcl|NZ_AHQE01000292.1_cds_WP_000709511.1_117	29.003	331	329
WP_003009535.1	lcl|NZ_AHQE01000054.1_cds_WP_000688695.1_3583	27.811	338	329
WP_003009535.1	lcl|NZ_AHQE01000181.1_cds_WP_000697617.1_1270	24.315	292	329
WP_003009535.1	lcl|NZ_AHQE01000181.1_cds_WP_000412665.1_1221	25.472	318	329
WP_003009535.1	lcl|NZ_AHQE01000181.1_cds_WP_000377753.1_1268	25.496	353	329
WP_003009535.1	lcl|NZ_AHQE01000172.1_cds_WP_001003558.1_1423	26.048	334	329
WP_003009535.1	lcl|NZ_AHQE01000149.1_cds_WP_001074783.1_1913	27.758	281	329
WP_003009795.1	lcl|NZ_AHQE01000181.1_cds_WP_000432841.1_1240	29.614	233	267
WP_003009795.1	lcl|NZ_AHQE01000094.1_cds_WP_000667727.1_2583	28.866	194	267
WP_003009795.1	lcl|NZ_AHQE01000064.1_cds_WP_000842260.1_3176	26.316	190	267
WP_003009795.1	lcl|NZ_AHQE01000181.1_cds_WP_000869621.1_1267	21.028	214	267
WP_003009795.1	lcl|NZ_AHQE01000145.1_cds_WP_000805359.1_2026	34.940	83	267
WP_003009515.1	lcl|NZ_AHQE01000162.1_cds_WP_000291586.1_1634	26.032	315	509
WP_003009515.1	lcl|NZ_AHQE01000162.1_cds_WP_000364507.1_1635	26.316	114	509
WP_003009515.1	lcl|NZ_AHQE01000162.1_cds_WP_000291586.1_1634	26.032	315	509
WP_003009515.1	lcl|NZ_AHQE01000162.1_cds_WP_000364507.1_1635	26.316	114	509
WP_003009505.1	lcl|NZ_AHQE01000054.1_cds_WP_001984071.1_3563	25.912	274	330
WP_003009505.1	lcl|NZ_AHQE01000181.1_cds_WP_000723077.1_1234	23.792	269	330
WP_003009505.1	lcl|NZ_AHQE01000171.1_cds_WP_000744700.1_1476	27.532	316	330
WP_003009505.1	lcl|NZ_AHQE01000172.1_cds_WP_001003558.1_1423	29.555	247	330
WP_003009505.1	lcl|NZ_AHQE01000181.1_cds_WP_000699347.1_1225	23.194	263	330
WP_003009505.1	lcl|NZ_AHQE01000064.1_cds_WP_000723094.1_3175	23.494	332	330
WP_003009505.1	lcl|NZ_AHQE01000181.1_cds_WP_000048849.1_1245	30.469	128	330
WP_003009505.1	lcl|NZ_AHQE01000054.1_cds_WP_000688695.1_3583	25.339	221	330
WP_003009505.1	lcl|NZ_AHQE01000285.1_cds_WP_000649923.1_293	28.295	258	330
WP_003009505.1	lcl|NZ_AHQE01000181.1_cds_WP_000697617.1_1270	26.772	254	330
WP_003009505.1	lcl|NZ_AHQE01000149.1_cds_WP_001074783.1_1913	27.962	211	330
WP_003009505.1	lcl|NZ_AHQE01000292.1_cds_WP_000709511.1_117	30.464	151	330
WP_003009505.1	lcl|NZ_AHQE01000094.1_cds_WP_000690040.1_2574	35.211	71	330
WP_003009505.1	lcl|NZ_AHQE01000100.1_cds_WP_000457972.1_2430	25.000	128	330
WP_003009317.1	lcl|NZ_AHQE01000180.1_cds_WP_001002663.1_1290	41.152	243	265
WP_003009317.1	lcl|NZ_AHQE01000053.1_cds_WP_001183723.1_3627	27.746	173	265
WP_003009459.1	lcl|NZ_AHQE01000092.1_cds_WP_000501205.1_2670	36.634	303	310
WP_003009459.1	lcl|NZ_AHQE01000053.1_cds_WP_001183723.1_3627	28.114	281	310
WP_003009459.1	lcl|NZ_AHQE01000280.1_cds_WP_000279894.1_443	27.820	133	310
WP_003009459.1	lcl|NZ_AHQE01000092.1_cds_WP_000501205.1_2670	36.634	303	310
WP_003009459.1	lcl|NZ_AHQE01000053.1_cds_WP_001183723.1_3627	28.114	281	310
WP_003009459.1	lcl|NZ_AHQE01000280.1_cds_WP_000279894.1_443	27.820	133	310
WP_003009905.1	lcl|NZ_AHQE01000010.1_cds_WP_000739277.1_3845	44.444	45	145
WP_003009905.1	lcl|NZ_AHQE01000115.1_cds_WP_000360600.1_2254	30.263	76	145
WP_003009905.1	lcl|NZ_AHQE01000283.1_cds_WP_002069656.1_326	39.286	56	145
WP_036096974.1	lcl|NZ_AHQE01000183.1_cds_WP_001069832.1_1186	28.440	109	221
WP_036096974.1	lcl|NZ_AHQE01000171.1_cds_WP_001082178.1_1447	23.077	78	221
WP_003009428.1	lcl|NZ_AHQE01000074.1_cds_WP_000642921.1_2938	30.488	328	664
WP_003009428.1	lcl|NZ_AHQE01000151.1_cds_WP_000529870.1_1886	28.019	207	664
