WP_003009553.1	lcl|NZ_AKXG02000021.1_cds_WP_000340715.1_2763	91.398	93	106
WP_003009527.1	lcl|NZ_AKXG02000021.1_cds_WP_000410273.1_2764	90.764	314	321
WP_003009527.1	lcl|NZ_AKXG02000021.1_cds_WP_000646251.1_2767	26.866	268	321
WP_003009527.1	lcl|NZ_AKXG02000037.1_cds_WP_000744704.1_2022	22.769	325	321
WP_003009527.1	lcl|NZ_AKXG02000021.1_cds_WP_000723086.1_2834	22.615	283	321
WP_003009527.1	lcl|NZ_AKXG02000021.1_cds_WP_001067557.1_2770	25.382	327	321
WP_003009854.1	lcl|NZ_AKXG02000021.1_cds_WP_000604527.1_2765	84.110	365	365
WP_003009869.1	lcl|NZ_AKXG02000021.1_cds_WP_000884059.1_2766	91.892	185	185
WP_003009869.1	lcl|NZ_AKXG02000029.1_cds_WP_000351733.1_2474	38.571	140	185
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_000646251.1_2767	92.097	329	329
WP_003009535.1	lcl|NZ_AKXG02000037.1_cds_WP_000744704.1_2022	32.595	316	329
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_000723086.1_2834	30.448	335	329
WP_003009535.1	lcl|NZ_AKXG02000025.1_cds_WP_001984071.1_2667	32.248	307	329
WP_003009535.1	lcl|NZ_AKXG02000016.1_cds_WP_000649924.1_3354	30.341	323	329
WP_003009535.1	lcl|NZ_AKXG02000041.1_cds_WP_000709511.1_1771	29.003	331	329
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_001067557.1_2770	28.105	306	329
WP_003009535.1	lcl|NZ_AKXG02000025.1_cds_WP_000688696.1_2687	27.811	338	329
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_000410273.1_2764	26.101	318	329
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_000475901.1_2817	27.899	276	329
WP_003009535.1	lcl|NZ_AKXG02000032.1_cds_WP_001074785.1_2162	27.636	275	329
WP_003009535.1	lcl|NZ_AKXG02000054.1_cds_WP_001003557.1_1178	25.904	332	329
WP_003009535.1	lcl|NZ_AKXG02000021.1_cds_WP_000378097.1_2787	25.581	172	329
WP_003009795.1	lcl|NZ_AKXG02000021.1_cds_WP_000774262.1_2768	81.648	267	267
WP_003009795.1	lcl|NZ_AKXG02000025.1_cds_WP_000667727.1_2710	28.866	194	267
WP_003009795.1	lcl|NZ_AKXG02000021.1_cds_WP_000842260.1_2835	26.316	190	267
WP_003009795.1	lcl|NZ_AKXG02000036.1_cds_WP_000805357.1_2081	33.735	83	267
WP_003009515.1	lcl|NZ_AKXG02000021.1_cds_WP_000602734.1_2769	87.205	508	509
WP_003009515.1	lcl|NZ_AKXG02000032.1_cds_WP_000291581.1_2239	26.032	315	509
