WP_003009553.1	lcl|NZ_RQGK01000015.1_cds_WP_135573185.1_2424	96.774	93	106
WP_003009527.1	lcl|NZ_RQGK01000015.1_cds_WP_135750114.1_2449	62.581	310	321
WP_003009527.1	lcl|NZ_RQGK01000029.1_cds_WP_118954467.1_2602	22.256	328	321
WP_003009527.1	lcl|NZ_RQGK01000003.1_cds_WP_135572641.1_2685	27.052	329	321
WP_003009527.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	22.581	279	321
WP_003009527.1	lcl|NZ_RQGK01000072.1_cds_WP_118957901.1_13	20.238	336	321
WP_003009527.1	lcl|NZ_RQGK01000036.1_cds_WP_135571314.1_3113	23.810	252	321
WP_003009527.1	lcl|NZ_RQGK01000023.1_cds_WP_135571634.1_1553	22.456	285	321
WP_003009869.1	lcl|NZ_RQGK01000042.1_cds_WP_135570167.1_1613	37.857	140	185
WP_003009535.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	32.335	334	329
WP_003009535.1	lcl|NZ_RQGK01000029.1_cds_WP_118954467.1_2602	31.646	316	329
WP_003009535.1	lcl|NZ_RQGK01000072.1_cds_WP_118957901.1_13	27.083	336	329
WP_003009535.1	lcl|NZ_RQGK01000003.1_cds_WP_135572641.1_2685	30.960	323	329
WP_003009535.1	lcl|NZ_RQGK01000074.1_cds_WP_118954096.1_3735	29.721	323	329
WP_003009535.1	lcl|NZ_RQGK01000036.1_cds_WP_135571314.1_3113	29.412	238	329
WP_003009535.1	lcl|NZ_RQGK01000027.1_cds_WP_135574219.1_656	26.979	341	329
WP_003009535.1	lcl|NZ_RQGK01000015.1_cds_WP_135750114.1_2449	26.899	316	329
WP_003009535.1	lcl|NZ_RQGK01000023.1_cds_WP_135571634.1_1553	27.984	243	329
WP_003009535.1	lcl|NZ_RQGK01000060.1_cds_WP_135572425.1_3356	33.628	113	329
WP_003009535.1	lcl|NZ_RQGK01000054.1_cds_WP_135573672.1_1372	26.718	262	329
