WP_003009553.1	lcl|NZ_RQFM01000027.1_cds_WP_035983633.1_2262	61.628	86	106
WP_003009527.1	lcl|NZ_RQFM01000027.1_cds_WP_135748742.1_2265	82.258	310	321
WP_003009527.1	lcl|NZ_RQFM01000006.1_cds_WP_135748906.1_3047	27.103	321	321
WP_003009527.1	lcl|NZ_RQFM01000008.1_cds_WP_135748927.1_3331	23.438	320	321
WP_003009527.1	lcl|NZ_RQFM01000027.1_cds_WP_135748743.1_2264	22.308	260	321
WP_003009527.1	lcl|NZ_RQFM01000023.1_cds_WP_135749866.1_3074	20.833	336	321
WP_003009527.1	lcl|NZ_RQFM01000022.1_cds_WP_135748100.1_1325	23.292	322	321
WP_003009527.1	lcl|NZ_RQFM01000023.1_cds_WP_208727372.1_3063	20.690	203	321
WP_003009869.1	lcl|NZ_RQFM01000022.1_cds_WP_135749621.1_72	32.812	128	185
WP_003009535.1	lcl|NZ_RQFM01000008.1_cds_WP_135748927.1_3331	31.210	314	329
WP_003009535.1	lcl|NZ_RQFM01000022.1_cds_WP_135748100.1_1325	31.111	315	329
WP_003009535.1	lcl|NZ_RQFM01000023.1_cds_WP_135749866.1_3074	29.412	340	329
WP_003009535.1	lcl|NZ_RQFM01000027.1_cds_WP_135748743.1_2264	29.326	341	329
WP_003009535.1	lcl|NZ_RQFM01000006.1_cds_WP_135748906.1_3047	27.476	313	329
WP_003009535.1	lcl|NZ_RQFM01000006.1_cds_WP_135696004.1_2663	24.845	322	329
WP_003009535.1	lcl|NZ_RQFM01000006.1_cds_WP_135749550.1_2731	28.346	254	329
WP_003009535.1	lcl|NZ_RQFM01000027.1_cds_WP_135748742.1_2265	25.472	318	329
WP_003009535.1	lcl|NZ_RQFM01000019.1_cds_WP_135749799.1_3656	25.391	256	329
WP_003009535.1	lcl|NZ_RQFM01000008.1_cds_WP_135747765.1_3384	30.769	247	329
WP_003009535.1	lcl|NZ_RQFM01000027.1_cds_WP_135747942.1_2322	24.809	262	329
