WP_003009553.1	lcl|NZ_JAHESA010000041.1_cds_WP_000340715.1_2317	91.398	93	106
WP_003009527.1	lcl|NZ_JAHESA010000041.1_cds_WP_000410266.1_2316	90.764	314	321
WP_003009527.1	lcl|NZ_JAHESA010000041.1_cds_WP_000646254.1_2313	26.866	268	321
WP_003009527.1	lcl|NZ_JAHESA010000058.1_cds_WP_000744698.1_2814	22.769	325	321
WP_003009527.1	lcl|NZ_JAHESA010000045.1_cds_WP_000723091.1_2413	23.239	284	321
WP_003009527.1	lcl|NZ_JAHESA010000041.1_cds_WP_001067557.1_2310	25.382	327	321
WP_003009527.1	lcl|NZ_JAHESA010000110.1_cds_WP_002072074.1_316	23.923	209	321
WP_003009854.1	lcl|NZ_JAHESA010000041.1_cds_WP_000604525.1_2315	83.836	365	365
WP_003009869.1	lcl|NZ_JAHESA010000041.1_cds_WP_000884059.1_2314	91.892	185	185
WP_003009869.1	lcl|NZ_JAHESA010000004.1_cds_WP_000351733.1_2205	38.571	140	185
WP_003009535.1	lcl|NZ_JAHESA010000041.1_cds_WP_000646254.1_2313	92.097	329	329
WP_003009535.1	lcl|NZ_JAHESA010000058.1_cds_WP_000744698.1_2814	32.595	316	329
WP_003009535.1	lcl|NZ_JAHESA010000045.1_cds_WP_000723091.1_2413	30.746	335	329
WP_003009535.1	lcl|NZ_JAHESA010000110.1_cds_WP_002072074.1_316	31.922	307	329
WP_003009535.1	lcl|NZ_JAHESA010000001.1_cds_WP_000649924.1_69	30.341	323	329
WP_003009535.1	lcl|NZ_JAHESA010000110.1_cds_WP_000709508.1_306	28.701	331	329
WP_003009535.1	lcl|NZ_JAHESA010000041.1_cds_WP_001067557.1_2310	28.105	306	329
WP_003009535.1	lcl|NZ_JAHESA010000042.1_cds_WP_000688696.1_2343	27.811	338	329
WP_003009535.1	lcl|NZ_JAHESA010000041.1_cds_WP_000410266.1_2316	25.786	318	329
WP_003009535.1	lcl|NZ_JAHESA010000127.1_cds_WP_000475901.1_562	27.899	276	329
WP_003009535.1	lcl|NZ_JAHESA010000065.1_cds_WP_001074779.1_3015	27.273	275	329
WP_003009535.1	lcl|NZ_JAHESA010000080.1_cds_WP_001003560.1_3392	25.740	338	329
WP_003009535.1	lcl|NZ_JAHESA010000051.1_cds_WP_000378097.1_2622	25.581	172	329
WP_003009795.1	lcl|NZ_JAHESA010000041.1_cds_WP_000774259.1_2312	81.648	267	267
WP_003009795.1	lcl|NZ_JAHESA010000045.1_cds_WP_000842260.1_2414	26.316	190	267
WP_003009795.1	lcl|NZ_JAHESA010000061.1_cds_WP_155572209.1_2935	27.072	181	267
WP_003009795.1	lcl|NZ_JAHESA010000017.1_cds_WP_000805357.1_1037	33.735	83	267
WP_003009515.1	lcl|NZ_JAHESA010000041.1_cds_WP_002072162.1_2311	87.598	508	509
WP_003009515.1	lcl|NZ_JAHESA010000052.1_cds_WP_000291581.1_2676	26.032	315	509
WP_003009515.1	lcl|NZ_JAHESA010000052.1_cds_WP_000364504.1_2675	29.474	95	509
WP_003009515.1	lcl|NZ_JAHESA010000041.1_cds_WP_002072162.1_2311	87.598	508	509
WP_003009515.1	lcl|NZ_JAHESA010000052.1_cds_WP_000291581.1_2676	26.032	315	509
