WP_003009553.1	lcl|NZ_JADDXF010000045.1_cds_WP_000340715.1_2804	91.398	93	106
WP_003009527.1	lcl|NZ_JADDXF010000045.1_cds_WP_000410266.1_2805	90.764	314	321
WP_003009527.1	lcl|NZ_JADDXF010000045.1_cds_WP_000646254.1_2808	26.866	268	321
WP_003009527.1	lcl|NZ_JADDXF010000015.1_cds_WP_000744698.1_613	22.769	325	321
WP_003009527.1	lcl|NZ_JADDXF010000018.1_cds_WP_000723091.1_804	23.239	284	321
WP_003009527.1	lcl|NZ_JADDXF010000756.1_cds_WP_193826158.1_3877	24.706	170	321
WP_003009527.1	lcl|NZ_JADDXF010000045.1_cds_WP_001067557.1_2811	25.382	327	321
WP_003009527.1	lcl|NZ_JADDXF010000016.1_cds_WP_002072074.1_710	23.923	209	321
WP_003009854.1	lcl|NZ_JADDXF010000045.1_cds_WP_000604525.1_2806	83.836	365	365
WP_003009869.1	lcl|NZ_JADDXF010000045.1_cds_WP_000884059.1_2807	91.892	185	185
WP_003009869.1	lcl|NZ_JADDXF010000005.1_cds_WP_000351733.1_3403	38.571	140	185
WP_003009535.1	lcl|NZ_JADDXF010000045.1_cds_WP_000646254.1_2808	92.097	329	329
WP_003009535.1	lcl|NZ_JADDXF010000015.1_cds_WP_000744698.1_613	32.595	316	329
WP_003009535.1	lcl|NZ_JADDXF010000018.1_cds_WP_000723091.1_804	30.746	335	329
WP_003009535.1	lcl|NZ_JADDXF010000016.1_cds_WP_002072074.1_710	31.922	307	329
WP_003009535.1	lcl|NZ_JADDXF010000002.1_cds_WP_000649924.1_1972	30.341	323	329
WP_003009535.1	lcl|NZ_JADDXF010000016.1_cds_WP_000709508.1_720	28.701	331	329
WP_003009535.1	lcl|NZ_JADDXF010000045.1_cds_WP_001067557.1_2811	28.105	306	329
WP_003009535.1	lcl|NZ_JADDXF010000016.1_cds_WP_000688696.1_690	27.811	338	329
WP_003009535.1	lcl|NZ_JADDXF010000756.1_cds_WP_193826158.1_3877	30.625	160	329
WP_003009535.1	lcl|NZ_JADDXF010000045.1_cds_WP_000410266.1_2805	25.786	318	329
WP_003009535.1	lcl|NZ_JADDXF010000025.1_cds_WP_000475901.1_1620	27.899	276	329
WP_003009535.1	lcl|NZ_JADDXF010000007.1_cds_WP_001074779.1_3999	27.273	275	329
WP_003009535.1	lcl|NZ_JADDXF010000006.1_cds_WP_001003560.1_3720	25.740	338	329
WP_003009535.1	lcl|NZ_JADDXF010000993.1_cds_WP_193826255.1_17	31.092	119	329
WP_003009535.1	lcl|NZ_JADDXF010000794.1_cds_WP_193826172.1_4077	30.275	109	329
WP_003009535.1	lcl|NZ_JADDXF010000025.1_cds_WP_000378097.1_1586	25.581	172	329
WP_003009795.1	lcl|NZ_JADDXF010000045.1_cds_WP_000774259.1_2809	81.648	267	267
WP_003009795.1	lcl|NZ_JADDXF010000018.1_cds_WP_000842260.1_805	26.316	190	267
WP_003009795.1	lcl|NZ_JADDXF010000016.1_cds_WP_155572209.1_668	27.072	181	267
WP_003009795.1	lcl|NZ_JADDXF010000020.1_cds_WP_000805357.1_1308	33.735	83	267
WP_003009515.1	lcl|NZ_JADDXF010000045.1_cds_WP_002072162.1_2810	87.598	508	509
