WP_003009553.1	lcl|NZ_RQHL01000012.1_cds_WP_135742280.1_1804	62.162	74	106
WP_003009527.1	lcl|NZ_RQHL01000012.1_cds_WP_135742279.1_1803	80.645	310	321
WP_003009527.1	lcl|NZ_RQHL01000004.1_cds_WP_135739989.1_2295	22.500	320	321
WP_003009527.1	lcl|NZ_RQHL01000012.1_cds_WP_135742275.1_1799	22.581	279	321
WP_003009527.1	lcl|NZ_RQHL01000017.1_cds_WP_135742698.1_3606	22.619	168	321
WP_003009527.1	lcl|NZ_RQHL01000012.1_cds_WP_135742252.1_1774	19.703	269	321
WP_003009527.1	lcl|NZ_RQHL01000012.1_cds_WP_135740844.1_121	22.930	314	321
WP_003009527.1	lcl|NZ_RQHL01000017.1_cds_WP_208730825.1_3595	23.451	226	321
WP_003009869.1	lcl|NZ_RQHL01000012.1_cds_WP_135742500.1_1784	33.758	157	185
WP_003009869.1	lcl|NZ_RQHL01000012.1_cds_WP_135741918.1_1376	31.008	129	185
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135739989.1_2295	31.529	314	329
WP_003009535.1	lcl|NZ_RQHL01000012.1_cds_WP_135742275.1_1799	29.907	321	329
WP_003009535.1	lcl|NZ_RQHL01000017.1_cds_WP_135742698.1_3606	30.588	340	329
WP_003009535.1	lcl|NZ_RQHL01000012.1_cds_WP_135740844.1_121	30.032	313	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135740337.1_2684	27.245	323	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135740016.1_2322	28.803	309	329
WP_003009535.1	lcl|NZ_RQHL01000012.1_cds_WP_135742252.1_1774	27.881	269	329
WP_003009535.1	lcl|NZ_RQHL01000012.1_cds_WP_135742279.1_1803	24.367	316	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135740288.1_2631	25.984	254	329
WP_003009535.1	lcl|NZ_RQHL01000012.1_cds_WP_135742214.1_1735	25.725	276	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135740295.1_2639	23.881	268	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135739687.1_1958	25.698	179	329
WP_003009535.1	lcl|NZ_RQHL01000004.1_cds_WP_135739943.1_2243	28.112	249	329
WP_003009535.1	lcl|NZ_RQHL01000017.1_cds_WP_208730825.1_3595	25.352	284	329
WP_003009795.1	lcl|NZ_RQHL01000012.1_cds_WP_135742270.1_1794	26.923	234	267
WP_003009795.1	lcl|NZ_RQHL01000012.1_cds_WP_135742189.1_1674	24.806	258	267
WP_003009795.1	lcl|NZ_RQHL01000004.1_cds_WP_135740262.1_2600	38.202	89	267
WP_003009795.1	lcl|NZ_RQHL01000012.1_cds_WP_135742263.1_1787	24.607	191	267
WP_003009795.1	lcl|NZ_RQHL01000017.1_cds_WP_135742699.1_3607	28.788	198	267
WP_003009795.1	lcl|NZ_RQHL01000004.1_cds_WP_135740392.1_2750	27.273	176	267
