WP_003009553.1	lcl|NZ_MCLU01000071.1_cds_WP_000340715.1_3415	91.398	93	106
WP_003009527.1	lcl|NZ_MCLU01000071.1_cds_WP_000410273.1_3414	90.764	314	321
WP_003009527.1	lcl|NZ_MCLU01000071.1_cds_WP_000646255.1_3411	27.239	268	321
WP_003009527.1	lcl|NZ_MCLU01000013.1_cds_WP_000744695.1_655	22.769	325	321
WP_003009527.1	lcl|NZ_MCLU01000068.1_cds_WP_000649929.1_3295	26.269	335	321
WP_003009527.1	lcl|NZ_MCLU01000008.1_cds_WP_000600891.1_3610	23.656	186	321
WP_003009527.1	lcl|NZ_MCLU01000185.1_cds_WP_000723081.1_1286	22.887	284	321
WP_003009527.1	lcl|NZ_MCLU01000071.1_cds_WP_001067557.1_3408	25.382	327	321
WP_003009854.1	lcl|NZ_MCLU01000071.1_cds_WP_000604524.1_3413	84.384	365	365
WP_003009869.1	lcl|NZ_MCLU01000071.1_cds_WP_000884059.1_3412	91.892	185	185
WP_003009869.1	lcl|NZ_MCLU01000009.1_cds_WP_000351733.1_3798	38.571	140	185
WP_003009535.1	lcl|NZ_MCLU01000071.1_cds_WP_000646255.1_3411	91.793	329	329
WP_003009535.1	lcl|NZ_MCLU01000013.1_cds_WP_000744695.1_655	32.595	316	329
WP_003009535.1	lcl|NZ_MCLU01000008.1_cds_WP_000600891.1_3610	31.975	319	329
WP_003009535.1	lcl|NZ_MCLU01000185.1_cds_WP_000723081.1_1286	30.149	335	329
WP_003009535.1	lcl|NZ_MCLU01000025.1_cds_WP_002064390.1_1872	31.922	307	329
WP_003009535.1	lcl|NZ_MCLU01000068.1_cds_WP_000649929.1_3295	30.341	323	329
WP_003009535.1	lcl|NZ_MCLU01000025.1_cds_WP_000709511.1_1882	29.003	331	329
WP_003009535.1	lcl|NZ_MCLU01000008.1_cds_WP_000601375.1_3583	25.993	277	329
WP_003009535.1	lcl|NZ_MCLU01000071.1_cds_WP_001067557.1_3408	28.105	306	329
WP_003009535.1	lcl|NZ_MCLU01000095.1_cds_WP_000688698.1_3902	27.811	338	329
WP_003009535.1	lcl|NZ_MCLU01000071.1_cds_WP_000410273.1_3414	26.101	318	329
WP_003009535.1	lcl|NZ_MCLU01000008.1_cds_WP_000475897.1_3575	27.899	276	329
WP_003009535.1	lcl|NZ_MCLU01000030.1_cds_WP_001074779.1_2189	27.273	275	329
WP_003009535.1	lcl|NZ_MCLU01000034.1_cds_WP_001003563.1_2333	25.301	332	329
WP_003009535.1	lcl|NZ_MCLU01000008.1_cds_WP_000487319.1_3585	27.027	296	329
WP_003009795.1	lcl|NZ_MCLU01000071.1_cds_WP_000774259.1_3410	81.648	267	267
WP_003009795.1	lcl|NZ_MCLU01000008.1_cds_WP_000800439.1_3605	26.923	234	267
WP_003009795.1	lcl|NZ_MCLU01000008.1_cds_WP_000859505.1_3586	27.049	244	267
WP_003009795.1	lcl|NZ_MCLU01000037.1_cds_WP_000667727.1_2412	28.866	194	267
WP_003009795.1	lcl|NZ_MCLU01000185.1_cds_WP_000842260.1_1287	26.316	190	267
WP_003009795.1	lcl|NZ_MCLU01000011.1_cds_WP_000805357.1_286	33.735	83	267
WP_003009515.1	lcl|NZ_MCLU01000071.1_cds_WP_000612799.1_3409	87.205	508	509
WP_003009515.1	lcl|NZ_MCLU01000003.1_cds_WP_000291581.1_2106	26.032	315	509
WP_003009515.1	lcl|NZ_MCLU01000003.1_cds_WP_000364504.1_2107	29.474	95	509
WP_003009515.1	lcl|NZ_MCLU01000071.1_cds_WP_000612799.1_3409	87.205	508	509
WP_003009515.1	lcl|NZ_MCLU01000003.1_cds_WP_000291581.1_2106	26.032	315	509
WP_003009515.1	lcl|NZ_MCLU01000003.1_cds_WP_000364504.1_2107	29.474	95	509
WP_003009505.1	lcl|NZ_MCLU01000071.1_cds_WP_001067557.1_3408	92.121	330	330
WP_003009505.1	lcl|NZ_MCLU01000071.1_cds_WP_000646255.1_3411	29.020	255	330
WP_003009505.1	lcl|NZ_MCLU01000025.1_cds_WP_002064390.1_1872	26.277	274	330
WP_003009505.1	lcl|NZ_MCLU01000008.1_cds_WP_000600891.1_3610	26.692	266	330
WP_003009505.1	lcl|NZ_MCLU01000013.1_cds_WP_000744695.1_655	26.899	316	330
WP_003009505.1	lcl|NZ_MCLU01000034.1_cds_WP_001003563.1_2333	29.555	247	330
WP_003009505.1	lcl|NZ_MCLU01000185.1_cds_WP_000723081.1_1286	23.193	332	330
WP_003009505.1	lcl|NZ_MCLU01000068.1_cds_WP_000649929.1_3295	28.295	258	330
WP_003009505.1	lcl|NZ_MCLU01000095.1_cds_WP_000688698.1_3902	24.434	221	330
WP_003009505.1	lcl|NZ_MCLU01000008.1_cds_WP_000601375.1_3583	25.746	268	330
WP_003009505.1	lcl|NZ_MCLU01000030.1_cds_WP_001074779.1_2189	28.436	211	330
WP_003009505.1	lcl|NZ_MCLU01000025.1_cds_WP_000709511.1_1882	30.464	151	330
